BOOKLINK,,,/BOOKLINK
BOOK.NAME,TREATMENT.NAME,ID,
Treasury_CI,FX NDF,Treasury_CI|FX NDF,
Treasury_CI,FXO,Treasury_CI|FXO,
Treasury_CI,Bond Amortised Cost,Treasury_CI|Bond Amortised Cost,
Treasury_CI,Bond FVOCI,Treasury_CI|Bond FVOCI,
Treasury_CI,Bond FVTPL,Treasury_CI|Bond FVTPL,
Treasury_CI,FX Spot,Treasury_CI|FX Spot,
Treasury_CI,Repo,Treasury_CI|Repo,
Treasury_CI,CCS IRS,Treasury_CI|CCS IRS,
Treasury_CI,Reverse Repo,Treasury_CI|Reverse Repo,
Treasury_CI,Placement,Treasury_CI|Placement,
Treasury_CI,Borrowing,Treasury_CI|Borrowing,
Treasury_CI,Bond Forward,Treasury_CI|Bond Forward,
Treasury_CI,Cash_Payment Autoinvest,Treasury_CI|Cash_Payment Autoinvest,
Treasury_CI,Settlement,Treasury_CI|Settlement,
Treasury_CI,FX Forward,Treasury_CI|FX Forward,
Treasury_CI,FX Swap,Treasury_CI|FX Swap,
Treasury_CI,Placement(Discounted),Treasury_CI|Placement(Discounted),
Treasury_CI,Bond Issuance,Treasury_CI|Bond Issuance,
Treasury_CI,FRA,Treasury_CI|FRA,
Treasury_CI,Repo Coupon Transfer,Treasury_CI|Repo Coupon Transfer,
Treasury_CI,Bond Option,Treasury_CI|Bond Option,
Treasury_CI,Bank Notes Commodity Spot,Treasury_CI|Bank Notes Commodity Spot,
Treasury_CI,Bank Notes Commodity Fwd,Treasury_CI|Bank Notes Commodity Fwd,
Treasury_CI,MMLD FXO,Treasury_CI|MMLD FXO,
Treasury_CI,DCI Premium,Treasury_CI|DCI Premium,
Treasury_CI,MMLD Rate,Treasury_CI|MMLD Rate,
