TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_CI,FX Spot,FX_MF_Value Date OffBalance Principal,Treasury_CI|FX Spot|FX_MF_Value Date OffBalance Principal,
Treasury_CI,FX Spot,FX_MF_Value Date Principal,Treasury_CI|FX Spot|FX_MF_Value Date Principal,
Treasury_CI,FX Spot,FX_MF_Trade Date OffBalance Principal,Treasury_CI|FX Spot|FX_MF_Trade Date OffBalance Principal,
Treasury_CI,FX NDF,FX_TD_Trade Date OffBalance Principal,Treasury_CI|FX NDF|FX_TD_Trade Date OffBalance Principal,
Treasury_CI,FX NDF,FX_TD_Expiry Date OffBalance Principal,Treasury_CI|FX NDF|FX_TD_Expiry Date OffBalance Principal,
Treasury_CI,FX NDF,FX_TD_Daily Mark-to-Market NDF,Treasury_CI|FX NDF|FX_TD_Daily Mark-to-Market NDF,
Treasury_CI,FX NDF,FX_TD_Closing Date OffBalance Principal,Treasury_CI|FX NDF|FX_TD_Closing Date OffBalance Principal,
Treasury_CI,FX NDF,FX_MF_Settle Date Payout,Treasury_CI|FX NDF|FX_MF_Settle Date Payout,
Treasury_CI,FXO,FX Option_TD_Daily Mark to Market,Treasury_CI|FXO|FX Option_TD_Daily Mark to Market,
Treasury_CI,FXO,FX Option_TD_Trade Date OffBalance Principal,Treasury_CI|FXO|FX Option_TD_Trade Date OffBalance Principal,
Treasury_CI,Bond Amortised Cost,Bond_MF_Pay Date Settlement Principal,Treasury_CI|Bond Amortised Cost|Bond_MF_Pay Date Settlement Principal,
Treasury_CI,Bond Amortised Cost,Bond_TD_Daily Interest Accrual,Treasury_CI|Bond Amortised Cost|Bond_TD_Daily Interest Accrual,
Treasury_CI,Bond Amortised Cost,Bond_TD_Daily Premium/Discount Amortization,Treasury_CI|Bond Amortised Cost|Bond_TD_Daily Premium/Discount Amortization,
Treasury_CI,Bond FVOCI,Bond_TD_Daily MtM Trade Contract Ref BUPL,Treasury_CI|Bond FVOCI|Bond_TD_Daily MtM Trade Contract Ref BUPL,
Treasury_CI,Bond FVOCI,Bond_TD_Daily Interest Accrual,Treasury_CI|Bond FVOCI|Bond_TD_Daily Interest Accrual,
Treasury_CI,Bond FVOCI,Bond_TD_Daily Premium/Discount Amortization,Treasury_CI|Bond FVOCI|Bond_TD_Daily Premium/Discount Amortization,
Treasury_CI,Bond FVTPL,Bond_TD_Daily MtM Trade Contract Ref BUPL,Treasury_CI|Bond FVTPL|Bond_TD_Daily MtM Trade Contract Ref BUPL,
Treasury_CI,Bond FVTPL,Bond FVTPL_TD_Trade Date Buy,Treasury_CI|Bond FVTPL|Bond FVTPL_TD_Trade Date Buy,
Treasury_CI,Bond FVTPL,Bond_TD_Daily Interest Accrual,Treasury_CI|Bond FVTPL|Bond_TD_Daily Interest Accrual,
Treasury_CI,Bond FVTPL,Bond_MF_Pay Date Settlement Principal,Treasury_CI|Bond FVTPL|Bond_MF_Pay Date Settlement Principal,
Treasury_CI,Bond FVTPL,Bond_MF_Pay Date Interest,Treasury_CI|Bond FVTPL|Bond_MF_Pay Date Interest,
Treasury_CI,Bond Amortised Cost,Bond_MF_Pay Date Interest,Treasury_CI|Bond Amortised Cost|Bond_MF_Pay Date Interest,
Treasury_CI,Bond FVOCI,Bond_MF_Pay Date Interest,Treasury_CI|Bond FVOCI|Bond_MF_Pay Date Interest,
Treasury_CI,Bond FVOCI,Bond_MF_Pay Date Settlement Principal,Treasury_CI|Bond FVOCI|Bond_MF_Pay Date Settlement Principal,
Treasury_CI,FXO,FX Option_TD_Maturity Date OffBalance Principal,Treasury_CI|FXO|FX Option_TD_Maturity Date OffBalance Principal,
Treasury_CI,FX Spot,FX_TD_Daily Mark-to-Market,Treasury_CI|FX Spot|FX_TD_Daily Mark-to-Market,
Treasury_CI,CCS IRS,CCS/IRS_TD_Daily Mark to Market,Treasury_CI|CCS IRS|CCS/IRS_TD_Daily Mark to Market,
Treasury_CI,CCS IRS,CCS/IRS_MF_Pay Date Interest_Pay,Treasury_CI|CCS IRS|CCS/IRS_MF_Pay Date Interest_Pay,
Treasury_CI,CCS IRS,CCS/IRS_MF_Pay Date Termination Fee,Treasury_CI|CCS IRS|CCS/IRS_MF_Pay Date Termination Fee,
Treasury_CI,Borrowing,DepoLoan_MF_Pay Date Interest PL,Treasury_CI|Borrowing|DepoLoan_MF_Pay Date Interest PL,
Treasury_CI,Borrowing,DepoLoan_MF_Maturity Date Principal,Treasury_CI|Borrowing|DepoLoan_MF_Maturity Date Principal,
Treasury_CI,Borrowing,DepoLoan_MF_Value Date Principal,Treasury_CI|Borrowing|DepoLoan_MF_Value Date Principal,
Treasury_CI,Borrowing,DepoLoan_MF_Trade Date Offbalance Principal,Treasury_CI|Borrowing|DepoLoan_MF_Trade Date Offbalance Principal,
Treasury_CI,Borrowing,DepoLoan_MF_Value Date Offbalance Principal,Treasury_CI|Borrowing|DepoLoan_MF_Value Date Offbalance Principal,
Treasury_CI,Placement,DepoLoan_MF_Maturity Date Principal,Treasury_CI|Placement|DepoLoan_MF_Maturity Date Principal,
Treasury_CI,Placement,DepoLoan_MF_Pay Date Interest PL,Treasury_CI|Placement|DepoLoan_MF_Pay Date Interest PL,
Treasury_CI,Placement,DepoLoan_MF_Value Date Principal,Treasury_CI|Placement|DepoLoan_MF_Value Date Principal,
Treasury_CI,Placement,DepoLoan_MF_Trade Date Offbalance Principal,Treasury_CI|Placement|DepoLoan_MF_Trade Date Offbalance Principal,
Treasury_CI,Placement,DepoLoan_MF_Value Date Offbalance Principal,Treasury_CI|Placement|DepoLoan_MF_Value Date Offbalance Principal,
Treasury_CI,Borrowing,DepoLoan_TD_Daily Interest Accrual,Treasury_CI|Borrowing|DepoLoan_TD_Daily Interest Accrual,
Treasury_CI,Placement,DepoLoan_TD_Daily Interest Accrual,Treasury_CI|Placement|DepoLoan_TD_Daily Interest Accrual,
Treasury_CI,Repo,Repo_MF_Value Date Principal,Treasury_CI|Repo|Repo_MF_Value Date Principal,
Treasury_CI,Repo,Repo_MF_Maturity Date Principal,Treasury_CI|Repo|Repo_MF_Maturity Date Principal,
Treasury_CI,Repo,Repo_MF_Pay Date Interest PL,Treasury_CI|Repo|Repo_MF_Pay Date Interest PL,
Treasury_CI,Reverse Repo,Repo_MF_Maturity Date Principal,Treasury_CI|Reverse Repo|Repo_MF_Maturity Date Principal,
Treasury_CI,Reverse Repo,Repo_TD_Daily Interest Accrual,Treasury_CI|Reverse Repo|Repo_TD_Daily Interest Accrual,
Treasury_CI,Repo,Repo_TD_Daily Interest Accrual,Treasury_CI|Repo|Repo_TD_Daily Interest Accrual,
Treasury_CI,Reverse Repo,Repo_MF_Pay Date Interest PL,Treasury_CI|Reverse Repo|Repo_MF_Pay Date Interest PL,
Treasury_CI,Reverse Repo,Repo_MF_Value Date Principal,Treasury_CI|Reverse Repo|Repo_MF_Value Date Principal,
Treasury_CI,Bond Forward,Bond Forward_TD_Daily MtM Contract,Treasury_CI|Bond Forward|Bond Forward_TD_Daily MtM Contract,
Treasury_CI,Cash_Payment Autoinvest,CP_AutoInvest_Premium,Treasury_CI|Cash_Payment Autoinvest|CP_AutoInvest_Premium,
Treasury_CI,Cash_Payment Autoinvest,CP_Interest Accrued,Treasury_CI|Cash_Payment Autoinvest|CP_Interest Accrued,
Treasury_CI,Cash_Payment Autoinvest,CP_Interest income,Treasury_CI|Cash_Payment Autoinvest|CP_Interest income,
Treasury_CI,Settlement,Value Day (Real-Time),Treasury_CI|Settlement|Value Day (Real-Time),
Treasury_CI,Placement,DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,Treasury_CI|Placement|DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_CI,Placement,DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,Treasury_CI|Placement|DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,
Treasury_CI,Settlement,Value Day (EOD),Treasury_CI|Settlement|Value Day (EOD),
Treasury_CI,Borrowing,DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,Treasury_CI|Borrowing|DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,
Treasury_CI,Borrowing,DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,Treasury_CI|Borrowing|DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_CI,Placement,PSAK_MF_Pay Date Attributable Fee,Treasury_CI|Placement|PSAK_MF_Pay Date Attributable Fee,
Treasury_CI,FX Forward,FX_MF_Trade Date OffBalance Principal,Treasury_CI|FX Forward|FX_MF_Trade Date OffBalance Principal,
Treasury_CI,FX Forward,FX_MF_Value Date OffBalance Principal,Treasury_CI|FX Forward|FX_MF_Value Date OffBalance Principal,
Treasury_CI,FX Forward,FX_MF_Value Date Principal,Treasury_CI|FX Forward|FX_MF_Value Date Principal,
Treasury_CI,FX Forward,FX_TD_Daily Mark-to-Market,Treasury_CI|FX Forward|FX_TD_Daily Mark-to-Market,
Treasury_CI,FX Swap,FX_MF_Trade Date OffBalance Principal,Treasury_CI|FX Swap|FX_MF_Trade Date OffBalance Principal,
Treasury_CI,FX Swap,FX_MF_Value Date OffBalance Principal,Treasury_CI|FX Swap|FX_MF_Value Date OffBalance Principal,
Treasury_CI,FX Swap,FX_MF_Value Date Principal,Treasury_CI|FX Swap|FX_MF_Value Date Principal,
Treasury_CI,FX Swap,FX_TD_Daily Mark-to-Market,Treasury_CI|FX Swap|FX_TD_Daily Mark-to-Market,
Treasury_CI,Placement,DepoLoan_TD_Daily Interest Accrual_FCY (NI),Treasury_CI|Placement|DepoLoan_TD_Daily Interest Accrual_FCY (NI),
Treasury_CI,Placement,DepoLoan_MF_Pay Date Interest PL_FCY (NI),Treasury_CI|Placement|DepoLoan_MF_Pay Date Interest PL_FCY (NI),
Treasury_CI,Borrowing,PSAK_MF_Pay Date Attributable Fee,Treasury_CI|Borrowing|PSAK_MF_Pay Date Attributable Fee,
Treasury_CI,Borrowing,DepoLoan_MF_Pay Date Interest PL_FCY (NI),Treasury_CI|Borrowing|DepoLoan_MF_Pay Date Interest PL_FCY (NI),
