PORTFOLIO,,,,,,,,,ADDITIONALINFO,,/ADDITIONALINFO,/PORTFOLIO
CURRENCY_PAIR.CURR2.INSID,COMPOUND,ASSINF,TYPE_CHLNBR.ENTRY,CURRENCY_PAIR.CURR1.INSID,CURRENCY_PAIR.NAME,PRFID,CURR.INSID,TYPE_CHLNBR.LIST,ADDINF_SPECNBR.FIELD_NAME,VALUE,,
,Yes,BMCI,,,,BMCI,USD,,FundPortfolio,No,,,
,Yes,BMCI - Trading,,,,BMCI - Trading,USD,,FundPortfolio,No,,,
,Yes,FXT BMCI,,,,FXT BMCI,USD,,FundPortfolio,No,,,
,Yes,FXT Spot Major BMCI,,,,FXT Spot Major BMCI,USD,,FundPortfolio,No,,,
,,FXT Spot Major 1 BMCI,,,,FXT Spot Major 1 BMCI,USD,,FundPortfolio,No,,,
,,FXT Spot Major 2 BMCI,,,,FXT Spot Major 2 BMCI,USD,,FundPortfolio,No,,,
,Yes,FXT Derivatives BMCI,,,,FXT Derivatives BMCI,USD,,FundPortfolio,No,,,
,,FXT Derivatives 1 BMCI,,,,FXT Derivatives 1 BMCI,USD,,FundPortfolio,No,,,
,,FXT Derivatives 2 BMCI,,,,FXT Derivatives 2 BMCI,USD,,FundPortfolio,No,,,
,Yes,IRT BMCI,,,,IRT BMCI,USD,,FundPortfolio,No,,,
,Yes,IRT DCM BMCI,,,,IRT DCM BMCI,USD,,FundPortfolio,No,,,
,,IRT DCM 1 BMCI,,,,IRT DCM 1 BMCI,USD,,FundPortfolio,No,,,
,,IRT DCM 2 BMCI,,,,IRT DCM 2 BMCI,USD,,FundPortfolio,No,,,
,Yes,IRT MM BMCI,,,,IRT MM BMCI,USD,,FundPortfolio,No,,,
,,IRT MM Bond RDPU 1 BMCI,,,,IRT MM Bond RDPU 1 BMCI,USD,,FundPortfolio,No,,,
,,IRT MM Bond RDPU 2 BMCI,,,,IRT MM Bond RDPU 2 BMCI,USD,,FundPortfolio,No,,,
,Yes,IRT Derivative BMCI,,,,IRT Derivative BMCI,USD,,FundPortfolio,No,,,
,,IRT Derivative 1 BMCI,,,,IRT Derivative 1 BMCI,USD,,FundPortfolio,No,,,
,,IRT Derivative 2 BMCI,,,,IRT Derivative 2 BMCI,USD,,FundPortfolio,No,,,
,Yes,BMCI - Banking,,,,BMCI - Banking,USD,,FundPortfolio,No,,,
,Yes,BBM BMCI,,,,BBM BMCI,USD,,FundPortfolio,No,,,
,Yes,Banking Derivatives BMCI,,,,Banking Derivatives BMCI,USD,,FundPortfolio,No,,,
,,BB Derivative Hedging BMCI,,,,BB Derivative Hedging BMCI,USD,,FundPortfolio,No,,,
,Yes,Banking FX BMCI,,,,Banking FX BMCI,USD,,FundPortfolio,No,,,
,,BB FX BMCI,,,,BB FX BMCI,USD,,FundPortfolio,No,,,
,Yes,Banking IR BMCI,,,,Banking IR BMCI,USD,,FundPortfolio,No,,,
,Yes,BB Bond Treasury BMCI,,,,BB Bond Treasury BMCI,USD,,FundPortfolio,No,,,
,,BB BOND PL BMCI,FVTPL,,,BB BOND PL BMCI,USD,,FundPortfolio,No,,,
,,BB BOND AC BMCI,Amortised Cost,,,BB BOND AC BMCI,USD,PortfolioType,FundPortfolio,No,,,
,,BB BOND OCI BMCI,FVOCI,,,BB BOND OCI BMCI,USD,PortfolioType,FundPortfolio,No,,,
,Yes,BB Bond Treasury Sharia BMCI,,,,BB Bond Treasury Sharia BMCI,USD,PortfolioType,FundPortfolio,No,,,
,,BB BOND SHARIA PL BMCI,FVTPL,,,BB BOND SHARIA PL BMCI,USD,,FundPortfolio,No,,,
,,BB BOND SHARIA AC BMCI,Amortised Cost,,,BB BOND SHARIA AC BMCI,USD,PortfolioType,FundPortfolio,No,,,
,,BB BOND SHARIA OCI BMCI,FVOCI,,,BB BOND SHARIA OCI BMCI,USD,PortfolioType,FundPortfolio,No,,,
,Yes,BB Bond BU BMCI,,,,BB Bond BU BMCI,USD,PortfolioType,FundPortfolio,No,,,
,Yes,Bonds BU Corporate Banking BMCI,,,,Bonds BU Corporate Banking BMCI,USD,,FundPortfolio,No,,,
,,CB 1 BMCI,,,,CB 1 BMCI,USD,,FundPortfolio,No,,,
,Yes,Bonds BU GVI BMCI,,,,Bonds BU GVI BMCI,USD,,FundPortfolio,No,,,
,,GVI 1 BMCI,,,,GVI 1 BMCI,USD,,FundPortfolio,No,,,
,Yes,Bonds BU Commercial Banking BMCI,,,,Bonds BU Commercial Banking BMCI,USD,,FundPortfolio,No,,,
,,Commercial 1 BMCI,,,,Commercial 1 BMCI,USD,,FundPortfolio,No,,,
,Yes,LAL BMCI,,,,LAL BMCI,USD,,FundPortfolio,No,,,
,,ALM Bilateral Loans BMCI,,,,ALM Bilateral Loans BMCI,USD,,FundPortfolio,No,,,
,,LIQ IB BMCI,,,,LIQ IB BMCI,USD,,FundPortfolio,No,,,
,,LIQ MM BMCI,,,,LIQ MM BMCI,USD,,FundPortfolio,No,,,
