PORTFOLIOLINK,,,,/PORTFOLIOLINK
MEMBER_PRFNBR.PRFID,OWNER_PRFNBR.PRFID,OWNER_PRFNBR.ASSINF,MEMBER_PRFNBR.ASSINF,
BMCI,,,BMCI,
BMCI - Trading,BMCI,BMCI,BMCI - Trading,
FXT BMCI,BMCI - Trading,BMCI - Trading,FXT BMCI,
FXT Spot Major BMCI,FXT BMCI,FXT BMCI,FXT Spot Major BMCI,
FXT Spot Major 1 BMCI,FXT Spot Major BMCI,FXT Spot Major BMCI,FXT Spot Major 1 BMCI,
FXT Spot Major 2 BMCI,FXT Spot Major BMCI,FXT Spot Major BMCI,FXT Spot Major 2 BMCI,
FXT Derivatives BMCI,FXT BMCI,FXT BMCI,FXT Derivatives BMCI,
FXT Derivatives 1 BMCI,FXT Derivatives BMCI,FXT Derivatives BMCI,FXT Derivatives 1 BMCI,
FXT Derivatives 2 BMCI,FXT Derivatives BMCI,FXT Derivatives BMCI,FXT Derivatives 2 BMCI,
IRT BMCI,BMCI - Trading,BMCI - Trading,IRT BMCI,
IRT DCM BMCI,IRT BMCI,IRT BMCI,IRT DCM BMCI,
IRT DCM 1 BMCI,IRT DCM BMCI,IRT DCM BMCI,IRT DCM 1 BMCI,
IRT DCM 2 BMCI,IRT DCM BMCI,IRT DCM BMCI,IRT DCM 2 BMCI,
IRT MM BMCI,IRT BMCI,IRT BMCI,IRT MM BMCI,
IRT MM Bond RDPU 1 BMCI,IRT MM BMCI,IRT MM BMCI,IRT MM Bond RDPU 1 BMCI,
IRT MM Bond RDPU 2 BMCI,IRT MM BMCI,IRT MM BMCI,IRT MM Bond RDPU 2 BMCI,
IRT Derivative BMCI,IRT BMCI,IRT BMCI,IRT Derivative BMCI,
IRT Derivative 1 BMCI,IRT Derivative BMCI,IRT Derivative BMCI,IRT Derivative 1 BMCI,
IRT Derivative 2 BMCI,IRT Derivative BMCI,IRT Derivative BMCI,IRT Derivative 2 BMCI,
BMCI - Banking,BMCI,BMCI,BMCI - Banking,
BBM BMCI,BMCI - Banking,BMCI - Banking,BBM BMCI,
Banking Derivatives BMCI,BBM BMCI,BBM BMCI,Banking Derivatives BMCI,
BB Derivative Hedging BMCI,Banking Derivatives BMCI,Banking Derivatives BMCI,BB Derivative Hedging BMCI,
Banking FX BMCI,BBM BMCI,BBM BMCI,Banking FX BMCI,
BB FX BMCI,Banking FX BMCI,Banking FX BMCI,BB FX BMCI,
Banking IR BMCI,BBM BMCI,BBM BMCI,Banking IR BMCI,
BB Bond Treasury BMCI,Banking IR BMCI,Banking IR BMCI,BB Bond Treasury BMCI,
BB BOND PL BMCI,BB Bond Treasury BMCI,BB Bond Treasury BMCI,BB BOND PL BMCI,
BB BOND AC BMCI,BB Bond Treasury BMCI,BB Bond Treasury BMCI,BB BOND AC BMCI,
BB BOND OCI BMCI,BB Bond Treasury BMCI,BB Bond Treasury BMCI,BB BOND OCI BMCI,
BB Bond Treasury Sharia BMCI,Banking IR BMCI,Banking IR BMCI,BB Bond Treasury Sharia BMCI,
BB BOND SHARIA PL BMCI,BB Bond Treasury Sharia BMCI,BB Bond Treasury Sharia BMCI,BB BOND SHARIA PL BMCI,
BB BOND SHARIA AC BMCI,BB Bond Treasury Sharia BMCI,BB Bond Treasury Sharia BMCI,BB BOND SHARIA AC BMCI,
BB BOND SHARIA OCI BMCI,BB Bond Treasury Sharia BMCI,BB Bond Treasury Sharia BMCI,BB BOND SHARIA OCI BMCI,
BB Bond BU BMCI,Banking IR BMCI,Banking IR BMCI,BB Bond BU BMCI,
Bonds BU Corporate Banking BMCI,BB Bond BU BMCI,BB Bond BU BMCI,Bonds BU Corporate Banking BMCI,
CB 1 BMCI,Bonds BU Corporate Banking BMCI,Bonds BU Corporate Banking BMCI,CB 1 BMCI,
Bonds BU GVI BMCI,BB Bond BU BMCI,BB Bond BU BMCI,Bonds BU GVI BMCI,
GVI 1 BMCI,Bonds BU GVI BMCI,Bonds BU GVI BMCI,GVI 1 BMCI,
Bonds BU Commercial Banking BMCI,BB Bond BU BMCI,BB Bond BU BMCI,Bonds BU Commercial Banking BMCI,
Commercial 1 BMCI,Bonds BU Commercial Banking BMCI,Bonds BU Commercial Banking BMCI,Commercial 1 BMCI,
LAL BMCI,BMCI - Banking,BMCI - Banking,LAL BMCI,
ALM Bilateral Loans BMCI,LAL BMCI,LAL BMCI,ALM Bilateral Loans BMCI,
LIQ IB BMCI,LAL BMCI,LAL BMCI,LIQ IB BMCI,
LIQ MM BMCI,LAL BMCI,LAL BMCI,LIQ MM BMCI,
