USERPROFILE,,PROFILECOMPONENT,,,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_AUTHORIZE,ALLOW_CREATE,ALLOW_DELETE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
BO Checker Workflow Profile,BO_CHECKER,,Yes,Yes,Yes,Settlement,DBObject,,
,,,Yes,Yes,Yes,MtmValue,DBObject,,
,,,Yes,Yes,Yes,JournalInformationHst,DBObject,,
,,,Yes,Yes,Yes,JournalInformation,DBObject,,
,,,Yes,Yes,Yes,JournalHst,DBObject,,
,,,Yes,Yes,Yes,Journal,DBObject,,
,,,Yes,Yes,Yes,FixingDateRule,DBObject,,
,,Yes,Yes,Yes,Yes,Confirmation,DBObject,,
,,,,,,Void,Operation,,
,,,,,,Void Settlement,Operation,,
,,,,,,Void Settlement Balance,Operation,,
,,,,,,Void Confirmation,Operation,,
,,,,,,Void Deal,Operation,,
,,,,,,Undo Settle Security,Operation,,
,,,,,,Suppress Message,Operation,,
,,,,,,Sign-Off Confirmation,Operation,,
,,,,,,Settlement Resubmit NAK,Operation,,
,,,,,,Settlement Regenerate,Operation,,
,,,,,,Settle Security,Operation,,
,,,,,,Revert to Pending Matching,Operation,,
,,,,,,Revert to Pending Closure,Operation,,
,,,,,,Resubmit,Operation,,
,,,,,,Resend,Operation,,
,,,,,,Release Settlement,Operation,,
,,,,,,Release Confirmation Exception,Operation,,
,,,,,,Release Confirmation,Operation,,
,,,,,,Regenerate Journal Trade,Operation,,
,,,,,,Regenerate Journal Settlement,Operation,,
,,,,,,Partial Match Confirmation,Operation,,
,,,,,,Modify Internal,Operation,,
,,,,,,Modify FO,Operation,,
,,,,,,Modify Confirmed,Operation,,
,,,,,,Modify BO Part,Operation,,
,,,,,,Matching Failed Confirmation,Operation,,
,,,,,,Match Confirmation,Operation,,
,,,,,,Instructed To Cancel,Operation,,
,,,,,,Instruct To Cancel,Operation,,
,,,,,,Hold Confirmation,Operation,,
,,,,,,Edit Simulated Journal,Operation,,
,,,,,,Edit Settlements,Operation,,
,,,,,,Edit Fixings,Operation,,
,,,,,,Demote Confirmation,Operation,,
,,,,,,Delete BO Confirmed,Operation,,
,,,,,,Confirmation Regenerate,Operation,,
,,,,,,Confirm Void,Operation,,
,,,,,,Conf Suppress Message Ack,Operation,,
,,,,,,Conf Authorise Manual Match,Operation,,
,,,,,,Close Settlement Balance,Operation,,
,,,,,,Close Settlement,Operation,,
,,,,,,Bypass Value Day Check,Operation,,
,,,,,,Bypass Release Restriction,Operation,,
,,,,,,Bulk Upload of Manual Journals,Operation,,
,,,,,,BO-BO Confirm,Operation,,
,,,,,,BO Reject,Operation,,
,,,,,,BO Confirm,Operation,,
,,,,,,Adjust Journal DR CR Pair,Operation,,
,,,,,,Accept Settlement Updates,Operation,,
,,,,,,Fixing Date Rule,Application,,
,,,Yes,,Yes,Instrument,DBObject,,
,,,Yes,,Yes,Trade,DBObject,,
,,,Yes,,Yes,AdditionalInfoSpec,DBObject,,
,,,,,,Four Eyes Control,Application,,
,,,Yes,,Yes,Party,DBObject,,
,,,Yes,Yes,Yes,SettleInstrMapping,DBObject,,
,,,,,,DeleteSSI,Operation,,
,,,,,,Settlement Process,Application,,
,,,,,,Create Standalone Journal,Operation,,
,,,Yes,Yes,Yes,JournalLink,DBObject,,
,,,,,,Authorise Settlement,Operation,,
,,,,,,Back Office,Operation,,
,,,,,,BO Journal Upload,Operation,,
