BOOKLINK,,,/BOOKLINK
BOOK.NAME,TREATMENT.NAME,ID,
Treasury_DL,FX NDF,Treasury_DL|FX NDF,
Treasury_DL,FXO,Treasury_DL|FXO,
Treasury_DL,Bond Amortised Cost,Treasury_DL|Bond Amortised Cost,
Treasury_DL,Bond FVOCI,Treasury_DL|Bond FVOCI,
Treasury_DL,Bond FVTPL,Treasury_DL|Bond FVTPL,
Treasury_DL,FX Spot,Treasury_DL|FX Spot,
Treasury_DL,Repo,Treasury_DL|Repo,
Treasury_DL,CCS IRS,Treasury_DL|CCS IRS,
Treasury_DL,Reverse Repo,Treasury_DL|Reverse Repo,
Treasury_DL,Placement,Treasury_DL|Placement,
Treasury_DL,Borrowing,Treasury_DL|Borrowing,
Treasury_DL,Bond Forward,Treasury_DL|Bond Forward,
Treasury_DL,Cash_Payment Autoinvest,Treasury_DL|Cash_Payment Autoinvest,
Treasury_DL,Settlement,Treasury_DL|Settlement,
Treasury_DL,FX Forward,Treasury_DL|FX Forward,
Treasury_DL,FX Swap,Treasury_DL|FX Swap,
Treasury_DL,Placement(Discounted),Treasury_DL|Placement(Discounted),
Treasury_DL,Bond Issuance,Treasury_DL|Bond Issuance,
Treasury_DL,FRA,Treasury_DL|FRA,
Treasury_DL,Repo Coupon Transfer,Treasury_DL|Repo Coupon Transfer,
Treasury_DL,Bond Option,Treasury_DL|Bond Option,
Treasury_DL,Bank Notes Commodity Spot,Treasury_DL|Bank Notes Commodity Spot,
Treasury_DL,Bank Notes Commodity Fwd,Treasury_DL|Bank Notes Commodity Fwd,
Treasury_DL,MMLD FXO,Treasury_DL|MMLD FXO,
Treasury_DL,DCI Premium,Treasury_DL|DCI Premium,
Treasury_DL,MMLD Rate,Treasury_DL|MMLD Rate,
