TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_DL,FX Spot,FX_MF_Value Date OffBalance Principal,Treasury_DL|FX Spot|FX_MF_Value Date OffBalance Principal,
Treasury_DL,FX Spot,FX_MF_Value Date Principal,Treasury_DL|FX Spot|FX_MF_Value Date Principal,
Treasury_DL,FX Spot,FX_MF_Trade Date OffBalance Principal,Treasury_DL|FX Spot|FX_MF_Trade Date OffBalance Principal,
Treasury_DL,FX NDF,FX_TD_Trade Date OffBalance Principal,Treasury_DL|FX NDF|FX_TD_Trade Date OffBalance Principal,
Treasury_DL,FX NDF,FX_TD_Expiry Date OffBalance Principal,Treasury_DL|FX NDF|FX_TD_Expiry Date OffBalance Principal,
Treasury_DL,FX NDF,FX_TD_Daily Mark-to-Market NDF,Treasury_DL|FX NDF|FX_TD_Daily Mark-to-Market NDF,
Treasury_DL,FX NDF,FX_TD_Closing Date OffBalance Principal,Treasury_DL|FX NDF|FX_TD_Closing Date OffBalance Principal,
Treasury_DL,FX NDF,FX_MF_Settle Date Payout,Treasury_DL|FX NDF|FX_MF_Settle Date Payout,
Treasury_DL,FXO,FX Option_TD_Daily Mark to Market,Treasury_DL|FXO|FX Option_TD_Daily Mark to Market,
Treasury_DL,FXO,FX Option_TD_Trade Date OffBalance Principal,Treasury_DL|FXO|FX Option_TD_Trade Date OffBalance Principal,
Treasury_DL,Bond Amortised Cost,Bond_MF_Pay Date Settlement Principal,Treasury_DL|Bond Amortised Cost|Bond_MF_Pay Date Settlement Principal,
Treasury_DL,Bond Amortised Cost,Bond_TD_Daily Interest Accrual,Treasury_DL|Bond Amortised Cost|Bond_TD_Daily Interest Accrual,
Treasury_DL,Bond Amortised Cost,Bond_TD_Daily Premium/Discount Amortization,Treasury_DL|Bond Amortised Cost|Bond_TD_Daily Premium/Discount Amortization,
Treasury_DL,Bond FVOCI,Bond_TD_Daily MtM Trade Contract Ref BUPL,Treasury_DL|Bond FVOCI|Bond_TD_Daily MtM Trade Contract Ref BUPL,
Treasury_DL,Bond FVOCI,Bond_TD_Daily Interest Accrual,Treasury_DL|Bond FVOCI|Bond_TD_Daily Interest Accrual,
Treasury_DL,Bond FVOCI,Bond_TD_Daily Premium/Discount Amortization,Treasury_DL|Bond FVOCI|Bond_TD_Daily Premium/Discount Amortization,
Treasury_DL,Bond FVTPL,Bond_TD_Daily MtM Trade Contract Ref BUPL,Treasury_DL|Bond FVTPL|Bond_TD_Daily MtM Trade Contract Ref BUPL,
Treasury_DL,Bond FVTPL,Bond FVTPL_TD_Trade Date Buy,Treasury_DL|Bond FVTPL|Bond FVTPL_TD_Trade Date Buy,
Treasury_DL,Bond FVTPL,Bond_TD_Daily Interest Accrual,Treasury_DL|Bond FVTPL|Bond_TD_Daily Interest Accrual,
Treasury_DL,Bond FVTPL,Bond_MF_Pay Date Settlement Principal,Treasury_DL|Bond FVTPL|Bond_MF_Pay Date Settlement Principal,
Treasury_DL,Bond FVTPL,Bond_MF_Pay Date Interest,Treasury_DL|Bond FVTPL|Bond_MF_Pay Date Interest,
Treasury_DL,Bond Amortised Cost,Bond_MF_Pay Date Interest,Treasury_DL|Bond Amortised Cost|Bond_MF_Pay Date Interest,
Treasury_DL,Bond FVOCI,Bond_MF_Pay Date Interest,Treasury_DL|Bond FVOCI|Bond_MF_Pay Date Interest,
Treasury_DL,Bond FVOCI,Bond_MF_Pay Date Settlement Principal,Treasury_DL|Bond FVOCI|Bond_MF_Pay Date Settlement Principal,
Treasury_DL,FXO,FX Option_TD_Maturity Date OffBalance Principal,Treasury_DL|FXO|FX Option_TD_Maturity Date OffBalance Principal,
Treasury_DL,FX Spot,FX_TD_Daily Mark-to-Market,Treasury_DL|FX Spot|FX_TD_Daily Mark-to-Market,
Treasury_DL,CCS IRS,CCS/IRS_TD_Daily Mark to Market,Treasury_DL|CCS IRS|CCS/IRS_TD_Daily Mark to Market,
Treasury_DL,CCS IRS,CCS/IRS_MF_Pay Date Interest_Pay,Treasury_DL|CCS IRS|CCS/IRS_MF_Pay Date Interest_Pay,
Treasury_DL,CCS IRS,CCS/IRS_MF_Pay Date Termination Fee,Treasury_DL|CCS IRS|CCS/IRS_MF_Pay Date Termination Fee,
Treasury_DL,Borrowing,DepoLoan_MF_Pay Date Interest PL,Treasury_DL|Borrowing|DepoLoan_MF_Pay Date Interest PL,
Treasury_DL,Borrowing,DepoLoan_MF_Maturity Date Principal,Treasury_DL|Borrowing|DepoLoan_MF_Maturity Date Principal,
Treasury_DL,Borrowing,DepoLoan_MF_Value Date Principal,Treasury_DL|Borrowing|DepoLoan_MF_Value Date Principal,
Treasury_DL,Borrowing,DepoLoan_MF_Trade Date Offbalance Principal,Treasury_DL|Borrowing|DepoLoan_MF_Trade Date Offbalance Principal,
Treasury_DL,Borrowing,DepoLoan_MF_Value Date Offbalance Principal,Treasury_DL|Borrowing|DepoLoan_MF_Value Date Offbalance Principal,
Treasury_DL,Placement,DepoLoan_MF_Maturity Date Principal,Treasury_DL|Placement|DepoLoan_MF_Maturity Date Principal,
Treasury_DL,Placement,DepoLoan_MF_Pay Date Interest PL,Treasury_DL|Placement|DepoLoan_MF_Pay Date Interest PL,
Treasury_DL,Placement,DepoLoan_MF_Value Date Principal,Treasury_DL|Placement|DepoLoan_MF_Value Date Principal,
Treasury_DL,Placement,DepoLoan_MF_Trade Date Offbalance Principal,Treasury_DL|Placement|DepoLoan_MF_Trade Date Offbalance Principal,
Treasury_DL,Placement,DepoLoan_MF_Value Date Offbalance Principal,Treasury_DL|Placement|DepoLoan_MF_Value Date Offbalance Principal,
Treasury_DL,Borrowing,DepoLoan_TD_Daily Interest Accrual,Treasury_DL|Borrowing|DepoLoan_TD_Daily Interest Accrual,
Treasury_DL,Placement,DepoLoan_TD_Daily Interest Accrual,Treasury_DL|Placement|DepoLoan_TD_Daily Interest Accrual,
Treasury_DL,Repo,Repo_MF_Value Date Principal,Treasury_DL|Repo|Repo_MF_Value Date Principal,
Treasury_DL,Repo,Repo_MF_Maturity Date Principal,Treasury_DL|Repo|Repo_MF_Maturity Date Principal,
Treasury_DL,Repo,Repo_MF_Pay Date Interest PL,Treasury_DL|Repo|Repo_MF_Pay Date Interest PL,
Treasury_DL,Reverse Repo,Repo_MF_Maturity Date Principal,Treasury_DL|Reverse Repo|Repo_MF_Maturity Date Principal,
Treasury_DL,Reverse Repo,Repo_TD_Daily Interest Accrual,Treasury_DL|Reverse Repo|Repo_TD_Daily Interest Accrual,
Treasury_DL,Repo,Repo_TD_Daily Interest Accrual,Treasury_DL|Repo|Repo_TD_Daily Interest Accrual,
Treasury_DL,Reverse Repo,Repo_MF_Pay Date Interest PL,Treasury_DL|Reverse Repo|Repo_MF_Pay Date Interest PL,
Treasury_DL,Reverse Repo,Repo_MF_Value Date Principal,Treasury_DL|Reverse Repo|Repo_MF_Value Date Principal,
Treasury_DL,Bond Forward,Bond Forward_TD_Daily MtM Contract,Treasury_DL|Bond Forward|Bond Forward_TD_Daily MtM Contract,
Treasury_DL,Cash_Payment Autoinvest,CP_AutoInvest_Premium,Treasury_DL|Cash_Payment Autoinvest|CP_AutoInvest_Premium,
Treasury_DL,Cash_Payment Autoinvest,CP_Interest Accrued,Treasury_DL|Cash_Payment Autoinvest|CP_Interest Accrued,
Treasury_DL,Cash_Payment Autoinvest,CP_Interest income,Treasury_DL|Cash_Payment Autoinvest|CP_Interest income,
Treasury_DL,Settlement,Value Day (Real-Time),Treasury_DL|Settlement|Value Day (Real-Time),
Treasury_DL,Placement,DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,Treasury_DL|Placement|DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_DL,Placement,DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,Treasury_DL|Placement|DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,
Treasury_DL,Settlement,Value Day (EOD),Treasury_DL|Settlement|Value Day (EOD),
Treasury_DL,Borrowing,DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,Treasury_DL|Borrowing|DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,
Treasury_DL,Borrowing,DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,Treasury_DL|Borrowing|DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_DL,Placement,PSAK_MF_Pay Date Attributable Fee,Treasury_DL|Placement|PSAK_MF_Pay Date Attributable Fee,
Treasury_DL,FX Forward,FX_MF_Trade Date OffBalance Principal,Treasury_DL|FX Forward|FX_MF_Trade Date OffBalance Principal,
Treasury_DL,FX Forward,FX_MF_Value Date OffBalance Principal,Treasury_DL|FX Forward|FX_MF_Value Date OffBalance Principal,
Treasury_DL,FX Forward,FX_MF_Value Date Principal,Treasury_DL|FX Forward|FX_MF_Value Date Principal,
Treasury_DL,FX Forward,FX_TD_Daily Mark-to-Market,Treasury_DL|FX Forward|FX_TD_Daily Mark-to-Market,
Treasury_DL,FX Swap,FX_MF_Trade Date OffBalance Principal,Treasury_DL|FX Swap|FX_MF_Trade Date OffBalance Principal,
Treasury_DL,FX Swap,FX_MF_Value Date OffBalance Principal,Treasury_DL|FX Swap|FX_MF_Value Date OffBalance Principal,
Treasury_DL,FX Swap,FX_MF_Value Date Principal,Treasury_DL|FX Swap|FX_MF_Value Date Principal,
Treasury_DL,FX Swap,FX_TD_Daily Mark-to-Market,Treasury_DL|FX Swap|FX_TD_Daily Mark-to-Market,
Treasury_DL,Placement,DepoLoan_TD_Daily Interest Accrual_FCY (NI),Treasury_DL|Placement|DepoLoan_TD_Daily Interest Accrual_FCY (NI),
Treasury_DL,Placement,DepoLoan_MF_Pay Date Interest PL_FCY (NI),Treasury_DL|Placement|DepoLoan_MF_Pay Date Interest PL_FCY (NI),
Treasury_DL,Borrowing,PSAK_MF_Pay Date Attributable Fee,Treasury_DL|Borrowing|PSAK_MF_Pay Date Attributable Fee,
Treasury_DL,Borrowing,DepoLoan_MF_Pay Date Interest PL_FCY (NI),Treasury_DL|Borrowing|DepoLoan_MF_Pay Date Interest PL_FCY (NI),
Treasury_DL,Borrowing,DepoLoan_TD_Daily Interest Accrual_FCY (NI),Treasury_DL|Borrowing|DepoLoan_TD_Daily Interest Accrual_FCY (NI),
Treasury_DL,FX NDF,FX_MF_Settle Date Payout_FCY (NI),Treasury_DL|FX NDF|FX_MF_Settle Date Payout_FCY (NI),
