PORTFOLIO,,,,,,,,,ADDITIONALINFO,,/ADDITIONALINFO,/PORTFOLIO
CURRENCY_PAIR.CURR2.INSID,COMPOUND,ASSINF,TYPE_CHLNBR.ENTRY,CURRENCY_PAIR.CURR1.INSID,CURRENCY_PAIR.NAME,PRFID,CURR.INSID,TYPE_CHLNBR.LIST,ADDINF_SPECNBR.FIELD_NAME,VALUE,,
,Yes,BMDL,,,,BMDL,USD,,FundPortfolio,No,,,
,Yes,BMDL - Trading,,,,BMDL - Trading,USD,,FundPortfolio,No,,,
,Yes,FXT BMDL,,,,FXT BMDL,USD,,FundPortfolio,No,,,
,,FX Spot 1 BMDL,,,,FX Spot 1 BMDL,USD,,FundPortfolio,No,,,
,,FX Spot 2 BMDL,,,,FX Spot 2 BMDL,USD,,FundPortfolio,No,,,
,,FX Derivatives 1 BMDL,,,,FX Derivatives 1 BMDL,USD,,FundPortfolio,No,,,
,,FX Derivatives 2 BMDL,,,,FX Derivatives 2 BMDL,USD,,FundPortfolio,No,,,
,Yes,IRT BMDL,,,,IRT BMDL,USD,,FundPortfolio,No,,,
,Yes,IRT DCM BMDL,,,,IRT DCM BMDL,USD,,FundPortfolio,No,,,
,,IRT DCM 1 BMDL,,,,IRT DCM 1 BMDL,USD,,FundPortfolio,No,,,
,,IRT DCM 2 BMDL,,,,IRT DCM 2 BMDL,USD,,FundPortfolio,No,,,
,Yes,IRT MM BMDL,,,,IRT MM BMDL,USD,,FundPortfolio,No,,,
,,IRT MM Depo Loan Repo RR 1 BMDL,,,,IRT MM Depo Loan Repo RR 1 BMDL,USD,,FundPortfolio,No,,,
,,IRT MM Depo Loan Repo RR 2 BMDL,,,,IRT MM Depo Loan Repo RR 2 BMDL,USD,,FundPortfolio,No,,,
,,IRT MM Bond RDPU 1 BMDL,,,,IRT MM Bond RDPU 1 BMDL,USD,,FundPortfolio,No,,,
,,IRT MM Bond RDPU 2 BMDL,,,,IRT MM Bond RDPU 2 BMDL,USD,,FundPortfolio,No,,,
,Yes,IRT Derivative BMDL,,,,IRT Derivative BMDL,USD,,FundPortfolio,No,,,
,,IRT Derivative 1 BMDL,,,,IRT Derivative 1 BMDL,USD,,FundPortfolio,No,,,
,,IRT Derivative 2 BMDL,,,,IRT Derivative 2 BMDL,USD,,FundPortfolio,No,,,
,Yes,BMDL - Banking,,,,BMDL - Banking,USD,,FundPortfolio,No,,,
,Yes,BBM BMDL,,,,BBM BMDL,USD,,FundPortfolio,No,,,
,Yes,Banking Derivatives BMDL,,,,Banking Derivatives BMDL,USD,,FundPortfolio,No,,,
,,BB Derivative BMDL,,,,BB Derivative BMDL,USD,,FundPortfolio,No,,,
,Yes,Banking FX BMDL,,,,Banking FX BMDL,USD,,FundPortfolio,No,,,
,,BB FX BMDL,,,,BB FX BMDL,USD,,FundPortfolio,No,,,
,Yes,Banking IR BMDL,,,,Banking IR BMDL,USD,,FundPortfolio,No,,,
,Yes,BB Bond Treasury BMDL,,,,BB Bond Treasury BMDL,USD,,FundPortfolio,No,,,
,,BB BOND PL BMDL,FVTPL,,,BB BOND PL BMDL,USD,PortfolioType,FundPortfolio,No,,,
,,BB BOND AC BMDL,Amortised Cost,,,BB BOND AC BMDL,USD,PortfolioType,FundPortfolio,No,,,
,,BB BOND OCI BMDL,FVOCI,,,BB BOND OCI BMDL,USD,PortfolioType,FundPortfolio,No,,,
,Yes,BB Bond Treasury Sharia BMDL,,,,BB Bond Treasury Sharia BMDL,USD,,FundPortfolio,No,,,
,,BB BOND SHARIA PL BMDL,FVTPL,,,BB BOND SHARIA PL BMDL,USD,PortfolioType,FundPortfolio,No,,,
,,BB BOND SHARIA AC BMDL,Amortised Cost,,,BB BOND SHARIA AC BMDL,USD,PortfolioType,FundPortfolio,No,,,
,,BB BOND SHARIA OCI BMDL,FVOCI,,,BB BOND SHARIA OCI BMDL,USD,PortfolioType,FundPortfolio,No,,,
,Yes,BB Bond BU BMDL,,,,BB Bond BU BMDL,USD,,FundPortfolio,No,,,
,Yes,Bonds BU IBFI BMDL,,,,Bonds BU IBFI BMDL,USD,,FundPortfolio,No,,,
,,IBFI 1 BMDL,,,,IBFI 1 BMDL,USD,,FundPortfolio,No,,,
,Yes,Bonds BU Corporate Banking BMDL,,,,Bonds BU Corporate Banking BMDL,USD,,FundPortfolio,No,,,
,,CB 1 BMDL,,,,CB 1 BMDL,USD,,FundPortfolio,No,,,
,,CB 2 BMDL,,,,CB 2 BMDL,USD,,FundPortfolio,No,,,
,,CB 3 BMDL,,,,CB 3 BMDL,USD,,FundPortfolio,No,,,
,,CB 4 BMDL,,,,CB 4 BMDL,USD,,FundPortfolio,No,,,
,,CB 5 BMDL,,,,CB 5 BMDL,USD,,FundPortfolio,No,,,
,,CB 6 BMDL,,,,CB 6 BMDL,USD,,FundPortfolio,No,,,
,Yes,Bonds BU GVI BMDL,,,,Bonds BU GVI BMDL,USD,,FundPortfolio,No,,,
,,GVI 1 BMDL,,,,GVI 1 BMDL,USD,,FundPortfolio,No,,,
,,GVI 2 BMDL,,,,GVI 2 BMDL,USD,,FundPortfolio,No,,,
,Yes,Bonds BU Commercial Banking BMDL,,,,Bonds BU Commercial Banking BMDL,USD,,FundPortfolio,No,,,
,,Commercial 1 BMDL,,,,Commercial 1 BMDL,USD,,FundPortfolio,No,,,
,,Commercial 2 BMDL,,,,Commercial 2 BMDL,USD,,FundPortfolio,No,,,
,,Commercial 3 BMDL,,,,Commercial 3 BMDL,USD,,FundPortfolio,No,,,
,,Commercial 4 BMDL,,,,Commercial 4 BMDL,USD,,FundPortfolio,No,,,
,,Commercial 5 BMDL,,,,Commercial 5 BMDL,USD,,FundPortfolio,No,,,
,,Commercial 6 BMDL,,,,Commercial 6 BMDL,USD,,FundPortfolio,No,,,
,Yes,Bonds BU SAM BMDL,,,,Bonds BU SAM BMDL,USD,,FundPortfolio,No,,,
,,SAM 1 BMDL,,,,SAM 1 BMDL,USD,,FundPortfolio,No,,,
,,SAM 2 BMDL,,,,SAM 2 BMDL,USD,,FundPortfolio,No,,,
,,SAM 3 BMDL,,,,SAM 3 BMDL,USD,,FundPortfolio,No,,,
,Yes,LAL BMDL,,,,LAL BMDL,USD,,FundPortfolio,No,,,
,,LIQ IB BMDL,,,,LIQ IB BMDL,USD,,FundPortfolio,No,,,
,,LIQ MM BMDL,,,,LIQ MM BMDL,USD,,FundPortfolio,No,,,
,,ALM Bilateral Loans BMDL,,,,ALM Bilateral Loans BMDL,USD,,FundPortfolio,No,,,
,,ALM Bonds Issued BMDL,,,,ALM Bonds Issued BMDL,USD,,FundPortfolio,No,,,
,,LIQ NOS BMDL,,,,LIQ NOS BMDL,USD,,FundPortfolio,No,,,
,Yes,BMDL - Client,,,,BMDL - Client,USD,,FundPortfolio,No,,,
,,FX with Customer BMDL,,,,FX with Customer BMDL,USD,,FundPortfolio,No,,,
,,Bonds with Customer BMDL,,,,Bonds with Customer BMDL,USD,,FundPortfolio,No,,,
,,Derivative with Customer BMDL,,,,Derivative with Customer BMDL,USD,,FundPortfolio,No,,,
