PORTFOLIOLINK,,,,/PORTFOLIOLINK
MEMBER_PRFNBR.PRFID,OWNER_PRFNBR.PRFID,OWNER_PRFNBR.ASSINF,MEMBER_PRFNBR.ASSINF,
BMDL,,,BMDL,
BMDL - Trading,BMDL,BMDL,BMDL - Trading,
FXT BMDL,BMDL - Trading,BMDL - Trading,FXT BMDL,
FX Spot 1 BMDL,FXT BMDL,FXT BMDL,FX Spot 1 BMDL,
FX Spot 2 BMDL,FXT BMDL,FXT BMDL,FX Spot 2 BMDL,
FX Derivatives 1 BMDL,FXT BMDL,FXT BMDL,FX Derivatives 1 BMDL,
FX Derivatives 2 BMDL,FXT BMDL,FXT BMDL,FX Derivatives 2 BMDL,
IRT BMDL,BMDL - Trading,BMDL - Trading,IRT BMDL,
IRT DCM BMDL,IRT BMDL,IRT BMDL,IRT DCM BMDL,
IRT DCM 1 BMDL,IRT DCM BMDL,IRT DCM BMDL,IRT DCM 1 BMDL,
IRT DCM 2 BMDL,IRT DCM BMDL,IRT DCM BMDL,IRT DCM 2 BMDL,
IRT MM BMDL,IRT BMDL,IRT BMDL,IRT MM BMDL,
IRT MM Depo Loan Repo RR 1 BMDL,IRT MM BMDL,IRT MM BMDL,IRT MM Depo Loan Repo RR 1 BMDL,
IRT MM Depo Loan Repo RR 2 BMDL,IRT MM BMDL,IRT MM BMDL,IRT MM Depo Loan Repo RR 2 BMDL,
IRT MM Bond RDPU 1 BMDL,IRT MM BMDL,IRT MM BMDL,IRT MM Bond RDPU 1 BMDL,
IRT MM Bond RDPU 2 BMDL,IRT MM BMDL,IRT MM BMDL,IRT MM Bond RDPU 2 BMDL,
IRT Derivative BMDL,IRT BMDL,IRT BMDL,IRT Derivative BMDL,
IRT Derivative 1 BMDL,IRT Derivative BMDL,IRT Derivative BMDL,IRT Derivative 1 BMDL,
IRT Derivative 2 BMDL,IRT Derivative BMDL,IRT Derivative BMDL,IRT Derivative 2 BMDL,
BMDL - Banking,BMDL,BMDL,BMDL - Banking,
BBM BMDL,BMDL - Banking,BMDL - Banking,BBM BMDL,
Banking Derivatives BMDL,BBM BMDL,BBM BMDL,Banking Derivatives BMDL,
BB Derivative BMDL,Banking Derivatives BMDL,Banking Derivatives BMDL,BB Derivative BMDL,
Banking FX BMDL,BBM BMDL,BBM BMDL,Banking FX BMDL,
BB FX BMDL,Banking FX BMDL,Banking FX BMDL,BB FX BMDL,
Banking IR BMDL,BBM BMDL,BBM BMDL,Banking IR BMDL,
BB Bond Treasury BMDL,Banking IR BMDL,Banking IR BMDL,BB Bond Treasury BMDL,
BB BOND PL BMDL,BB Bond Treasury BMDL,BB Bond Treasury BMDL,BB BOND PL BMDL,
BB BOND AC BMDL,BB Bond Treasury BMDL,BB Bond Treasury BMDL,BB BOND AC BMDL,
BB BOND OCI BMDL,BB Bond Treasury BMDL,BB Bond Treasury BMDL,BB BOND OCI BMDL,
BB Bond Treasury Sharia BMDL,Banking IR BMDL,Banking IR BMDL,BB Bond Treasury Sharia BMDL,
BB BOND SHARIA PL BMDL,BB Bond Treasury Sharia BMDL,BB Bond Treasury Sharia BMDL,BB BOND SHARIA PL BMDL,
BB BOND SHARIA AC BMDL,BB Bond Treasury Sharia BMDL,BB Bond Treasury Sharia BMDL,BB BOND SHARIA AC BMDL,
BB BOND SHARIA OCI BMDL,BB Bond Treasury Sharia BMDL,BB Bond Treasury Sharia BMDL,BB BOND SHARIA OCI BMDL,
BB Bond BU BMDL,Banking IR BMDL,Banking IR BMDL,BB Bond BU BMDL,
Bonds BU IBFI BMDL,BB Bond BU BMDL,BB Bond BU BMDL,Bonds BU IBFI BMDL,
IBFI 1 BMDL,Bonds BU IBFI BMDL,Bonds BU IBFI BMDL,IBFI 1 BMDL,
Bonds BU Corporate Banking BMDL,BB Bond BU BMDL,BB Bond BU BMDL,Bonds BU Corporate Banking BMDL,
CB 1 BMDL,Bonds BU Corporate Banking BMDL,Bonds BU Corporate Banking BMDL,CB 1 BMDL,
CB 2 BMDL,Bonds BU Corporate Banking BMDL,Bonds BU Corporate Banking BMDL,CB 2 BMDL,
CB 3 BMDL,Bonds BU Corporate Banking BMDL,Bonds BU Corporate Banking BMDL,CB 3 BMDL,
CB 4 BMDL,Bonds BU Corporate Banking BMDL,Bonds BU Corporate Banking BMDL,CB 4 BMDL,
CB 5 BMDL,Bonds BU Corporate Banking BMDL,Bonds BU Corporate Banking BMDL,CB 5 BMDL,
CB 6 BMDL,Bonds BU Corporate Banking BMDL,Bonds BU Corporate Banking BMDL,CB 6 BMDL,
Bonds BU GVI BMDL,BB Bond BU BMDL,BB Bond BU BMDL,Bonds BU GVI BMDL,
GVI 1 BMDL,Bonds BU GVI BMDL,Bonds BU GVI BMDL,GVI 1 BMDL,
GVI 2 BMDL,Bonds BU GVI BMDL,Bonds BU GVI BMDL,GVI 2 BMDL,
Bonds BU Commercial Banking BMDL,BB Bond BU BMDL,BB Bond BU BMDL,Bonds BU Commercial Banking BMDL,
Commercial 1 BMDL,Bonds BU Commercial Banking BMDL,Bonds BU Commercial Banking BMDL,Commercial 1 BMDL,
Commercial 2 BMDL,Bonds BU Commercial Banking BMDL,Bonds BU Commercial Banking BMDL,Commercial 2 BMDL,
Commercial 3 BMDL,Bonds BU Commercial Banking BMDL,Bonds BU Commercial Banking BMDL,Commercial 3 BMDL,
Commercial 4 BMDL,Bonds BU Commercial Banking BMDL,Bonds BU Commercial Banking BMDL,Commercial 4 BMDL,
Commercial 5 BMDL,Bonds BU Commercial Banking BMDL,Bonds BU Commercial Banking BMDL,Commercial 5 BMDL,
Commercial 6 BMDL,Bonds BU Commercial Banking BMDL,Bonds BU Commercial Banking BMDL,Commercial 6 BMDL,
Bonds BU SAM BMDL,BB Bond BU BMDL,BB Bond BU BMDL,Bonds BU SAM BMDL,
SAM 1 BMDL,Bonds BU SAM BMDL,Bonds BU SAM BMDL,SAM 1 BMDL,
SAM 2 BMDL,Bonds BU SAM BMDL,Bonds BU SAM BMDL,SAM 2 BMDL,
SAM 3 BMDL,Bonds BU SAM BMDL,Bonds BU SAM BMDL,SAM 3 BMDL,
LAL BMDL,BMDL - Banking,BMDL - Banking,LAL BMDL,
LIQ IB BMDL,LAL BMDL,LAL BMDL,LIQ IB BMDL,
LIQ MM BMDL,LAL BMDL,LAL BMDL,LIQ MM BMDL,
ALM Bilateral Loans BMDL,LAL BMDL,LAL BMDL,ALM Bilateral Loans BMDL,
ALM Bonds Issued BMDL,LAL BMDL,LAL BMDL,ALM Bonds Issued BMDL,
LIQ NOS BMDL,LAL BMDL,LAL BMDL,LIQ NOS BMDL,
BMDL - Client,BMDL,BMDL,BMDL - Client,
FX with Customer BMDL,BMDL - Client,BMDL - Client,FX with Customer BMDL,
Bonds with Customer BMDL,BMDL - Client,BMDL - Client,Bonds with Customer BMDL,
Derivative with Customer BMDL,BMDL - Client,BMDL - Client,Derivative with Customer BMDL,
