USERPROFILE,,PROFILECOMPONENT,,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_CREATE,ALLOW_DELETE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
BO Basic Workflow,BO_BASIC,Yes,Yes,Yes,TextObject,DBObject,,
,,Yes,Yes,Yes,OperationsDocument,DBObject,,
,,Yes,Yes,Yes,NettingRule,DBObject,,
,,,,,Force Business Process to State,Operation,,
,,,,,Zero Bond,Application,,
,,,,,Valuation Parameters,Application,,
,,,,,User Preferences,Application,,
,,,,,Underlying Definition,Application,,
,,,,,Transaction History,Application,,
,,,,,Trading Manager,Application,,
,,,,,Trade Report,Application,,
,,,,,Trade Filter,Application,,
,,,,,Time Series Specification,Application,,
,,,,,Time Series Dv Spec,Application,,
,,,,,Time Series Data,Application,,
,,,,,Swap,Application,,
,,,,,State Chart Viewer,Application,,
,,,,,State Chart,Application,,
,,,,,Sheet File Viewer,Application,,
,,,,,Settlement Process,Application,,
,,,,,Settle Instruction,Application,,
,,,,,Send Message,Application,,
,,,,,Send As Message...,Application,,
,,,,,Save As...,Application,,
,,,,,Save,Application,,
,,,,,Receive Message,Application,,
,,,,,Rate Index,Application,,
,,,,,Quit,Application,,
,,,,,Price Index,Application,,
,,,,,Party Groups,Application,,
,,,,,Party Definition,Application,,
,,,,,Party Alias,Application,,
,,,,,Option,Application,,
,,,,,Operations Viewer,Application,,
,,,,,Operations Manager,Application,,
,,,,,Open...,Application,,
,,,,,Netting Rule Definition,Application,,
,,,,,NDF,Application,,
,,,,,MBS/ABS,Application,,
,,,,,Master Agreement,Application,,
,,,,,Log Categories,Application,,
,,,,,Issuer Definition,Application,,
,,,,,Instrument Definition,Application,,
,,,,,Insert Items,Application,,
,,,,,Information Manager,Application,,
,,,,,Information,Application,,
,,,,,FX Swap Instrument,Application,,
,,,,,FX Rate,Application,,
,,,,,FX Option,Application,,
,,,,,FX Cash,Application,,
,,,,,Future/Forward,Application,,
,,,,,Fund,Application,,
,,,,,FRN,Application,,
,,,,,FRA,Application,,
,,,,,Four Eyes Control,Application,,
,,,,,Flexi Bond,Application,,
,,,,,Fill Fees,Application,,
,,,,,Deposit/Loan,Application,,
,,,,,Delete...,Application,,
,,,,,Delete,Application,,
,,,,,Curr Swap,Application,,
,,,,,Contact,Application,,
,,,,,Connected Trades Viewer,Application,,
,,,,,Compact Trade Entry,Application,,
,,,,,Commodity,Application,,
,,,,,Collateral Agreements,Application,,
,,,,,Collateral,Application,,
,,,,,Choice List,Application,,
,,,,,Charges,Application,,
,,,,,CD,Application,,
,,,,,Cash Payment,Application,,
,,,,,Call Deposit/Loan,Application,,
,,,,,Calendar,Application,,
,,,,,Business Process Details,Application,,
,,,,,Business Intelligence Workbench,Application,,
,,,,,Business Data Processing,Application,,
,,,,,Bond,Application,,
,,,,,Bill,Application,,
,,,,,Basket Repo/Reverse,Application,,
,,,,,Alias Type Specification,Application,,
,,,,,Alias,Application,,
,,,,,Agreement,Application,,
,,,,,AEF Browser,Application,,
,,,,,Account Definition,Application,,
,,,,,About...,Application,,
,,Yes,,Yes,BusinessProcess,DBObject,,
,,Yes,,Yes,BusinessEvent,DBObject,,
,,,,,Administration Console,Application,,
,,,,,Import Package,Application,,
,,,,,Valuation Viewer,Application,,
,,,,,Run Script,Operation,,
,,,,,Run Script,Application,,
,,,,,Compensation Payment,Operation,,
,,,,,Compensation Claim,Operation,,
,,,,,Pay Fair Value,Operation,,
,,,,,Pay Good Value,Operation,,
,,Yes,,Yes,Trade,DBObject,,
,,Yes,,Yes,Extension Module,DBObject,,
,,,,,Account Transfer,Operation,,
,,,,,Back Office,Operation,,
,,,,,Confirmation Instruction,Application,,
,,,,,Explorer,Application,,
