USERPROFILE,PROFILECOMPONENT,,,,,/PROFILECOMPONENT,/USERPROFILE
PROFID,ALLOW_CREATE,ALLOW_DELETE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
BO_DATASTATIC,Yes,Yes,Yes,ValuationParameters,DBObject,,
,Yes,Yes,Yes,TextObject,DBObject,,
,Yes,Yes,Yes,Price,DBObject,,
,Yes,Yes,Yes,PartyGroup,DBObject,,
,Yes,Yes,Yes,Party,DBObject,,
,Yes,Yes,Yes,InstrAliasType,DBObject,,
,Yes,Yes,Yes,Calendar,DBObject,,
,Yes,Yes,Yes,Bond,DBObject,,
,,,,CustomerRegistration,Operation,,
,,,,Valuation Viewer,Application,,
,,,,Confirmation Instruction,Application,,
,,,,Additional Info Specification,Application,,
,,,,Accounting Parameters,Application,,
,,,,Accounting,Application,,
,,,,DeleteSSI,Operation,,
,,,,Edit MTM Prices,Operation,,
,,,,Edit Prices,Operation,,
,,,,Price Entry,Application,,
