USERPROFILE,PROFILECOMPONENT,,,,/PROFILECOMPONENT,/USERPROFILE
PROFID,ALLOW_CREATE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
INS_ALL,,,Account Transfer,Operation,,
,,,Zero Bond,Application,,
,,,Swap,Application,,
,,,Option,Application,,
,,,NDF,Application,,
,,,MBS/ABS,Application,,
,,,FX Option,Application,,
,,,FX Cash,Application,,
,,,Future/Forward,Application,,
,,,Fund,Application,,
,,,FRN,Application,,
,,,FRA,Application,,
,,,Deposit/Loan,Application,,
,,,Currency,Application,,
,,,Curr Swap,Application,,
,,,Commodity,Application,,
,,,Collateral,Application,,
,,,Cash Payment,Application,,
,,,Bond,Application,,
,,,Bill,Application,,
,,,Basket Repo/Reverse,Application,,
,Yes,Yes,Zero,DBObject,,
,Yes,Yes,Swap,DBObject,,
,Yes,Yes,Option,DBObject,,
,Yes,Yes,MBS/ABS,DBObject,,
,Yes,Yes,FxSwap,DBObject,,
,Yes,Yes,Fx Rate,DBObject,,
,Yes,Yes,Fx Forward Rate,DBObject,,
,Yes,Yes,Future/Forward,DBObject,,
,Yes,Yes,Fund,DBObject,,
,Yes,Yes,FRN,DBObject,,
,Yes,Yes,FRA,DBObject,,
,Yes,Yes,Deposit,DBObject,,
,Yes,Yes,DealPackage,DBObject,,
,Yes,Yes,CurrSwap,DBObject,,
,Yes,Yes,Curr,DBObject,,
,Yes,Yes,Commodity,DBObject,,
,Yes,Yes,Collateral,DBObject,,
,Yes,Yes,CashCollateral,DBObject,,
,Yes,Yes,Bond,DBObject,,
,Yes,Yes,Bill,DBObject,,
,Yes,Yes,BasketRepo/Reverse,DBObject,,
,,,Run Script,Operation,,
,,,Run Script,Application,,
