USERPROFILE,PROFILECOMPONENT,,,,,/PROFILECOMPONENT,/USERPROFILE
PROFID,ALLOW_CREATE,ALLOW_DELETE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
MO_MAKER,Yes,Yes,Yes,YieldCurve,DBObject,,
,Yes,Yes,Yes,Volatility,DBObject,,
,Yes,Yes,Yes,ValuationParameters,DBObject,,
,Yes,,Yes,TransHstValidFrom,DBObject,,
,Yes,,Yes,TransHstSubscription,DBObject,,
,Yes,,Yes,TransHst,DBObject,,
,Yes,,Yes,TradeFilter,DBObject,,
,Yes,Yes,Yes,TimeSeriesSpec,DBObject,,
,Yes,Yes,Yes,TimeSeriesDvSpec,DBObject,,
,Yes,Yes,Yes,TimeSeriesDv,DBObject,,
,Yes,Yes,Yes,TimeSeries,DBObject,,
,Yes,Yes,Yes,ThresholdAdj,DBObject,,
,Yes,Yes,Yes,TextObject,DBObject,,
,Yes,Yes,Yes,Swap,DBObject,,
,Yes,Yes,Yes,StateChartMapping,DBObject,,
,Yes,Yes,Yes,StateChart,DBObject,,
,Yes,Yes,Yes,RoutingRedirection,DBObject,,
,Yes,Yes,Yes,RoutingInstruction,DBObject,,
,Yes,Yes,Yes,RoutingInstrMapping,DBObject,,
,Yes,Yes,Yes,RoundingSpec,DBObject,,
,Yes,Yes,Yes,RiskFactorSpecHeader,DBObject,,
,Yes,Yes,Yes,RiskFactorSetup,DBObject,,
,Yes,Yes,Yes,RiskFactorMember,DBObject,,
,Yes,Yes,Yes,Risk Free YC,DBObject,,
,Yes,Yes,Yes,RateIndex,DBObject,,
,Yes,Yes,Yes,Quotation,DBObject,,
,Yes,Yes,Yes,PriceSemantic,DBObject,,
,Yes,Yes,Yes,PriceLinkDefinition,DBObject,,
,Yes,Yes,Yes,PriceFinding,DBObject,,
,Yes,Yes,Yes,PriceDistributor,DBObject,,
,Yes,Yes,Yes,PriceDefinition,DBObject,,
,Yes,Yes,Yes,Price,DBObject,,
,Yes,Yes,Yes,PositionSpecification,DBObject,,
,Yes,Yes,Yes,Portfolio,DBObject,,
,Yes,Yes,Yes,Person,DBObject,,
,Yes,Yes,Yes,PartyGroup,DBObject,,
,Yes,Yes,Yes,Party,DBObject,,
,Yes,Yes,Yes,ParameterMapping,DBObject,,
,Yes,Yes,Yes,Option,DBObject,,
,Yes,Yes,Yes,MasterAgreement,DBObject,,
,Yes,Yes,Yes,MarginCall,DBObject,,
,Yes,Yes,Yes,MBS/ABS,DBObject,,
,Yes,Yes,Yes,ListNode,DBObject,,
,Yes,Yes,Yes,LimitValue,DBObject,,
,Yes,Yes,Yes,LimitSpec,DBObject,,
,Yes,Yes,Yes,Limit,DBObject,,
,Yes,Yes,Yes,IntradayPrice,DBObject,,
,Yes,Yes,Yes,InstrumentPackage,DBObject,,
,Yes,Yes,Yes,InstrAliasType,DBObject,,
,Yes,Yes,Yes,HierarchyType,DBObject,,
,Yes,Yes,Yes,Hierarchy,DBObject,,
,Yes,Yes,Yes,HedgePackage,DBObject,,
,Yes,Yes,Yes,HedgeLink,DBObject,,
,Yes,Yes,Yes,Group,DBObject,,
,Yes,Yes,Yes,FxSwap,DBObject,,
,Yes,Yes,Yes,Fx Rate,DBObject,,
,Yes,Yes,Yes,Fx Forward Rate,DBObject,,
,Yes,Yes,Yes,Future/Forward,DBObject,,
,Yes,Yes,Yes,Fund,DBObject,,
,Yes,Yes,Yes,FRN,DBObject,,
,Yes,Yes,Yes,FreeDefCF,DBObject,,
,Yes,Yes,Yes,FRA,DBObject,,
,Yes,Yes,Yes,FixingDateRule,DBObject,,
,Yes,Yes,Yes,Deposit,DBObject,,
,Yes,Yes,Yes,DealPackage,DBObject,,
,Yes,Yes,Yes,CurrSwap,DBObject,,
,Yes,Yes,Yes,CurrencyPair,DBObject,,
,Yes,Yes,Yes,Credit Balance,DBObject,,
,Yes,Yes,Yes,Covariance,DBObject,,
,Yes,Yes,Yes,CorrelationMatrix,DBObject,,
,Yes,Yes,Yes,ComponentLink,DBObject,,
,Yes,Yes,Yes,Component,DBObject,,
,Yes,Yes,Yes,ComplianceRule,DBObject,,
,Yes,Yes,Yes,CollateralAgreement,DBObject,,
,Yes,Yes,Yes,Collateral,DBObject,,
,Yes,Yes,Yes,ChangeRequest,DBObject,,
,Yes,Yes,Yes,Calendar,DBObject,,
,Yes,Yes,Yes,CalcRow,DBObject,,
,Yes,Yes,Yes,CalcColumn,DBObject,,
,Yes,Yes,Yes,BusinessProcess,DBObject,,
,Yes,Yes,Yes,BusinessEvent,DBObject,,
,Yes,Yes,Yes,Bond,DBObject,,
,Yes,Yes,Yes,Bill,DBObject,,
,Yes,Yes,Yes,BasketRepo/Reverse,DBObject,,
,Yes,Yes,Yes,AppliedRule,DBObject,,
,Yes,Yes,Yes,AllocationSchmTrdLnk,DBObject,,
,Yes,Yes,Yes,AllocationRule,DBObject,,
,Yes,Yes,Yes,AllocationDimension,DBObject,,
,Yes,Yes,Yes,Alert,DBObject,,
,,,,Four Eyes Control,Application,,
,Yes,,Yes,Extension Module,DBObject,,
,,,,TimeSeriesSpec,DBObject,,
,,,,TimeSeries,DBObject,,
