TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_HK,FX Spot,FX_MF_Value Date OffBalance Principal,Treasury_HK|FX Spot|FX_MF_Value Date OffBalance Principal,
Treasury_HK,FX Spot,FX_MF_Value Date Principal,Treasury_HK|FX Spot|FX_MF_Value Date Principal,
Treasury_HK,FX Spot,FX_MF_Trade Date OffBalance Principal,Treasury_HK|FX Spot|FX_MF_Trade Date OffBalance Principal,
Treasury_HK,FX NDF,FX_TD_Trade Date OffBalance Principal,Treasury_HK|FX NDF|FX_TD_Trade Date OffBalance Principal,
Treasury_HK,FX NDF,FX_TD_Expiry Date OffBalance Principal,Treasury_HK|FX NDF|FX_TD_Expiry Date OffBalance Principal,
Treasury_HK,FX NDF,FX_TD_Daily Mark-to-Market NDF,Treasury_HK|FX NDF|FX_TD_Daily Mark-to-Market NDF,
Treasury_HK,FX NDF,FX_TD_Closing Date OffBalance Principal,Treasury_HK|FX NDF|FX_TD_Closing Date OffBalance Principal,
Treasury_HK,FX NDF,FX_MF_Settle Date Payout,Treasury_HK|FX NDF|FX_MF_Settle Date Payout,
Treasury_HK,FXO,FX Option_TD_Daily Mark to Market,Treasury_HK|FXO|FX Option_TD_Daily Mark to Market,
Treasury_HK,FXO,FX Option_TD_Trade Date OffBalance Principal,Treasury_HK|FXO|FX Option_TD_Trade Date OffBalance Principal,
Treasury_HK,Bond Amortised Cost,Bond_MF_Pay Date Settlement Principal,Treasury_HK|Bond Amortised Cost|Bond_MF_Pay Date Settlement Principal,
Treasury_HK,Bond Amortised Cost,Bond_TD_Daily Interest Accrual,Treasury_HK|Bond Amortised Cost|Bond_TD_Daily Interest Accrual,
Treasury_HK,Bond Amortised Cost,Bond_TD_Daily Premium/Discount Amortization,Treasury_HK|Bond Amortised Cost|Bond_TD_Daily Premium/Discount Amortization,
Treasury_HK,Bond FVOCI,Bond_TD_Daily MtM Trade Contract Ref BUPL,Treasury_HK|Bond FVOCI|Bond_TD_Daily MtM Trade Contract Ref BUPL,
Treasury_HK,Bond FVOCI,Bond_TD_Daily Interest Accrual,Treasury_HK|Bond FVOCI|Bond_TD_Daily Interest Accrual,
Treasury_HK,Bond FVOCI,Bond_TD_Daily Premium/Discount Amortization,Treasury_HK|Bond FVOCI|Bond_TD_Daily Premium/Discount Amortization,
Treasury_HK,Bond FVTPL,Bond_TD_Daily MtM Trade Contract Ref BUPL,Treasury_HK|Bond FVTPL|Bond_TD_Daily MtM Trade Contract Ref BUPL,
Treasury_HK,Bond FVTPL,Bond FVTPL_TD_Trade Date Buy,Treasury_HK|Bond FVTPL|Bond FVTPL_TD_Trade Date Buy,
Treasury_HK,Bond FVTPL,Bond_TD_Daily Interest Accrual,Treasury_HK|Bond FVTPL|Bond_TD_Daily Interest Accrual,
Treasury_HK,Bond FVTPL,Bond_MF_Pay Date Settlement Principal,Treasury_HK|Bond FVTPL|Bond_MF_Pay Date Settlement Principal,
Treasury_HK,Bond FVTPL,Bond_MF_Pay Date Interest,Treasury_HK|Bond FVTPL|Bond_MF_Pay Date Interest,
Treasury_HK,Bond Amortised Cost,Bond_MF_Pay Date Interest,Treasury_HK|Bond Amortised Cost|Bond_MF_Pay Date Interest,
Treasury_HK,Bond FVOCI,Bond_MF_Pay Date Interest,Treasury_HK|Bond FVOCI|Bond_MF_Pay Date Interest,
Treasury_HK,Bond FVOCI,Bond_MF_Pay Date Settlement Principal,Treasury_HK|Bond FVOCI|Bond_MF_Pay Date Settlement Principal,
Treasury_HK,FXO,FX Option_TD_Maturity Date OffBalance Principal,Treasury_HK|FXO|FX Option_TD_Maturity Date OffBalance Principal,
Treasury_HK,FX Spot,FX_TD_Daily Mark-to-Market,Treasury_HK|FX Spot|FX_TD_Daily Mark-to-Market,
Treasury_HK,CCS IRS,CCS/IRS_TD_Daily Mark to Market,Treasury_HK|CCS IRS|CCS/IRS_TD_Daily Mark to Market,
Treasury_HK,CCS IRS,CCS/IRS_MF_Pay Date Interest_Pay,Treasury_HK|CCS IRS|CCS/IRS_MF_Pay Date Interest_Pay,
Treasury_HK,CCS IRS,CCS/IRS_MF_Pay Date Termination Fee,Treasury_HK|CCS IRS|CCS/IRS_MF_Pay Date Termination Fee,
Treasury_HK,Borrowing,DepoLoan_MF_Pay Date Interest PL,Treasury_HK|Borrowing|DepoLoan_MF_Pay Date Interest PL,
