PORTFOLIO,,,,,,,,,ADDITIONALINFO,,/ADDITIONALINFO,/PORTFOLIO
CURRENCY_PAIR.CURR2.INSID,COMPOUND,ASSINF,TYPE_CHLNBR.ENTRY,CURRENCY_PAIR.CURR1.INSID,CURRENCY_PAIR.NAME,PRFID,CURR.INSID,TYPE_CHLNBR.LIST,ADDINF_SPECNBR.FIELD_NAME,VALUE,,
,Yes,BMHK,,,,BMHK,USD,,FundPortfolio,No,,
,Yes,BMHK - Trading,,,,BMHK - Trading,USD,,FundPortfolio,No,,
,Yes,FXT BMHK,,,,FXT BMHK,USD,,FundPortfolio,No,,
,,FX Spot 1 BMHK,,,,FX Spot 1 BMHK,USD,,FundPortfolio,No,,
,,FX Spot 2 BMHK,,,,FX Spot 2 BMHK,USD,,FundPortfolio,No,,
,,FX Derivatives 1 BMHK,,,,FX Derivatives 1 BMHK,USD,,FundPortfolio,No,,
,,FX Derivatives 2 BMHK,,,,FX Derivatives 2 BMHK,USD,,FundPortfolio,No,,
,Yes,IRT BMHK,,,,IRT BMHK,USD,,FundPortfolio,No,,
,Yes,IRT DCM BMHK,,,,IRT DCM BMHK,USD,,FundPortfolio,No,,
,,IRT DCM 1 BMHK,,,,IRT DCM 1 BMHK,USD,,FundPortfolio,No,,
,,IRT DCM 2 BMHK,,,,IRT DCM 2 BMHK,USD,,FundPortfolio,No,,
,Yes,IRT MM BMHK,,,,IRT MM BMHK,USD,,FundPortfolio,No,,
,,IRT MM Depo Loan Repo RR 1 BMHK,,,,IRT MM Depo Loan Repo RR 1 BMHK,USD,,FundPortfolio,No,,
,,IRT MM Depo Loan Repo RR 2 BMHK,,,,IRT MM Depo Loan Repo RR 2 BMHK,USD,,FundPortfolio,No,,
,,IRT MM Bond RDPU 1 BMHK,,,,IRT MM Bond RDPU 1 BMHK,USD,,FundPortfolio,No,,
,,IRT MM Bond RDPU 2 BMHK,,,,IRT MM Bond RDPU 2 BMHK,USD,,FundPortfolio,No,,
,Yes,IRT Derivative BMHK,,,,IRT Derivative BMHK,USD,,FundPortfolio,No,,
,,IRT Derivative 1 BMHK,,,,IRT Derivative 1 BMHK,USD,,FundPortfolio,No,,
,,IRT Derivative 2 BMHK,,,,IRT Derivative 2 BMHK,USD,,FundPortfolio,No,,
,Yes,BMHK - Banking,,,,BMHK - Banking,USD,,FundPortfolio,No,,
,Yes,BBM BMHK,,,,BBM BMHK,USD,,FundPortfolio,No,,
,Yes,Banking Derivatives BMHK,,,,Banking Derivatives BMHK,USD,,FundPortfolio,No,,
,,BB Derivative BMHK,,,,BB Derivative BMHK,USD,,FundPortfolio,No,,
,Yes,Banking FX BMHK,,,,Banking FX BMHK,USD,,FundPortfolio,No,,
,,BB FX BMHK,,,,BB FX BMHK,USD,,FundPortfolio,No,,
,Yes,Banking IR BMHK,,,,Banking IR BMHK,USD,,FundPortfolio,No,,
,Yes,BB Bond Treasury BMHK,,,,BB Bond Treasury BMHK,USD,,FundPortfolio,No,,
,,BB BOND PL BMHK,FVTPL,,,BB BOND PL BMHK,USD,PortfolioType,FundPortfolio,No,,
,,BB BOND AC BMHK,Amortised Cost,,,BB BOND AC BMHK,USD,PortfolioType,FundPortfolio,No,,
,,BB BOND OCI BMHK,FVOCI,,,BB BOND OCI BMHK,USD,PortfolioType,FundPortfolio,No,,
,Yes,BB Bond Treasury Sharia BMHK,,,,BB Bond Treasury Sharia BMHK,USD,,FundPortfolio,No,,
,,BB BOND SHARIA PL BMHK,FVTPL,,,BB BOND SHARIA PL BMHK,USD,PortfolioType,FundPortfolio,No,,
,,BB BOND SHARIA AC BMHK,Amortised Cost,,,BB BOND SHARIA AC BMHK,USD,PortfolioType,FundPortfolio,No,,
,,BB BOND SHARIA OCI BMHK,FVOCI,,,BB BOND SHARIA OCI BMHK,USD,PortfolioType,FundPortfolio,No,,
,Yes,BB Bond BU BMHK,,,,BB Bond BU BMHK,USD,,FundPortfolio,No,,
,Yes,Bonds BU IBFI BMHK,,,,Bonds BU IBFI BMHK,USD,,FundPortfolio,No,,
,,IBFI 1 BMHK,,,,IBFI 1 BMHK,USD,,FundPortfolio,No,,
,Yes,Bonds BU Corporate Banking BMHK,,,,Bonds BU Corporate Banking BMHK,USD,,FundPortfolio,No,,
,,CB 1 BMHK,,,,CB 1 BMHK,USD,,FundPortfolio,No,,
,,CB 2 BMHK,,,,CB 2 BMHK,USD,,FundPortfolio,No,,
,,CB 3 BMHK,,,,CB 3 BMHK,USD,,FundPortfolio,No,,
,,CB 4 BMHK,,,,CB 4 BMHK,USD,,FundPortfolio,No,,
,,CB 5 BMHK,,,,CB 5 BMHK,USD,,FundPortfolio,No,,
,,CB 6 BMHK,,,,CB 6 BMHK,USD,,FundPortfolio,No,,
,Yes,Bonds BU GVI BMHK,,,,Bonds BU GVI BMHK,USD,,FundPortfolio,No,,
,,GVI 1 BMHK,,,,GVI 1 BMHK,USD,,FundPortfolio,No,,
,,GVI 2 BMHK,,,,GVI 2 BMHK,USD,,FundPortfolio,No,,
,Yes,Bonds BU Commercial Banking BMHK,,,,Bonds BU Commercial Banking BMHK,USD,,FundPortfolio,No,,
,,Commercial 1 BMHK,,,,Commercial 1 BMHK,USD,,FundPortfolio,No,,
