PORTFOLIOLINK,,,,/PORTFOLIOLINK
MEMBER_PRFNBR.PRFID,OWNER_PRFNBR.PRFID,OWNER_PRFNBR.ASSINF,MEMBER_PRFNBR.ASSINF,
BMHK,,,BMHK,
BMHK - Trading,BMHK,BMHK,BMHK - Trading,
FXT BMHK,BMHK - Trading,BMHK - Trading,FXT BMHK,
FX Spot 1 BMHK,FXT BMHK,FXT BMHK,FX Spot 1 BMHK,
FX Spot 2 BMHK,FXT BMHK,FXT BMHK,FX Spot 2 BMHK,
FX Derivatives 1 BMHK,FXT BMHK,FXT BMHK,FX Derivatives 1 BMHK,
FX Derivatives 2 BMHK,FXT BMHK,FXT BMHK,FX Derivatives 2 BMHK,
IRT BMHK,BMHK - Trading,BMHK - Trading,IRT BMHK,
IRT DCM BMHK,IRT BMHK,IRT BMHK,IRT DCM BMHK,
IRT DCM 1 BMHK,IRT DCM BMHK,IRT DCM BMHK,IRT DCM 1 BMHK,
IRT DCM 2 BMHK,IRT DCM BMHK,IRT DCM BMHK,IRT DCM 2 BMHK,
IRT MM BMHK,IRT BMHK,IRT BMHK,IRT MM BMHK,
IRT MM Depo Loan Repo RR 1 BMHK,IRT MM BMHK,IRT MM BMHK,IRT MM Depo Loan Repo RR 1 BMHK,
IRT MM Depo Loan Repo RR 2 BMHK,IRT MM BMHK,IRT MM BMHK,IRT MM Depo Loan Repo RR 2 BMHK,
IRT MM Bond RDPU 1 BMHK,IRT MM BMHK,IRT MM BMHK,IRT MM Bond RDPU 1 BMHK,
IRT MM Bond RDPU 2 BMHK,IRT MM BMHK,IRT MM BMHK,IRT MM Bond RDPU 2 BMHK,
IRT Derivative BMHK,IRT BMHK,IRT BMHK,IRT Derivative BMHK,
IRT Derivative 1 BMHK,IRT Derivative BMHK,IRT Derivative BMHK,IRT Derivative 1 BMHK,
IRT Derivative 2 BMHK,IRT Derivative BMHK,IRT Derivative BMHK,IRT Derivative 2 BMHK,
BMHK - Banking,BMHK,BMHK,BMHK - Banking,
BBM BMHK,BMHK - Banking,BMHK - Banking,BBM BMHK,
Banking Derivatives BMHK,BBM BMHK,BBM BMHK,Banking Derivatives BMHK,
BB Derivative BMHK,Banking Derivatives BMHK,Banking Derivatives BMHK,BB Derivative BMHK,
Banking FX BMHK,BBM BMHK,BBM BMHK,Banking FX BMHK,
BB FX BMHK,Banking FX BMHK,Banking FX BMHK,BB FX BMHK,
Banking IR BMHK,BBM BMHK,BBM BMHK,Banking IR BMHK,
BB Bond Treasury BMHK,Banking IR BMHK,Banking IR BMHK,BB Bond Treasury BMHK,
BB BOND PL BMHK,BB Bond Treasury BMHK,BB Bond Treasury BMHK,BB BOND PL BMHK,
BB BOND AC BMHK,BB Bond Treasury BMHK,BB Bond Treasury BMHK,BB BOND AC BMHK,
BB BOND OCI BMHK,BB Bond Treasury BMHK,BB Bond Treasury BMHK,BB BOND OCI BMHK,
BB Bond Treasury Sharia BMHK,Banking IR BMHK,Banking IR BMHK,BB Bond Treasury Sharia BMHK,
BB BOND SHARIA PL BMHK,BB Bond Treasury Sharia BMHK,BB Bond Treasury Sharia BMHK,BB BOND SHARIA PL BMHK,
BB BOND SHARIA AC BMHK,BB Bond Treasury Sharia BMHK,BB Bond Treasury Sharia BMHK,BB BOND SHARIA AC BMHK,
BB BOND SHARIA OCI BMHK,BB Bond Treasury Sharia BMHK,BB Bond Treasury Sharia BMHK,BB BOND SHARIA OCI BMHK,
BB Bond BU BMHK,Banking IR BMHK,Banking IR BMHK,BB Bond BU BMHK,
Bonds BU IBFI BMHK,BB Bond BU BMHK,BB Bond BU BMHK,Bonds BU IBFI BMHK,
IBFI 1 BMHK,Bonds BU IBFI BMHK,Bonds BU IBFI BMHK,IBFI 1 BMHK,
Bonds BU Corporate Banking BMHK,BB Bond BU BMHK,BB Bond BU BMHK,Bonds BU Corporate Banking BMHK,
CB 1 BMHK,Bonds BU Corporate Banking BMHK,Bonds BU Corporate Banking BMHK,CB 1 BMHK,
CB 2 BMHK,Bonds BU Corporate Banking BMHK,Bonds BU Corporate Banking BMHK,CB 2 BMHK,
CB 3 BMHK,Bonds BU Corporate Banking BMHK,Bonds BU Corporate Banking BMHK,CB 3 BMHK,
CB 4 BMHK,Bonds BU Corporate Banking BMHK,Bonds BU Corporate Banking BMHK,CB 4 BMHK,
CB 5 BMHK,Bonds BU Corporate Banking BMHK,Bonds BU Corporate Banking BMHK,CB 5 BMHK,
CB 6 BMHK,Bonds BU Corporate Banking BMHK,Bonds BU Corporate Banking BMHK,CB 6 BMHK,
Bonds BU GVI BMHK,BB Bond BU BMHK,BB Bond BU BMHK,Bonds BU GVI BMHK,
GVI 1 BMHK,Bonds BU GVI BMHK,Bonds BU GVI BMHK,GVI 1 BMHK,
GVI 2 BMHK,Bonds BU GVI BMHK,Bonds BU GVI BMHK,GVI 2 BMHK,
Bonds BU Commercial Banking BMHK,BB Bond BU BMHK,BB Bond BU BMHK,Bonds BU Commercial Banking BMHK,
Commercial 1 BMHK,Bonds BU Commercial Banking BMHK,Bonds BU Commercial Banking BMHK,Commercial 1 BMHK,
Commercial 2 BMHK,Bonds BU Commercial Banking BMHK,Bonds BU Commercial Banking BMHK,Commercial 2 BMHK,
Commercial 3 BMHK,Bonds BU Commercial Banking BMHK,Bonds BU Commercial Banking BMHK,Commercial 3 BMHK,
Commercial 4 BMHK,Bonds BU Commercial Banking BMHK,Bonds BU Commercial Banking BMHK,Commercial 4 BMHK,
Commercial 5 BMHK,Bonds BU Commercial Banking BMHK,Bonds BU Commercial Banking BMHK,Commercial 5 BMHK,
Commercial 6 BMHK,Bonds BU Commercial Banking BMHK,Bonds BU Commercial Banking BMHK,Commercial 6 BMHK,
Bonds BU SAM BMHK,BB Bond BU BMHK,BB Bond BU BMHK,Bonds BU SAM BMHK,
SAM 1 BMHK,Bonds BU SAM BMHK,Bonds BU SAM BMHK,SAM 1 BMHK,
SAM 2 BMHK,Bonds BU SAM BMHK,Bonds BU SAM BMHK,SAM 2 BMHK,
SAM 3 BMHK,Bonds BU SAM BMHK,Bonds BU SAM BMHK,SAM 3 BMHK,
LAL BMHK,BMHK - Banking,BMHK - Banking,LAL BMHK,
LIQ IB BMHK,LAL BMHK,LAL BMHK,LIQ IB BMHK,
LIQ MM BMHK,LAL BMHK,LAL BMHK,LIQ MM BMHK,
ALM Bilateral Loans BMHK,LAL BMHK,LAL BMHK,ALM Bilateral Loans BMHK,
ALM Bonds Issued BMHK,LAL BMHK,LAL BMHK,ALM Bonds Issued BMHK,
LIQ NOS BMHK,LAL BMHK,LAL BMHK,LIQ NOS BMHK,
BMHK -  Client,BMHK,BMHK,BMHK -  Client,
FX with Customer BMHK,BMHK -  Client,BMHK -  Client,FX with Customer BMHK,
Bonds with Customer BMHK,BMHK -  Client,BMHK -  Client,Bonds with Customer BMHK,
Derivative with Customer BMHK,BMHK -  Client,BMHK -  Client,Derivative with Customer BMHK,
