BOOKLINK,,,/BOOKLINK
BOOK.NAME,TREATMENT.NAME,ID,
Treasury_SG_ACU,FX NDF,Treasury_SG_ACU|FX NDF,
Treasury_SG_ACU,FXO,Treasury_SG_ACU|FXO,
Treasury_SG_ACU,Bond Amortised Cost,Treasury_SG_ACU|Bond Amortised Cost,
Treasury_SG_ACU,Bond FVOCI,Treasury_SG_ACU|Bond FVOCI,
Treasury_SG_ACU,Bond FVTPL,Treasury_SG_ACU|Bond FVTPL,
Treasury_SG_ACU,FX Spot,Treasury_SG_ACU|FX Spot,
Treasury_SG_ACU,Repo,Treasury_SG_ACU|Repo,
Treasury_SG_ACU,IRS,Treasury_SG_ACU|IRS,
Treasury_SG_ACU,Reverse Repo,Treasury_SG_ACU|Reverse Repo,
Treasury_SG_ACU,Placement,Treasury_SG_ACU|Placement,
Treasury_SG_ACU,Borrowing,Treasury_SG_ACU|Borrowing,
Treasury_SG_ACU,Bond Forward,Treasury_SG_ACU|Bond Forward,
Treasury_SG_ACU,Cash_Payment Autoinvest,Treasury_SG_ACU|Cash_Payment Autoinvest,
Treasury_SG_ACU,Settlement,Treasury_SG_ACU|Settlement,
Treasury_SG_ACU,FX Forward,Treasury_SG_ACU|FX Forward,
Treasury_SG_ACU,FX Swap,Treasury_SG_ACU|FX Swap,
Treasury_SG_ACU,Placement(Discounted),Treasury_SG_ACU|Placement(Discounted),
Treasury_SG_ACU,Bond Issuance,Treasury_SG_ACU|Bond Issuance,
Treasury_SG_ACU,FRA,Treasury_SG_ACU|FRA,
Treasury_SG_ACU,Repo Coupon Transfer,Treasury_SG_ACU|Repo Coupon Transfer,
Treasury_SG_ACU,Bond Option,Treasury_SG_ACU|Bond Option,
Treasury_SG_ACU,Bank Notes Commodity Spot,Treasury_SG_ACU|Bank Notes Commodity Spot,
Treasury_SG_ACU,Bank Notes Commodity Fwd,Treasury_SG_ACU|Bank Notes Commodity Fwd,
Treasury_SG_ACU,MMLD FXO,Treasury_SG_ACU|MMLD FXO,
Treasury_SG_ACU,DCI Premium,Treasury_SG_ACU|DCI Premium,
Treasury_SG_ACU,MMLD Rate,Treasury_SG_ACU|MMLD Rate,
Treasury_SG_DBU,Bond Amortised Cost,Treasury_SG_DBU|Bond Amortised Cost,
Treasury_SG_DBU,Bond FVOCI,Treasury_SG_DBU|Bond FVOCI,
Treasury_SG_DBU,Bond FVTPL,Treasury_SG_DBU|Bond FVTPL,
Treasury_SG_DBU,Bond Issuance,Treasury_SG_DBU|Bond Issuance,
Treasury_SG_DBU,Borrowing,Treasury_SG_DBU|Borrowing,
Treasury_SG_DBU,Placement,Treasury_SG_DBU|Placement,
Treasury_SG_DBU,Repo,Treasury_SG_DBU|Repo,
Treasury_SG_DBU,Reverse Repo,Treasury_SG_DBU|Reverse Repo,
Treasury_SG_DBU,Repo Coupon Transfer,Treasury_SG_DBU|Repo Coupon Transfer,
Treasury_SG_DBU,FXO,Treasury_SG_DBU|FXO,
Treasury_SG_DBU,FX Swap,Treasury_SG_DBU|FX Swap,
Treasury_SG_DBU,FX Spot,Treasury_SG_DBU|FX Spot,
Treasury_SG_DBU,FX NDF,Treasury_SG_DBU|FX NDF,
Treasury_SG_DBU,FX Forward,Treasury_SG_DBU|FX Forward,
Treasury_SG_DBU,IRS,Treasury_SG_DBU|IRS,
Treasury_SG_ACU,CCS,Treasury_SG_ACU|CCS,
Treasury_SG_DBU,CCS,Treasury_SG_DBU|CCS,
Treasury_SG_DBU,Settlement,Treasury_SG_DBU|Settlement,
Treasury_SG_DBU,InterOffice Settlement,Treasury_SG_DBU|InterOffice Settlement,
Treasury_SG_ACU,InterOffice Settlement,Treasury_SG_ACU|InterOffice Settlement,
