TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_SG_ACU,FX Spot,FX_MF_Value Date OffBalance Principal,Treasury_SG_ACU|FX Spot|FX_MF_Value Date OffBalance Principal,
Treasury_SG_ACU,FX Spot,FX_MF_Value Date Principal,Treasury_SG_ACU|FX Spot|FX_MF_Value Date Principal,
Treasury_SG_ACU,FX Spot,FX_MF_Trade Date OffBalance Principal,Treasury_SG_ACU|FX Spot|FX_MF_Trade Date OffBalance Principal,
Treasury_SG_ACU,FX NDF,FX_TD_Trade Date OffBalance Principal,Treasury_SG_ACU|FX NDF|FX_TD_Trade Date OffBalance Principal,
Treasury_SG_ACU,FX NDF,FX_TD_Expiry Date OffBalance Principal,Treasury_SG_ACU|FX NDF|FX_TD_Expiry Date OffBalance Principal,
Treasury_SG_ACU,FX NDF,FX_TD_Daily Mark-to-Market NDF,Treasury_SG_ACU|FX NDF|FX_TD_Daily Mark-to-Market NDF,
Treasury_SG_ACU,FX NDF,FX_TD_Closing Date OffBalance Principal,Treasury_SG_ACU|FX NDF|FX_TD_Closing Date OffBalance Principal,
Treasury_SG_ACU,FX NDF,FX_MF_Settle Date Payout,Treasury_SG_ACU|FX NDF|FX_MF_Settle Date Payout,
Treasury_SG_ACU,FXO,FX Option_TD_Daily Mark to Market,Treasury_SG_ACU|FXO|FX Option_TD_Daily Mark to Market,
Treasury_SG_ACU,FXO,FX Option_TD_Trade Date OffBalance Principal,Treasury_SG_ACU|FXO|FX Option_TD_Trade Date OffBalance Principal,
Treasury_SG_ACU,Bond Amortised Cost,Bond_MF_Pay Date Settlement Principal,Treasury_SG_ACU|Bond Amortised Cost|Bond_MF_Pay Date Settlement Principal,
Treasury_SG_ACU,Bond Amortised Cost,Bond_TD_Daily Interest Accrual,Treasury_SG_ACU|Bond Amortised Cost|Bond_TD_Daily Interest Accrual,
Treasury_SG_ACU,Bond Amortised Cost,Bond_TD_Daily Premium/Discount Amortization,Treasury_SG_ACU|Bond Amortised Cost|Bond_TD_Daily Premium/Discount Amortization,
Treasury_SG_ACU,Bond FVOCI,Bond_TD_Daily MtM Trade Contract Ref BUPL,Treasury_SG_ACU|Bond FVOCI|Bond_TD_Daily MtM Trade Contract Ref BUPL,
Treasury_SG_ACU,Bond FVOCI,Bond_TD_Daily Interest Accrual,Treasury_SG_ACU|Bond FVOCI|Bond_TD_Daily Interest Accrual,
Treasury_SG_ACU,Bond FVOCI,Bond_TD_Daily Premium/Discount Amortization,Treasury_SG_ACU|Bond FVOCI|Bond_TD_Daily Premium/Discount Amortization,
Treasury_SG_ACU,Bond FVTPL,Bond_TD_Daily MtM Trade Contract Ref BUPL,Treasury_SG_ACU|Bond FVTPL|Bond_TD_Daily MtM Trade Contract Ref BUPL,
Treasury_SG_ACU,Bond FVTPL,Bond FVTPL_TD_Trade Date Buy,Treasury_SG_ACU|Bond FVTPL|Bond FVTPL_TD_Trade Date Buy,
Treasury_SG_ACU,Bond FVTPL,Bond_TD_Daily Interest Accrual,Treasury_SG_ACU|Bond FVTPL|Bond_TD_Daily Interest Accrual,
Treasury_SG_ACU,Bond FVTPL,Bond_MF_Pay Date Settlement Principal,Treasury_SG_ACU|Bond FVTPL|Bond_MF_Pay Date Settlement Principal,
Treasury_SG_ACU,Bond FVTPL,Bond_MF_Pay Date Interest,Treasury_SG_ACU|Bond FVTPL|Bond_MF_Pay Date Interest,
Treasury_SG_ACU,Bond Amortised Cost,Bond_MF_Pay Date Interest,Treasury_SG_ACU|Bond Amortised Cost|Bond_MF_Pay Date Interest,
Treasury_SG_ACU,Bond FVOCI,Bond_MF_Pay Date Interest,Treasury_SG_ACU|Bond FVOCI|Bond_MF_Pay Date Interest,
Treasury_SG_ACU,Bond FVOCI,Bond_MF_Pay Date Settlement Principal,Treasury_SG_ACU|Bond FVOCI|Bond_MF_Pay Date Settlement Principal,
Treasury_SG_ACU,FXO,FX Option_TD_Maturity Date OffBalance Principal,Treasury_SG_ACU|FXO|FX Option_TD_Maturity Date OffBalance Principal,
Treasury_SG_ACU,FX Spot,FX_TD_Daily Mark-to-Market,Treasury_SG_ACU|FX Spot|FX_TD_Daily Mark-to-Market,
Treasury_SG_ACU,IRS,CCS/IRS_TD_Daily Mark to Market,Treasury_SG_ACU|IRS|CCS/IRS_TD_Daily Mark to Market,
Treasury_SG_ACU,IRS,CCS/IRS_MF_Pay Date Interest_Pay,Treasury_SG_ACU|IRS|CCS/IRS_MF_Pay Date Interest_Pay,
Treasury_SG_ACU,IRS,CCS/IRS_MF_Pay Date Termination Fee,Treasury_SG_ACU|IRS|CCS/IRS_MF_Pay Date Termination Fee,
Treasury_SG_ACU,Borrowing,DepoLoan_MF_Pay Date Interest PL,Treasury_SG_ACU|Borrowing|DepoLoan_MF_Pay Date Interest PL,
Treasury_SG_ACU,Borrowing,DepoLoan_MF_Maturity Date Principal,Treasury_SG_ACU|Borrowing|DepoLoan_MF_Maturity Date Principal,
Treasury_SG_ACU,Borrowing,DepoLoan_MF_Value Date Principal,Treasury_SG_ACU|Borrowing|DepoLoan_MF_Value Date Principal,
Treasury_SG_ACU,Borrowing,DepoLoan_MF_Trade Date Offbalance Principal,Treasury_SG_ACU|Borrowing|DepoLoan_MF_Trade Date Offbalance Principal,
Treasury_SG_ACU,Borrowing,DepoLoan_MF_Value Date Offbalance Principal,Treasury_SG_ACU|Borrowing|DepoLoan_MF_Value Date Offbalance Principal,
Treasury_SG_ACU,Placement,DepoLoan_MF_Maturity Date Principal,Treasury_SG_ACU|Placement|DepoLoan_MF_Maturity Date Principal,
Treasury_SG_ACU,Placement,DepoLoan_MF_Pay Date Interest PL,Treasury_SG_ACU|Placement|DepoLoan_MF_Pay Date Interest PL,
Treasury_SG_ACU,Placement,DepoLoan_MF_Value Date Principal,Treasury_SG_ACU|Placement|DepoLoan_MF_Value Date Principal,
Treasury_SG_ACU,Placement,DepoLoan_MF_Trade Date Offbalance Principal,Treasury_SG_ACU|Placement|DepoLoan_MF_Trade Date Offbalance Principal,
Treasury_SG_ACU,Placement,DepoLoan_MF_Value Date Offbalance Principal,Treasury_SG_ACU|Placement|DepoLoan_MF_Value Date Offbalance Principal,
