CONTEXTLINK,,,,,,/CONTEXTLINK
NAME,CONTEXT_SEQNBR.NAME,MAPPING_TYPE,TYPE,PRFNBR.ASSINF,PRFNBR.PRFID,
ACCOUNTING AC/OCI_HO,Accounting,General,Accounting Parameter,,,
ACCOUNTING PL_HO,Accounting,Portfolio,Accounting Parameter,BB BOND PL BMSG - ACU,BB BOND PL BMSG - ACU,
ACCOUNTING_SHARIAH PL_HO,Accounting,Portfolio,Accounting Parameter,BB BOND SHARIA PL BMSG - ACU,BB BOND SHARIA PL BMSG - ACU,
ACCOUNTING_SHARIAH AC/OCI_HO,Accounting,Portfolio,Accounting Parameter,BB BOND SHARIA OCI BMSG - ACU,BB BOND SHARIA OCI BMSG - ACU,
ACCOUNTING_SHARIAH AC/OCI_HO,Accounting,Portfolio,Accounting Parameter,BB BOND SHARIA AC BMSG - ACU,BB BOND SHARIA AC BMSG - ACU,
ACCOUNTING PL_HO,Accounting,Portfolio,Accounting Parameter,BB BOND PL BMSG - DBU,BB BOND PL BMSG - DBU,
ACCOUNTING_SHARIAH PL_HO,Accounting,Portfolio,Accounting Parameter,BB BOND SHARIA PL BMSG - DBU,BB BOND SHARIA PL BMSG - DBU,
ACCOUNTING_SHARIAH AC/OCI_HO,Accounting,Portfolio,Accounting Parameter,BB BOND SHARIA OCI BMSG - DBU,BB BOND SHARIA OCI BMSG - DBU,
ACCOUNTING_SHARIAH AC/OCI_HO,Accounting,Portfolio,Accounting Parameter,BB BOND SHARIA AC BMSG - DBU,BB BOND SHARIA AC BMSG - DBU,
