PORTFOLIO,,,,,,,,,ADDITIONALINFO,,/ADDITIONALINFO,/PORTFOLIO
CURRENCY_PAIR.CURR2.INSID,COMPOUND,ASSINF,TYPE_CHLNBR.ENTRY,CURRENCY_PAIR.CURR1.INSID,CURRENCY_PAIR.NAME,PRFID,CURR.INSID,TYPE_CHLNBR.LIST,ADDINF_SPECNBR.FIELD_NAME,VALUE,,
,Yes,BMSG - ACU,,,,BMSG - ACU,USD,,FundPortfolio,No,,,
,Yes,BMSG - ACU - Trading,,,,BMSG - ACU - Trading,USD,,FundPortfolio,No,,,
,Yes,FXT BMSG - ACU,,,,FXT BMSG - ACU,USD,,FundPortfolio,No,,,
,,FX Spot 1 BMSG - ACU,,,,FX Spot 1 BMSG - ACU,USD,,FundPortfolio,No,,,
,,FX Spot 2 BMSG - ACU,,,,FX Spot 2 BMSG - ACU,USD,,FundPortfolio,No,,,
,,FX Derivatives 1 BMSG - ACU,,,,FX Derivatives 1 BMSG - ACU,USD,,FundPortfolio,No,,,
,,FX Derivatives 2 BMSG - ACU,,,,FX Derivatives 2 BMSG - ACU,USD,,FundPortfolio,No,,,
,Yes,IRT BMSG - ACU,,,,IRT BMSG - ACU,USD,,FundPortfolio,No,,,
,Yes,IRT DCM BMSG - ACU,,,,IRT DCM BMSG - ACU,USD,,FundPortfolio,No,,,
,,IRT DCM 1 BMSG - ACU,,,,IRT DCM 1 BMSG - ACU,USD,,FundPortfolio,No,,,
,,IRT DCM 2 BMSG - ACU,,,,IRT DCM 2 BMSG - ACU,USD,,FundPortfolio,No,,,
,Yes,IRT MM BMSG - ACU,,,,IRT MM BMSG - ACU,USD,,FundPortfolio,No,,,
,,IRT MM Depo Loan Repo RR 1 BMSG - ACU,,,,IRT MM Depo Loan Repo RR 1 BMSG - ACU,USD,,FundPortfolio,No,,,
,,IRT MM Depo Loan Repo RR 2 BMSG - ACU,,,,IRT MM Depo Loan Repo RR 2 BMSG - ACU,USD,,FundPortfolio,No,,,
,Yes,IRT Derivative BMSG - ACU,,,,IRT Derivative BMSG - ACU,USD,,FundPortfolio,No,,,
,,IRT Derivative 1 BMSG - ACU,,,,IRT Derivative 1 BMSG - ACU,USD,,FundPortfolio,No,,,
,,IRT Derivative 2 BMSG - ACU,,,,IRT Derivative 2 BMSG - ACU,USD,,FundPortfolio,No,,,
,Yes,BMSG - ACU - Banking,,,,BMSG - ACU - Banking,USD,,FundPortfolio,No,,,
,Yes,BBM BMSG - ACU,,,,BBM BMSG - ACU,USD,,FundPortfolio,No,,,
,Yes,Banking Derivatives BMSG - ACU,,,,Banking Derivatives BMSG - ACU,USD,,FundPortfolio,No,,,
,,BB Derivative BMSG - ACU,,,,BB Derivative BMSG - ACU,USD,,FundPortfolio,No,,,
,Yes,Banking FX BMSG - ACU,,,,Banking FX BMSG - ACU,USD,,FundPortfolio,No,,,
,,BB FX BMSG - ACU,,,,BB FX BMSG - ACU,USD,,FundPortfolio,No,,,
,Yes,Banking IR BMSG - ACU,,,,Banking IR BMSG - ACU,USD,,FundPortfolio,No,,,
,Yes,BB Bond Treasury BMSG - ACU,,,,BB Bond Treasury BMSG - ACU,USD,,FundPortfolio,No,,,
,,BB BOND PL BMSG - ACU,FVTPL,,,BB BOND PL BMSG - ACU,USD,PortfolioType,FundPortfolio,No,,,
,,BB BOND AC BMSG - ACU,Amortised Cost,,,BB BOND AC BMSG - ACU,USD,PortfolioType,FundPortfolio,No,,,
,,BB BOND OCI BMSG - ACU,FVOCI,,,BB BOND OCI BMSG - ACU,USD,PortfolioType,FundPortfolio,No,,,
,Yes,BB Bond Treasury Sharia BMSG - ACU,,,,BB Bond Treasury Sharia BMSG - ACU,USD,,FundPortfolio,No,,,
,,BB BOND SHARIA PL BMSG - ACU,FVTPL,,,BB BOND SHARIA PL BMSG - ACU,USD,PortfolioType,FundPortfolio,No,,,
,,BB BOND SHARIA AC BMSG - ACU,Amortised Cost,,,BB BOND SHARIA AC BMSG - ACU,USD,PortfolioType,FundPortfolio,No,,,
,,BB BOND SHARIA OCI BMSG - ACU,FVOCI,,,BB BOND SHARIA OCI BMSG - ACU,USD,PortfolioType,FundPortfolio,No,,,
