PORTFOLIOLINK,,,,/PORTFOLIOLINK
MEMBER_PRFNBR.PRFID,OWNER_PRFNBR.PRFID,OWNER_PRFNBR.ASSINF,MEMBER_PRFNBR.ASSINF,
BMSG - ACU,,,BMSG - ACU,
BMSG - ACU - Trading,BMSG - ACU,BMSG - ACU,BMSG - ACU - Trading,
FXT BMSG - ACU,BMSG - ACU - Trading,BMSG - ACU - Trading,FXT BMSG - ACU,
FX Spot 1 BMSG - ACU,FXT BMSG - ACU,FXT BMSG - ACU,FX Spot 1 BMSG - ACU,
FX Spot 2 BMSG - ACU,FXT BMSG - ACU,FXT BMSG - ACU,FX Spot 2 BMSG - ACU,
FX Derivatives 1 BMSG - ACU,FXT BMSG - ACU,FXT BMSG - ACU,FX Derivatives 1 BMSG - ACU,
FX Derivatives 2 BMSG - ACU,FXT BMSG - ACU,FXT BMSG - ACU,FX Derivatives 2 BMSG - ACU,
IRT BMSG - ACU,BMSG - ACU - Trading,BMSG - ACU - Trading,IRT BMSG - ACU,
IRT DCM BMSG - ACU,IRT BMSG - ACU,IRT BMSG - ACU,IRT DCM BMSG - ACU,
IRT DCM 1 BMSG - ACU,IRT DCM BMSG - ACU,IRT DCM BMSG - ACU,IRT DCM 1 BMSG - ACU,
IRT DCM 2 BMSG - ACU,IRT DCM BMSG - ACU,IRT DCM BMSG - ACU,IRT DCM 2 BMSG - ACU,
IRT MM BMSG - ACU,IRT BMSG - ACU,IRT BMSG - ACU,IRT MM BMSG - ACU,
IRT MM Depo Loan Repo RR 1 BMSG - ACU,IRT MM BMSG - ACU,IRT MM BMSG - ACU,IRT MM Depo Loan Repo RR 1 BMSG - ACU,
IRT MM Depo Loan Repo RR 2 BMSG - ACU,IRT MM BMSG - ACU,IRT MM BMSG - ACU,IRT MM Depo Loan Repo RR 2 BMSG - ACU,
IRT Derivative BMSG - ACU,IRT BMSG - ACU,IRT BMSG - ACU,IRT Derivative BMSG - ACU,
IRT Derivative 1 BMSG - ACU,IRT Derivative BMSG - ACU,IRT Derivative BMSG - ACU,IRT Derivative 1 BMSG - ACU,
IRT Derivative 2 BMSG - ACU,IRT Derivative BMSG - ACU,IRT Derivative BMSG - ACU,IRT Derivative 2 BMSG - ACU,
BMSG - ACU - Banking,BMSG - ACU,BMSG - ACU,BMSG - ACU - Banking,
BBM BMSG - ACU,BMSG - ACU - Banking,BMSG - ACU - Banking,BBM BMSG - ACU,
Banking Derivatives BMSG - ACU,BBM BMSG - ACU,BBM BMSG - ACU,Banking Derivatives BMSG - ACU,
BB Derivative BMSG - ACU,Banking Derivatives BMSG - ACU,Banking Derivatives BMSG - ACU,BB Derivative BMSG - ACU,
Banking FX BMSG - ACU,BBM BMSG - ACU,BBM BMSG - ACU,Banking FX BMSG - ACU,
BB FX BMSG - ACU,Banking FX BMSG - ACU,Banking FX BMSG - ACU,BB FX BMSG - ACU,
Banking IR BMSG - ACU,BBM BMSG - ACU,BBM BMSG - ACU,Banking IR BMSG - ACU,
BB Bond Treasury BMSG - ACU,Banking IR BMSG - ACU,Banking IR BMSG - ACU,BB Bond Treasury BMSG - ACU,
BB BOND PL BMSG - ACU,BB Bond Treasury BMSG - ACU,BB Bond Treasury BMSG - ACU,BB BOND PL BMSG - ACU,
BB BOND AC BMSG - ACU,BB Bond Treasury BMSG - ACU,BB Bond Treasury BMSG - ACU,BB BOND AC BMSG - ACU,
BB BOND OCI BMSG - ACU,BB Bond Treasury BMSG - ACU,BB Bond Treasury BMSG - ACU,BB BOND OCI BMSG - ACU,
BB Bond Treasury Sharia BMSG - ACU,Banking IR BMSG - ACU,Banking IR BMSG - ACU,BB Bond Treasury Sharia BMSG - ACU,
BB BOND SHARIA PL BMSG - ACU,BB Bond Treasury Sharia BMSG - ACU,BB Bond Treasury Sharia BMSG - ACU,BB BOND SHARIA PL BMSG - ACU,
BB BOND SHARIA AC BMSG - ACU,BB Bond Treasury Sharia BMSG - ACU,BB Bond Treasury Sharia BMSG - ACU,BB BOND SHARIA AC BMSG - ACU,
BB BOND SHARIA OCI BMSG - ACU,BB Bond Treasury Sharia BMSG - ACU,BB Bond Treasury Sharia BMSG - ACU,BB BOND SHARIA OCI BMSG - ACU,
BB Bond BU BMSG - ACU,Banking IR BMSG - ACU,Banking IR BMSG - ACU,BB Bond BU BMSG - ACU,
Bonds BU IBFI BMSG - ACU,BB Bond BU BMSG - ACU,BB Bond BU BMSG - ACU,Bonds BU IBFI BMSG - ACU,
IBFI 1 BMSG - ACU,Bonds BU IBFI BMSG - ACU,Bonds BU IBFI BMSG - ACU,IBFI 1 BMSG - ACU,
Bonds BU Corporate Banking SG - ACU,BB Bond BU BMSG - ACU,BB Bond BU BMSG - ACU,Bonds BU Corporate Banking SG - ACU,
CB 1 BMSG - ACU,Bonds BU Corporate Banking SG - ACU,Bonds BU Corporate Banking SG - ACU,CB 1 BMSG - ACU,
CB 2 BMSG - ACU,Bonds BU Corporate Banking SG - ACU,Bonds BU Corporate Banking SG - ACU,CB 2 BMSG - ACU,
CB 3 BMSG - ACU,Bonds BU Corporate Banking SG - ACU,Bonds BU Corporate Banking SG - ACU,CB 3 BMSG - ACU,
CB 4 BMSG - ACU,Bonds BU Corporate Banking SG - ACU,Bonds BU Corporate Banking SG - ACU,CB 4 BMSG - ACU,
CB 5 BMSG - ACU,Bonds BU Corporate Banking SG - ACU,Bonds BU Corporate Banking SG - ACU,CB 5 BMSG - ACU,
CB 6 BMSG - ACU,Bonds BU Corporate Banking SG - ACU,Bonds BU Corporate Banking SG - ACU,CB 6 BMSG - ACU,
Bonds BU GVI BMSG - ACU,BB Bond BU BMSG - ACU,BB Bond BU BMSG - ACU,Bonds BU GVI BMSG - ACU,
GVI 1 BMSG - ACU,Bonds BU GVI BMSG - ACU,Bonds BU GVI BMSG - ACU,GVI 1 BMSG - ACU,
GVI 2 BMSG - ACU,Bonds BU GVI BMSG - ACU,Bonds BU GVI BMSG - ACU,GVI 2 BMSG - ACU,
Bonds BU Commercial Banking SG - ACU,BB Bond BU BMSG - ACU,BB Bond BU BMSG - ACU,Bonds BU Commercial Banking SG - ACU,
Commercial 1 BMSG - ACU,Bonds BU Commercial Banking SG - ACU,Bonds BU Commercial Banking SG - ACU,Commercial 1 BMSG - ACU,
Commercial 2 BMSG - ACU,Bonds BU Commercial Banking SG - ACU,Bonds BU Commercial Banking SG - ACU,Commercial 2 BMSG - ACU,
Commercial 3 BMSG - ACU,Bonds BU Commercial Banking SG - ACU,Bonds BU Commercial Banking SG - ACU,Commercial 3 BMSG - ACU,
Commercial 4 BMSG - ACU,Bonds BU Commercial Banking SG - ACU,Bonds BU Commercial Banking SG - ACU,Commercial 4 BMSG - ACU,
Commercial 5 BMSG - ACU,Bonds BU Commercial Banking SG - ACU,Bonds BU Commercial Banking SG - ACU,Commercial 5 BMSG - ACU,
Commercial 6 BMSG - ACU,Bonds BU Commercial Banking SG - ACU,Bonds BU Commercial Banking SG - ACU,Commercial 6 BMSG - ACU,
LAL BMSG - ACU,BMSG - ACU - Banking,BMSG - ACU - Banking,LAL BMSG - ACU,
LIQ IB BMSG - ACU,LAL BMSG - ACU,LAL BMSG - ACU,LIQ IB BMSG - ACU,
LIQ MM BMSG - ACU,LAL BMSG - ACU,LAL BMSG - ACU,LIQ MM BMSG - ACU,
ALM Bilateral Loans BMSG - ACU,LAL BMSG - ACU,LAL BMSG - ACU,ALM Bilateral Loans BMSG - ACU,
ALM Bonds Issued BMSG - ACU,LAL BMSG - ACU,LAL BMSG - ACU,ALM Bonds Issued BMSG - ACU,
LIQ NOS BMSG - ACU,LAL BMSG - ACU,LAL BMSG - ACU,LIQ NOS BMSG - ACU,
BMSG - ACU - Client,BMSG - ACU,BMSG - ACU,BMSG - ACU - Client,
FX with Customer BMSG - ACU,BMSG - ACU - Client,BMSG - ACU - Client,FX with Customer BMSG - ACU,
Bonds with Customer BMSG - ACU,BMSG - ACU - Client,BMSG - ACU - Client,Bonds with Customer BMSG - ACU,
Derivative with Customer BMSG - ACU,BMSG - ACU - Client,BMSG - ACU - Client,Derivative with Customer BMSG - ACU,
BMSG - DBU,,,BMSG - DBU,
BMSG - DBU - Trading,BMSG - DBU,BMSG - DBU,BMSG - DBU - Trading,
FXT BMSG - DBU,BMSG - DBU - Trading,BMSG - DBU - Trading,FXT BMSG - DBU,
FX Spot 1 BMSG - DBU,FXT BMSG - DBU,FXT BMSG - DBU,FX Spot 1 BMSG - DBU,
FX Spot 2 BMSG - DBU,FXT BMSG - DBU,FXT BMSG - DBU,FX Spot 2 BMSG - DBU,
FX Derivatives 1 BMSG - DBU,FXT BMSG - DBU,FXT BMSG - DBU,FX Derivatives 1 BMSG - DBU,
FX Derivatives 2 BMSG - DBU,FXT BMSG - DBU,FXT BMSG - DBU,FX Derivatives 2 BMSG - DBU,
IRT BMSG - DBU,BMSG - DBU - Trading,BMSG - DBU - Trading,IRT BMSG - DBU,
IRT DCM BMSG - DBU,IRT BMSG - DBU,IRT BMSG - DBU,IRT DCM BMSG - DBU,
IRT DCM 1 BMSG - DBU,IRT DCM BMSG - DBU,IRT DCM BMSG - DBU,IRT DCM 1 BMSG - DBU,
IRT DCM 2 BMSG - DBU,IRT DCM BMSG - DBU,IRT DCM BMSG - DBU,IRT DCM 2 BMSG - DBU,
IRT MM BMSG - DBU,IRT BMSG - DBU,IRT BMSG - DBU,IRT MM BMSG - DBU,
IRT MM Depo Loan Repo RR 1 BMSG - DBU,IRT MM BMSG - DBU,IRT MM BMSG - DBU,IRT MM Depo Loan Repo RR 1 BMSG - DBU,
IRT MM Depo Loan Repo RR 2 BMSG - DBU,IRT MM BMSG - DBU,IRT MM BMSG - DBU,IRT MM Depo Loan Repo RR 2 BMSG - DBU,
IRT Derivative BMSG - DBU,IRT BMSG - DBU,IRT BMSG - DBU,IRT Derivative BMSG - DBU,
IRT Derivative 1 BMSG - DBU,IRT Derivative BMSG - DBU,IRT Derivative BMSG - DBU,IRT Derivative 1 BMSG - DBU,
IRT Derivative 2 BMSG - DBU,IRT Derivative BMSG - DBU,IRT Derivative BMSG - DBU,IRT Derivative 2 BMSG - DBU,
BMSG - DBU - Banking,BMSG - DBU,BMSG - DBU,BMSG - DBU - Banking,
BBM BMSG - DBU,BMSG - DBU - Banking,BMSG - DBU - Banking,BBM BMSG - DBU,
Banking Derivatives BMSG - DBU,BBM BMSG - DBU,BBM BMSG - DBU,Banking Derivatives BMSG - DBU,
BB Derivative BMSG - DBU,Banking Derivatives BMSG - DBU,Banking Derivatives BMSG - DBU,BB Derivative BMSG - DBU,
