USERPROFILE,PROFILECOMPONENT,,,/PROFILECOMPONENT,/USERPROFILE
PROFID,COMPNBR.COMPNAME,COMPNBR.TYPE,FUNCS,,
MO_INS,Value at Risk Backtesting,Stored View Disposition,,,
,Value at Risk Backtesting Graph,Stored View Disposition,,,
,Value at Risk Backtesting History,Stored View Disposition,,,
,Value at Risk Custom Percentile,Stored View Disposition,,,
,Value at Risk Scenario Utility,Stored View Disposition,,,
,Value at Risk,Stored View Disposition,,,
,FRTB SA Basel Totals,Stored View Disposition,,,
,FRTB SA Basel Sensitivities,Stored View Disposition,,,
,FRTB SA Basel Positions,Stored View Disposition,,,
,Limit Check,Operation,,,
,Mark to Market,Operation,,,
,Force Business Process to State,Operation,,,
,Edit Prices,Operation,,,
,Edit MTM Prices,Operation,,,
,Change Valuation Group,Operation,,,
,Change Discounting Type,Operation,,,
,Yield Curve Definition,Application,,,
,Yield Curve Calculation,Application,,,
,Worksheet Disposition,Application,,,
,Volatility Manager,Application,,,
,Volatility,Application,,,
,Valuation Viewer,Application,,,
,Valuation Parameters,Application,,,
,User Preferences,Application,,,
,Transaction History,Application,,,
,Trade Manager,Application,,,
,Trading Manager,Application,,,
,Trade Filter,Application,,,
,Time Series Specification,Application,,,
,Time Series Dv Spec,Application,,,
,Time Series Data,Application,,,
,State Chart Viewer,Application,,,
,State Chart,Application,,,
,Sheet File Viewer,Application,,,
,Settlement Process,Application,,,
,Session Control,Application,,,
,Send Message,Application,,,
,Send As Message...,Application,,,
,Save As...,Application,,,
,Save,Application,,,
,Routing,Application,,,
,Rounding,Application,,,
,Risk Manager,Application,,,
,Ribbon Designer,Application,,,
,Receive Message,Application,,,
,Rate Index,Application,Trading/&IR,,
,Quotation Definition,Application,,,
,Quit,Application,,,
,Pricing,Application,,,
,Price Link Specification,Application,,,
,Price Entry,Application,,,
,Price Index,Application,,,
,Price Finding,Application,,,
,Position Administration,Application,,,
,Portfolio Definitions,Application,,,
,Portfolio Definition,Application,,,
,Party Groups,Application,,,
,Party Definition,Application,,,
,Party Alias,Application,,,
,Parameter Override,Application,,,
,Operations Viewer,Application,,,
,Operations Manager,Application,,,
,Open...,Application,,,
,Netting Rule Definition,Application,,,
,Master Agreement,Application,,,
,Make Swap,Application,,,
,Make Curr Swap,Application,,,
,Log Categories,Application,,,
,Issuer Definition,Application,,,
,Instrument Definition,Application,,,
,Insert Items,Application,,,
,Information Manager,Application,,,
,Information,Application,,,
,Hierarchy Editor Application,Application,,,
,FX Swap Instrument,Application,Trading/&FX,,
,FX Rate,Application,Trading/&FX,,
,Floor,Application,,,
,Flexi Bond,Application,,,
,Fixing Date Rule,Application,,,
,Explorer,Application,,,
,Distribution Management,Application,,,
,Disposition Administration,Application,,,
,Data Source Viewer,Application,,,
,Data Source Administration,Application,,,
,Currency Pair,Application,,,
,Correlation,Application,,,
,Collateral Agreements,Application,,,
,Choice List,Application,,,
,CD,Application,Trading/&IR,,
,Cash Flow Future,Application,,,
,Cash Flow Engineering,Application,Trading/&IR,,
,Cash Flow Table,Application,,,
,Cap,Application,Trading/&IR,,
,Call Deposit/Loan,Application,Trading/&MM,,
,Calendar,Application,,,
,Calculation Trace,Application,,,
,Business Process Details,Application,,,
,Business Intelligence Workbench,Application,,,
,Business Data Processing,Application,,,
,Base Yield Curve Def,Application,,,
,Allocation,Application,,,
,Alias Type Specification,Application,,,
,Alias,Application,,,
,AEF Browser,Application,,,
,Administration Console,Application,,,
,Additional Info Specification,Application,,,
,Accounting Parameters,Application,,,
,Risk Factor Grouping,Application,,,
,Risk Factor Specification,Application,,,
,Run Script,Operation,,,
,Run Script,Application,,,
,NDF,Application,,,
,FX Option,Application,,,
,FX Cash,Application,,,
,Future/Forward,Application,,,
,Fund,Application,,,
,FRA,Application,,,
,FRN,Application,,,
,Currency,Application,,,
,Curr Swap,Application,,,
,Context,Application,,,
,Collateral,Application,,,
,Bond,Application,,,
,Bill,Application,,,
,Four Eyes Control,Application,,,
,Credit Balance,Application,,,
,Basket Repo/Reverse,Application,,,
,Deposit/Loan,Application,,,
,Limit Specification,Application,,,
