BOOKLINK,,,/BOOKLINK
BOOK.NAME,TREATMENT.NAME,ID,
Treasury_SH_ACU,FX NDF,Treasury_SH_ACU|FX NDF,
Treasury_SH_ACU,FXO,Treasury_SH_ACU|FXO,
Treasury_SH_ACU,Bond Amortised Cost,Treasury_SH_ACU|Bond Amortised Cost,
Treasury_SH_ACU,Bond FVOCI,Treasury_SH_ACU|Bond FVOCI,
Treasury_SH_ACU,Bond FVTPL,Treasury_SH_ACU|Bond FVTPL,
Treasury_SH_ACU,FX Spot,Treasury_SH_ACU|FX Spot,
Treasury_SH_ACU,Repo,Treasury_SH_ACU|Repo,
Treasury_SH_ACU,IRS,Treasury_SH_ACU|IRS,
Treasury_SH_ACU,Reverse Repo,Treasury_SH_ACU|Reverse Repo,
Treasury_SH_ACU,Placement,Treasury_SH_ACU|Placement,
Treasury_SH_ACU,Borrowing,Treasury_SH_ACU|Borrowing,
Treasury_SH_ACU,Bond Forward,Treasury_SH_ACU|Bond Forward,
Treasury_SH_ACU,Cash_Payment Autoinvest,Treasury_SH_ACU|Cash_Payment Autoinvest,
Treasury_SH_ACU,Settlement,Treasury_SH_ACU|Settlement,
Treasury_SH_ACU,FX Forward,Treasury_SH_ACU|FX Forward,
Treasury_SH_ACU,FX Swap,Treasury_SH_ACU|FX Swap,
Treasury_SH_ACU,Placement(Discounted),Treasury_SH_ACU|Placement(Discounted),
Treasury_SH_ACU,Bond Issuance,Treasury_SH_ACU|Bond Issuance,
Treasury_SH_ACU,FRA,Treasury_SH_ACU|FRA,
Treasury_SH_ACU,Repo Coupon Transfer,Treasury_SH_ACU|Repo Coupon Transfer,
Treasury_SH_ACU,Bond Option,Treasury_SH_ACU|Bond Option,
Treasury_SH_ACU,Bank Notes Commodity Spot,Treasury_SH_ACU|Bank Notes Commodity Spot,
Treasury_SH_ACU,Bank Notes Commodity Fwd,Treasury_SH_ACU|Bank Notes Commodity Fwd,
Treasury_SH_ACU,MMLD FXO,Treasury_SH_ACU|MMLD FXO,
Treasury_SH_ACU,DCI Premium,Treasury_SH_ACU|DCI Premium,
Treasury_SH_ACU,MMLD Rate,Treasury_SH_ACU|MMLD Rate,
Treasury_SH_DBU,Bond Amortised Cost,Treasury_SH_DBU|Bond Amortised Cost,
Treasury_SH_DBU,Bond FVOCI,Treasury_SH_DBU|Bond FVOCI,
Treasury_SH_DBU,Bond FVTPL,Treasury_SH_DBU|Bond FVTPL,
Treasury_SH_DBU,Bond Issuance,Treasury_SH_DBU|Bond Issuance,
Treasury_SH_DBU,Borrowing,Treasury_SH_DBU|Borrowing,
Treasury_SH_DBU,Placement,Treasury_SH_DBU|Placement,
Treasury_SH_DBU,Repo,Treasury_SH_DBU|Repo,
Treasury_SH_DBU,Reverse Repo,Treasury_SH_DBU|Reverse Repo,
Treasury_SH_DBU,Repo Coupon Transfer,Treasury_SH_DBU|Repo Coupon Transfer,
Treasury_SH_DBU,FXO,Treasury_SH_DBU|FXO,
Treasury_SH_DBU,FX Swap,Treasury_SH_DBU|FX Swap,
Treasury_SH_DBU,FX Spot,Treasury_SH_DBU|FX Spot,
Treasury_SH_DBU,FX NDF,Treasury_SH_DBU|FX NDF,
Treasury_SH_DBU,FX Forward,Treasury_SH_DBU|FX Forward,
Treasury_SH_DBU,IRS,Treasury_SH_DBU|IRS,
Treasury_SH_ACU,CCS,Treasury_SH_ACU|CCS,
Treasury_SH_DBU,CCS,Treasury_SH_DBU|CCS,
Treasury_SH_DBU,Settlement,Treasury_SH_DBU|Settlement,
Treasury_SH_DBU,InterOffice Settlement,Treasury_SH_DBU|InterOffice Settlement,
Treasury_SH_ACU,InterOffice Settlement,Treasury_SH_ACU|InterOffice Settlement,
