TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_SH_ACU,FX Spot,FX_MF_Value Date OffBalance Principal,Treasury_SH_ACU|FX Spot|FX_MF_Value Date OffBalance Principal,
Treasury_SH_ACU,FX Spot,FX_MF_Value Date Principal,Treasury_SH_ACU|FX Spot|FX_MF_Value Date Principal,
Treasury_SH_ACU,FX Spot,FX_MF_Trade Date OffBalance Principal,Treasury_SH_ACU|FX Spot|FX_MF_Trade Date OffBalance Principal,
Treasury_SH_ACU,FX NDF,FX_TD_Trade Date OffBalance Principal,Treasury_SH_ACU|FX NDF|FX_TD_Trade Date OffBalance Principal,
Treasury_SH_ACU,FX NDF,FX_TD_Expiry Date OffBalance Principal,Treasury_SH_ACU|FX NDF|FX_TD_Expiry Date OffBalance Principal,
Treasury_SH_ACU,FX NDF,FX_TD_Daily Mark-to-Market NDF,Treasury_SH_ACU|FX NDF|FX_TD_Daily Mark-to-Market NDF,
Treasury_SH_ACU,FX NDF,FX_TD_Closing Date OffBalance Principal,Treasury_SH_ACU|FX NDF|FX_TD_Closing Date OffBalance Principal,
Treasury_SH_ACU,FX NDF,FX_MF_Settle Date Payout,Treasury_SH_ACU|FX NDF|FX_MF_Settle Date Payout,
Treasury_SH_ACU,FXO,FX Option_TD_Daily Mark to Market,Treasury_SH_ACU|FXO|FX Option_TD_Daily Mark to Market,
Treasury_SH_ACU,FXO,FX Option_TD_Trade Date OffBalance Principal,Treasury_SH_ACU|FXO|FX Option_TD_Trade Date OffBalance Principal,
Treasury_SH_ACU,Bond Amortised Cost,Bond_MF_Pay Date Settlement Principal,Treasury_SH_ACU|Bond Amortised Cost|Bond_MF_Pay Date Settlement Principal,
Treasury_SH_ACU,Bond Amortised Cost,Bond_TD_Daily Interest Accrual,Treasury_SH_ACU|Bond Amortised Cost|Bond_TD_Daily Interest Accrual,
Treasury_SH_ACU,Bond Amortised Cost,Bond_TD_Daily Premium/Discount Amortization,Treasury_SH_ACU|Bond Amortised Cost|Bond_TD_Daily Premium/Discount Amortization,
Treasury_SH_ACU,Bond FVOCI,Bond_TD_Daily MtM Trade Contract Ref BUPL,Treasury_SH_ACU|Bond FVOCI|Bond_TD_Daily MtM Trade Contract Ref BUPL,
Treasury_SH_ACU,Bond FVOCI,Bond_TD_Daily Interest Accrual,Treasury_SH_ACU|Bond FVOCI|Bond_TD_Daily Interest Accrual,
Treasury_SH_ACU,Bond FVOCI,Bond_TD_Daily Premium/Discount Amortization,Treasury_SH_ACU|Bond FVOCI|Bond_TD_Daily Premium/Discount Amortization,
Treasury_SH_ACU,Bond FVTPL,Bond_TD_Daily MtM Trade Contract Ref BUPL,Treasury_SH_ACU|Bond FVTPL|Bond_TD_Daily MtM Trade Contract Ref BUPL,
Treasury_SH_ACU,Bond FVTPL,Bond FVTPL_TD_Trade Date Buy,Treasury_SH_ACU|Bond FVTPL|Bond FVTPL_TD_Trade Date Buy,
Treasury_SH_ACU,Bond FVTPL,Bond_TD_Daily Interest Accrual,Treasury_SH_ACU|Bond FVTPL|Bond_TD_Daily Interest Accrual,
Treasury_SH_ACU,Bond FVTPL,Bond_MF_Pay Date Settlement Principal,Treasury_SH_ACU|Bond FVTPL|Bond_MF_Pay Date Settlement Principal,
Treasury_SH_ACU,Bond FVTPL,Bond_MF_Pay Date Interest,Treasury_SH_ACU|Bond FVTPL|Bond_MF_Pay Date Interest,
Treasury_SH_ACU,Bond Amortised Cost,Bond_MF_Pay Date Interest,Treasury_SH_ACU|Bond Amortised Cost|Bond_MF_Pay Date Interest,
Treasury_SH_ACU,Bond FVOCI,Bond_MF_Pay Date Interest,Treasury_SH_ACU|Bond FVOCI|Bond_MF_Pay Date Interest,
Treasury_SH_ACU,Bond FVOCI,Bond_MF_Pay Date Settlement Principal,Treasury_SH_ACU|Bond FVOCI|Bond_MF_Pay Date Settlement Principal,
Treasury_SH_ACU,FXO,FX Option_TD_Maturity Date OffBalance Principal,Treasury_SH_ACU|FXO|FX Option_TD_Maturity Date OffBalance Principal,
Treasury_SH_ACU,FX Spot,FX_TD_Daily Mark-to-Market,Treasury_SH_ACU|FX Spot|FX_TD_Daily Mark-to-Market,
Treasury_SH_ACU,IRS,CCS/IRS_TD_Daily Mark to Market,Treasury_SH_ACU|IRS|CCS/IRS_TD_Daily Mark to Market,
Treasury_SH_ACU,IRS,CCS/IRS_MF_Pay Date Interest_Pay,Treasury_SH_ACU|IRS|CCS/IRS_MF_Pay Date Interest_Pay,
Treasury_SH_ACU,IRS,CCS/IRS_MF_Pay Date Termination Fee,Treasury_SH_ACU|IRS|CCS/IRS_MF_Pay Date Termination Fee,
Treasury_SH_ACU,Borrowing,DepoLoan_MF_Pay Date Interest PL,Treasury_SH_ACU|Borrowing|DepoLoan_MF_Pay Date Interest PL,
Treasury_SH_ACU,Borrowing,DepoLoan_MF_Maturity Date Principal,Treasury_SH_ACU|Borrowing|DepoLoan_MF_Maturity Date Principal,
Treasury_SH_ACU,Borrowing,DepoLoan_MF_Value Date Principal,Treasury_SH_ACU|Borrowing|DepoLoan_MF_Value Date Principal,
Treasury_SH_ACU,Borrowing,DepoLoan_MF_Trade Date Offbalance Principal,Treasury_SH_ACU|Borrowing|DepoLoan_MF_Trade Date Offbalance Principal,
Treasury_SH_ACU,Borrowing,DepoLoan_MF_Value Date Offbalance Principal,Treasury_SH_ACU|Borrowing|DepoLoan_MF_Value Date Offbalance Principal,
Treasury_SH_ACU,Placement,DepoLoan_MF_Maturity Date Principal,Treasury_SH_ACU|Placement|DepoLoan_MF_Maturity Date Principal,
