CONTEXTLINK,,,,,,/CONTEXTLINK
NAME,CONTEXT_SEQNBR.NAME,MAPPING_TYPE,TYPE,PRFNBR.ASSINF,PRFNBR.PRFID,
ACCOUNTING AC/OCI_HO,Accounting,General,Accounting Parameter,,,
ACCOUNTING PL_HO,Accounting,Portfolio,Accounting Parameter,BB BOND PL BMSH - ACU,BB BOND PL BMSH - ACU,
ACCOUNTING_SHARIAH PL_HO,Accounting,Portfolio,Accounting Parameter,BB BOND SHARIA PL BMSH - ACU,BB BOND SHARIA PL BMSH - ACU,
ACCOUNTING_SHARIAH AC/OCI_HO,Accounting,Portfolio,Accounting Parameter,BB BOND SHARIA OCI BMSH - ACU,BB BOND SHARIA OCI BMSH - ACU,
ACCOUNTING_SHARIAH AC/OCI_HO,Accounting,Portfolio,Accounting Parameter,BB BOND SHARIA AC BMSH - ACU,BB BOND SHARIA AC BMSH - ACU,
ACCOUNTING PL_HO,Accounting,Portfolio,Accounting Parameter,BB BOND PL BMSH - DBU,BB BOND PL BMSH - DBU,
ACCOUNTING_SHARIAH PL_HO,Accounting,Portfolio,Accounting Parameter,BB BOND SHARIA PL BMSH - DBU,BB BOND SHARIA PL BMSH - DBU,
ACCOUNTING_SHARIAH AC/OCI_HO,Accounting,Portfolio,Accounting Parameter,BB BOND SHARIA OCI BMSH - DBU,BB BOND SHARIA OCI BMSH - DBU,
ACCOUNTING_SHARIAH AC/OCI_HO,Accounting,Portfolio,Accounting Parameter,BB BOND SHARIA AC BMSH - DBU,BB BOND SHARIA AC BMSH - DBU,
