PORTFOLIO,,,,,,,,,ADDITIONALINFO,,/ADDITIONALINFO,/PORTFOLIO
CURRENCY_PAIR.CURR2.INSID,COMPOUND,ASSINF,TYPE_CHLNBR.ENTRY,CURRENCY_PAIR.CURR1.INSID,CURRENCY_PAIR.NAME,PRFID,CURR.INSID,TYPE_CHLNBR.LIST,ADDINF_SPECNBR.FIELD_NAME,VALUE,,
,Yes,BMSH - ACU,,,,BMSH - ACU,USD,,FundPortfolio,No,,,
,Yes,BMSH - ACU - Trading,,,,BMSH - ACU - Trading,USD,,FundPortfolio,No,,,
,Yes,FXT BMSH - ACU,,,,FXT BMSH - ACU,USD,,FundPortfolio,No,,,
,,FX Spot 1 BMSH - ACU,,,,FX Spot 1 BMSH - ACU,USD,,FundPortfolio,No,,,
,,FX Spot 2 BMSH - ACU,,,,FX Spot 2 BMSH - ACU,USD,,FundPortfolio,No,,,
,,FX Derivatives 1 BMSH - ACU,,,,FX Derivatives 1 BMSH - ACU,USD,,FundPortfolio,No,,,
,,FX Derivatives 2 BMSH - ACU,,,,FX Derivatives 2 BMSH - ACU,USD,,FundPortfolio,No,,,
,Yes,IRT BMSH - ACU,,,,IRT BMSH - ACU,USD,,FundPortfolio,No,,,
,Yes,IRT DCM BMSH - ACU,,,,IRT DCM BMSH - ACU,USD,,FundPortfolio,No,,,
,,IRT DCM 1 BMSH - ACU,,,,IRT DCM 1 BMSH - ACU,USD,,FundPortfolio,No,,,
,,IRT DCM 2 BMSH - ACU,,,,IRT DCM 2 BMSH - ACU,USD,,FundPortfolio,No,,,
,Yes,IRT MM BMSH - ACU,,,,IRT MM BMSH - ACU,USD,,FundPortfolio,No,,,
,,IRT MM Depo Loan Repo RR 1 BMSH - ACU,,,,IRT MM Depo Loan Repo RR 1 BMSH - ACU,USD,,FundPortfolio,No,,,
,,IRT MM Depo Loan Repo RR 2 BMSH - ACU,,,,IRT MM Depo Loan Repo RR 2 BMSH - ACU,USD,,FundPortfolio,No,,,
,,IRT MM Bond RDPU 1 BMSH - ACU,,,,IRT MM Bond RDPU 1 BMSH - ACU,USD,,FundPortfolio,No,,,
,,IRT MM Bond RDPU 2 BMSH - ACU,,,,IRT MM Bond RDPU 2 BMSH - ACU,USD,,FundPortfolio,No,,,
,Yes,IRT Derivative BMSH - ACU,,,,IRT Derivative BMSH - ACU,USD,,FundPortfolio,No,,,
,,IRT Derivative 1 BMSH - ACU,,,,IRT Derivative 1 BMSH - ACU,USD,,FundPortfolio,No,,,
,,IRT Derivative 2 BMSH - ACU,,,,IRT Derivative 2 BMSH - ACU,USD,,FundPortfolio,No,,,
,Yes,BMSH - ACU - Banking,,,,BMSH - ACU - Banking,USD,,FundPortfolio,No,,,
,Yes,BBM BMSH - ACU,,,,BBM BMSH - ACU,USD,,FundPortfolio,No,,,
