PORTFOLIOLINK,,,,/PORTFOLIOLINK
MEMBER_PRFNBR.PRFID,OWNER_PRFNBR.PRFID,OWNER_PRFNBR.ASSINF,MEMBER_PRFNBR.ASSINF,
BMSH - ACU,,,BMSH - ACU,
BMSH - ACU - Trading,BMSH - ACU,BMSH - ACU,BMSH - ACU - Trading,
FXT BMSH - ACU,BMSH - ACU - Trading,BMSH - ACU - Trading,FXT BMSH - ACU,
FX Spot 1 BMSH - ACU,FXT BMSH - ACU,FXT BMSH - ACU,FX Spot 1 BMSH - ACU,
FX Spot 2 BMSH - ACU,FXT BMSH - ACU,FXT BMSH - ACU,FX Spot 2 BMSH - ACU,
FX Derivatives 1 BMSH - ACU,FXT BMSH - ACU,FXT BMSH - ACU,FX Derivatives 1 BMSH - ACU,
FX Derivatives 2 BMSH - ACU,FXT BMSH - ACU,FXT BMSH - ACU,FX Derivatives 2 BMSH - ACU,
IRT BMSH - ACU,BMSH - ACU - Trading,BMSH - ACU - Trading,IRT BMSH - ACU,
IRT DCM BMSH - ACU,IRT BMSH - ACU,IRT BMSH - ACU,IRT DCM BMSH - ACU,
IRT DCM 1 BMSH - ACU,IRT DCM BMSH - ACU,IRT DCM BMSH - ACU,IRT DCM 1 BMSH - ACU,
IRT DCM 2 BMSH - ACU,IRT DCM BMSH - ACU,IRT DCM BMSH - ACU,IRT DCM 2 BMSH - ACU,
IRT MM BMSH - ACU,IRT BMSH - ACU,IRT BMSH - ACU,IRT MM BMSH - ACU,
IRT MM Depo Loan Repo RR 1 BMSH - ACU,IRT MM BMSH - ACU,IRT MM BMSH - ACU,IRT MM Depo Loan Repo RR 1 BMSH - ACU,
IRT MM Depo Loan Repo RR 2 BMSH - ACU,IRT MM BMSH - ACU,IRT MM BMSH - ACU,IRT MM Depo Loan Repo RR 2 BMSH - ACU,
IRT MM Bond RDPU 1 BMSH - ACU,IRT MM BMSH - ACU,IRT MM BMSH - ACU,IRT MM Bond RDPU 1 BMSH - ACU,
IRT MM Bond RDPU 2 BMSH - ACU,IRT MM BMSH - ACU,IRT MM BMSH - ACU,IRT MM Bond RDPU 2 BMSH - ACU,
IRT Derivative BMSH - ACU,IRT BMSH - ACU,IRT BMSH - ACU,IRT Derivative BMSH - ACU,
IRT Derivative 1 BMSH - ACU,IRT Derivative BMSH - ACU,IRT Derivative BMSH - ACU,IRT Derivative 1 BMSH - ACU,
IRT Derivative 2 BMSH - ACU,IRT Derivative BMSH - ACU,IRT Derivative BMSH - ACU,IRT Derivative 2 BMSH - ACU,
BMSH - ACU - Banking,BMSH - ACU,BMSH - ACU,BMSH - ACU - Banking,
BBM BMSH - ACU,BMSH - ACU - Banking,BMSH - ACU - Banking,BBM BMSH - ACU,
Banking Derivatives BMSH - ACU ,BBM BMSH - ACU,BBM BMSH - ACU,Banking Derivatives BMSH - ACU ,
BB Derivative BMSH - ACU,Banking Derivatives BMSH - ACU ,Banking Derivatives BMSH - ACU ,BB Derivative BMSH - ACU,
Banking FX BMSH - ACU,BBM BMSH - ACU,BBM BMSH - ACU,Banking FX BMSH - ACU,
BB FX BMSH - ACU,Banking FX BMSH - ACU,Banking FX BMSH - ACU,BB FX BMSH - ACU,
Banking IR BMSH - ACU,BBM BMSH - ACU,BBM BMSH - ACU,Banking IR BMSH - ACU,
BB Bond Treasury BMSH - ACU,Banking IR BMSH - ACU,Banking IR BMSH - ACU,BB Bond Treasury BMSH - ACU,
BB BOND PL BMSH - ACU,BB Bond Treasury BMSH - ACU,BB Bond Treasury BMSH - ACU,BB BOND PL BMSH - ACU,
BB BOND AC BMSH - ACU,BB Bond Treasury BMSH - ACU,BB Bond Treasury BMSH - ACU,BB BOND AC BMSH - ACU,
BB BOND OCI BMSH - ACU,BB Bond Treasury BMSH - ACU,BB Bond Treasury BMSH - ACU,BB BOND OCI BMSH - ACU,
BB Bond Treasury Sharia BMSH - ACU,Banking IR BMSH - ACU,Banking IR BMSH - ACU,BB Bond Treasury Sharia BMSH - ACU,
BB BOND SHARIA PL BMSH - ACU,BB Bond Treasury Sharia BMSH - ACU,BB Bond Treasury Sharia BMSH - ACU,BB BOND SHARIA PL BMSH - ACU,
BB BOND SHARIA AC BMSH - ACU,BB Bond Treasury Sharia BMSH - ACU,BB Bond Treasury Sharia BMSH - ACU,BB BOND SHARIA AC BMSH - ACU,
BB BOND SHARIA OCI BMSH - ACU,BB Bond Treasury Sharia BMSH - ACU,BB Bond Treasury Sharia BMSH - ACU,BB BOND SHARIA OCI BMSH - ACU,
BB Bond BU BMSH - ACU,Banking IR BMSH - ACU,Banking IR BMSH - ACU,BB Bond BU BMSH - ACU,
Bonds BU IBFI BMSH - ACU,BB Bond BU BMSH - ACU,BB Bond BU BMSH - ACU,Bonds BU IBFI BMSH - ACU,
IBFI 1 BMSH - ACU,Bonds BU IBFI BMSH - ACU,Bonds BU IBFI BMSH - ACU,IBFI 1 BMSH - ACU,
Bonds BU Corporate Banking SH - ACU,BB Bond BU BMSH - ACU,BB Bond BU BMSH - ACU,Bonds BU Corporate Banking SH - ACU,
CB 1 BMSH - ACU,Bonds BU Corporate Banking SH - ACU,Bonds BU Corporate Banking SH - ACU,CB 1 BMSH - ACU,
CB 2 BMSH - ACU,Bonds BU Corporate Banking SH - ACU,Bonds BU Corporate Banking SH - ACU,CB 2 BMSH - ACU,
CB 3 BMSH - ACU,Bonds BU Corporate Banking SH - ACU,Bonds BU Corporate Banking SH - ACU,CB 3 BMSH - ACU,
CB 4 BMSH - ACU,Bonds BU Corporate Banking SH - ACU,Bonds BU Corporate Banking SH - ACU,CB 4 BMSH - ACU,
CB 5 BMSH - ACU,Bonds BU Corporate Banking SH - ACU,Bonds BU Corporate Banking SH - ACU,CB 5 BMSH - ACU,
CB 6 BMSH - ACU,Bonds BU Corporate Banking SH - ACU,Bonds BU Corporate Banking SH - ACU,CB 6 BMSH - ACU,
Bonds BU GVI BMSH - ACU,BB Bond BU BMSH - ACU,BB Bond BU BMSH - ACU,Bonds BU GVI BMSH - ACU,
GVI 1 BMSH - ACU,Bonds BU GVI BMSH - ACU,Bonds BU GVI BMSH - ACU,GVI 1 BMSH - ACU,
GVI 2 BMSH - ACU,Bonds BU GVI BMSH - ACU,Bonds BU GVI BMSH - ACU,GVI 2 BMSH - ACU,
Bonds BU Commercial Banking SH - ACU,BB Bond BU BMSH - ACU,BB Bond BU BMSH - ACU,Bonds BU Commercial Banking SH - ACU,
Commercial 1 BMSH - ACU,Bonds BU Commercial Banking SH - ACU,Bonds BU Commercial Banking SH - ACU,Commercial 1 BMSH - ACU,
Commercial 2 BMSH - ACU,Bonds BU Commercial Banking SH - ACU,Bonds BU Commercial Banking SH - ACU,Commercial 2 BMSH - ACU,
Commercial 3 BMSH - ACU,Bonds BU Commercial Banking SH - ACU,Bonds BU Commercial Banking SH - ACU,Commercial 3 BMSH - ACU,
Commercial 4 BMSH - ACU,Bonds BU Commercial Banking SH - ACU,Bonds BU Commercial Banking SH - ACU,Commercial 4 BMSH - ACU,
Commercial 5 BMSH - ACU,Bonds BU Commercial Banking SH - ACU,Bonds BU Commercial Banking SH - ACU,Commercial 5 BMSH - ACU,
Commercial 6 BMSH - ACU,Bonds BU Commercial Banking SH - ACU,Bonds BU Commercial Banking SH - ACU,Commercial 6 BMSH - ACU,
Bonds BU SAM BMSH - ACU,BB Bond BU BMSH - ACU,BB Bond BU BMSH - ACU,Bonds BU SAM BMSH - ACU,
SAM 1 BMSH - ACU,Bonds BU SAM BMSH - ACU,Bonds BU SAM BMSH - ACU,SAM 1 BMSH - ACU,
SAM 2 BMSH - ACU,Bonds BU SAM BMSH - ACU,Bonds BU SAM BMSH - ACU,SAM 2 BMSH - ACU,
SAM 3 BMSH - ACU,Bonds BU SAM BMSH - ACU,Bonds BU SAM BMSH - ACU,SAM 3 BMSH - ACU,
LAL BMSH - ACU,BMSH - ACU - Banking,BMSH - ACU - Banking,LAL BMSH - ACU,
LIQ IB BMSH - ACU,LAL BMSH - ACU,LAL BMSH - ACU,LIQ IB BMSH - ACU,
LIQ MM BMSH - ACU,LAL BMSH - ACU,LAL BMSH - ACU,LIQ MM BMSH - ACU,
ALM Bilateral Loans BMSH - ACU,LAL BMSH - ACU,LAL BMSH - ACU,ALM Bilateral Loans BMSH - ACU,
ALM Bonds Issued BMSH - ACU,LAL BMSH - ACU,LAL BMSH - ACU,ALM Bonds Issued BMSH - ACU,
LIQ NOS BMSH - ACU,LAL BMSH - ACU,LAL BMSH - ACU,LIQ NOS BMSH - ACU,
BMSH - ACU - Client,BMSH - ACU,BMSH - ACU,BMSH - ACU - Client,
FX with Customer BMSH - ACU,BMSH - ACU - Client,BMSH - ACU - Client,FX with Customer BMSH - ACU,
Bonds with Customer BMSH - ACU,BMSH - ACU - Client,BMSH - ACU - Client,Bonds with Customer BMSH - ACU,
Derivative with Customer BMSH - ACU,BMSH - ACU - Client,BMSH - ACU - Client,Derivative with Customer BMSH - ACU,
BMSH - DBU,,0,BMSH - DBU,
BMSH - DBU - Trading,BMSH - DBU,BMSH - DBU,BMSH - DBU - Trading,
FXT BMSH - DBU,BMSH - DBU - Trading,BMSH - DBU - Trading,FXT BMSH - DBU,
FX Spot 1 BMSH - DBU,FXT BMSH - DBU,FXT BMSH - DBU,FX Spot 1 BMSH - DBU,
FX Spot 2 BMSH - DBU,FXT BMSH - DBU,FXT BMSH - DBU,FX Spot 2 BMSH - DBU,
FX Derivatives 1 BMSH - DBU,FXT BMSH - DBU,FXT BMSH - DBU,FX Derivatives 1 BMSH - DBU,
FX Derivatives 2 BMSH - DBU,FXT BMSH - DBU,FXT BMSH - DBU,FX Derivatives 2 BMSH - DBU,
IRT BMSH - DBU,BMSH - DBU - Trading,BMSH - DBU - Trading,IRT BMSH - DBU,
IRT DCM BMSH - DBU,IRT BMSH - DBU,IRT BMSH - DBU,IRT DCM BMSH - DBU,
IRT DCM 1 BMSH - DBU,IRT DCM BMSH - DBU,IRT DCM BMSH - DBU,IRT DCM 1 BMSH - DBU,
IRT DCM 2 BMSH - DBU,IRT DCM BMSH - DBU,IRT DCM BMSH - DBU,IRT DCM 2 BMSH - DBU,
IRT MM BMSH - DBU,IRT BMSH - DBU,IRT BMSH - DBU,IRT MM BMSH - DBU,
IRT MM Depo Loan Repo RR 1 BMSH - DBU,IRT MM BMSH - DBU,IRT MM BMSH - DBU,IRT MM Depo Loan Repo RR 1 BMSH - DBU,
IRT MM Depo Loan Repo RR 2 BMSH - DBU,IRT MM BMSH - DBU,IRT MM BMSH - DBU,IRT MM Depo Loan Repo RR 2 BMSH - DBU,
