USERPROFILE,PROFILECOMPONENT,,,,,/PROFILECOMPONENT,/USERPROFILE
PROFID,ALLOW_CREATE,ALLOW_DELETE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
IT_SUPPORT,Yes,Yes,Yes,TextObject,DBObject,,
,Yes,Yes,Yes,TaskHistory,DBObject,,
,Yes,Yes,Yes,TaskGroup,DBObject,,
,Yes,Yes,Yes,Task,DBObject,,
,Yes,,Yes,TAccountMapping,DBObject,,
,Yes,,Yes,TAccountAllocLink,DBObject,,
,Yes,,Yes,TAccount,DBObject,,
,Yes,,Yes,SQL Query,DBObject,,
,Yes,,Yes,Rolling Schedule,DBObject,,
,Yes,,Yes,ParameterMapping,DBObject,,
,Yes,Yes,Yes,HierarchyType,DBObject,,
,Yes,Yes,Yes,Hierarchy,DBObject,,
,Yes,,Yes,Extension Module,DBObject,,
,Yes,,Yes,Extension Context,DBObject,,
,Yes,,Yes,Context,DBObject,,
,Yes,,Yes,ConfigurationParameter,DBObject,,
,Yes,,Yes,ComponentLink,DBObject,,
,Yes,,Yes,Component,DBObject,,
,Yes,Yes,Yes,ChoiceList,DBObject,,
,Yes,Yes,Yes,Calendar,DBObject,,
,Yes,,Yes,Batch Report,DBObject,,
,Yes,,Yes,Alert,DBObject,,
,Yes,,Yes,AEL Module,DBObject,,
,Yes,Yes,Yes,AdditionalInfoSpec,DBObject,,
,Yes,,Yes,AccountingParameters,DBObject,,
,Yes,,Yes,AccountingInstruction,DBObject,,
,Yes,,Yes,AccInstructionMapping,DBObject,,
,,,,Run Script,Operation,,
,,,,Run Dbsqlexec,Operation,,
,,,,Allow Monitoring,Operation,,
,,,,Access database SQL,Operation,,
,,,,Calendar,Application,,
,Yes,,Yes,Instrument,DBObject,,
