CALENDAR,,,,,CALENDARDATE,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,,
BNBS,Bandar Seri Begawan,BND Calendar,2,192,2022-02-01,,
,,,,,2022-02-23,,
,,,,,2022-02-28,,
,,,,,2022-04-04,,
,,,,,2022-04-19,,
,,,,,2022-05-02,,
,,,,,2022-05-03,,
,,,,,2022-05-04,,
,,,,,2022-05-31,,
,,,,,2022-06-30,,
,,,,,2022-07-15,,
,,,,,2022-07-29,,
,,,,,2022-12-26,,
,,,,,2023-01-02,,
,,,,,2023-01-23,,
,,,,,2023-02-18,,
,,,,,2023-02-23,,
,,,,,2023-03-23,,
,,,,,2023-04-08,,
,,,,,2023-04-21,,
,,,,,2023-04-22,,
,,,,,2023-04-23,,
,,,,,2023-05-31,,
,,,,,2023-06-28,,
,,,,,2023-06-30,,
,,,,,2023-07-15,,
,,,,,2023-07-19,,
,,,,,2023-09-28,,
,,,,,2023-12-25,,
,,,,,2024-01-01,,
,,,,,2024-12-25,,
,,,,,2025-01-01,,
,,,,,2025-12-25,,
,,,,,2026-01-01,,
,,,,,2026-12-25,,
