CALENDAR,,,,,CALENDARDATE,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,,
CNBE,Beijing,CNY/CNH Calendar,2,192,2022-01-03,,
,,,,,2022-01-31,,
,,,,,2022-02-01,,
,,,,,2022-02-02,,
,,,,,2022-02-03,,
,,,,,2022-02-04,,
,,,,,2022-04-04,,
,,,,,2022-04-05,,
,,,,,2022-05-02,,
,,,,,2022-05-03,,
,,,,,2022-05-04,,
,,,,,2022-06-03,,
,,,,,2022-09-12,,
,,,,,2022-10-03,,
,,,,,2022-10-04,,
,,,,,2022-10-05,,
,,,,,2022-10-06,,
,,,,,2022-10-07,,
,,,,,2023-01-02,,
,,,,,2023-01-22,,
,,,,,2023-01-23,,
,,,,,2023-01-24,,
,,,,,2023-01-25,,
,,,,,2023-01-26,,
,,,,,2023-01-27,,
,,,,,2023-04-05,,
,,,,,2023-05-01,,
,,,,,2023-06-22,,
,,,,,2023-06-23,,
,,,,,2023-09-29,,
,,,,,2023-10-01,,
,,,,,2023-10-02,,
,,,,,2023-10-03,,
,,,,,2023-10-04,,
,,,,,2023-10-05,,
,,,,,2023-10-06,,
,,,,,2023-10-07,,
,,,,,2024-01-01,,
,,,,,2025-01-01,,
,,,,,2026-01-01,,
