CALENDAR,,,,,CALENDARDATE,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,,
HKHK,Hong Kong,HKD Calendar,2,192,2022-02-01,,
,,,,,2022-02-02,,
,,,,,2022-02-03,,
,,,,,2022-04-05,,
,,,,,2022-04-15,,
,,,,,2022-04-18,,
,,,,,2022-05-02,,
,,,,,2022-05-09,,
,,,,,2022-06-03,,
,,,,,2022-07-01,,
,,,,,2022-09-12,,
,,,,,2022-10-04,,
,,,,,2022-12-26,,
,,,,,2022-12-27,,
,,,,,2023-01-02,,
,,,,,2023-01-22,,
,,,,,2023-01-23,,
,,,,,2023-01-24,,
,,,,,2023-01-25,,
,,,,,2023-04-05,,
,,,,,2023-04-07,,
,,,,,2023-04-08,,
,,,,,2023-04-10,,
,,,,,2023-05-01,,
,,,,,2023-05-26,,
,,,,,2023-06-22,,
,,,,,2023-07-01,,
,,,,,2023-09-30,,
,,,,,2023-10-02,,
,,,,,2023-10-23,,
,,,,,2023-12-25,,
,,,,,2023-12-26,,
,,,,,2024-01-01,,
,,,,,2024-12-25,,
,,,,,2025-01-01,,
,,,,,2025-12-25,,
,,,,,2026-01-01,,
,,,,,2026-12-25,,
