CALENDAR,,,,,CALENDARDATE,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,,
PHMA,Manila,PHP Calendar,2,192,2023-01-01,,
,,,,,2023-02-25,,
,,,,,2023-04-06,,
,,,,,2023-04-07,,
,,,,,2023-04-08,,
,,,,,2023-04-09,,
,,,,,2023-05-01,,
,,,,,2023-06-12,,
,,,,,2023-08-21,,
,,,,,2023-08-28,,
,,,,,2023-11-01,,
,,,,,2023-11-02,,
,,,,,2023-11-30,,
,,,,,2023-12-08,,
,,,,,2023-12-25,,
,,,,,2023-12-30,,
,,,,,2023-12-31,,
,,,,,2024-01-01,,
,,,,,2024-12-25,,
,,,,,2025-01-01,,
,,,,,2025-12-25,,
,,,,,2026-01-01,,
,,,,,2026-12-25,,
