CALENDAR,,,,,CALENDARDATE,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,,
PKKA,Pakistan,PKR Calendar,2,192,2022-01-01,,
,,,,,2022-01-03,,
,,,,,2022-02-05,,
,,,,,2022-03-23,,
,,,,,2022-04-04,,
,,,,,2022-04-16,,
,,,,,2022-04-23,,
,,,,,2022-04-30,,
,,,,,2022-05-01,,
,,,,,2022-05-02,,
,,,,,2022-05-03,,
,,,,,2022-05-04,,
,,,,,2022-05-05,,
,,,,,2022-05-07,,
,,,,,2022-07-01,,
,,,,,2022-07-08,,
,,,,,2022-07-10,,
,,,,,2022-07-11,,
,,,,,2022-07-12,,
,,,,,2022-08-08,,
,,,,,2022-08-09,,
,,,,,2022-08-14,,
,,,,,2022-10-09,,
,,,,,2022-12-25,,
,,,,,2023-01-02,,
,,,,,2023-02-05,,
,,,,,2023-03-23,,
,,,,,2023-04-21,,
,,,,,2023-04-22,,
,,,,,2023-05-01,,
,,,,,2023-06-28,,
,,,,,2023-06-29,,
,,,,,2023-07-03,,
,,,,,2023-07-28,,
,,,,,2023-07-29,,
,,,,,2023-08-14,,
,,,,,2023-09-28,,
,,,,,2023-12-25,,
,,,,,2024-01-01,,
,,,,,2024-12-25,,
,,,,,2025-01-01,,
,,,,,2025-12-25,,
,,,,,2026-01-01,,
,,,,,2026-12-25,,
