CALENDAR,,,,,CALENDARDATE,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,,
SEST,Stockholm,SEK Calendar,2,192,2022-01-01,,
,,,,,2022-01-06,,
,,,,,2022-04-15,,
,,,,,2022-04-18,,
,,,,,2022-05-01,,
,,,,,2022-05-26,,
,,,,,2022-06-06,,
,,,,,2022-06-24,,
,,,,,2022-12-24,,
,,,,,2022-12-25,,
,,,,,2022-12-26,,
,,,,,2022-12-31,,
,,,,,2023-01-01,,
,,,,,2023-01-06,,
,,,,,2023-04-07,,
,,,,,2023-04-10,,
,,,,,2023-05-01,,
,,,,,2023-05-18,,
,,,,,2023-06-06,,
,,,,,2023-06-23,,
,,,,,2023-12-24,,
,,,,,2023-12-25,,
,,,,,2023-12-26,,
,,,,,2023-12-31,,
,,,,,2024-01-01,,
,,,,,2024-12-25,,
,,,,,2025-01-01,,
,,,,,2025-12-25,,
,,,,,2026-01-01,,
,,,,,2026-12-25,,
