CALENDAR,,,,,CALENDARDATE,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,,
AEDU,UAE,AED/QAR Calendar,2,192,2022-01-01,,
,,,,,2022-04-30,,
,,,,,2022-05-01,,
,,,,,2022-05-02,,
,,,,,2022-05-03,,
,,,,,2022-05-04,,
,,,,,2022-05-14,,
,,,,,2022-05-15,,
,,,,,2022-05-16,,
,,,,,2022-07-08,,
,,,,,2022-07-09,,
,,,,,2022-07-10,,
,,,,,2022-07-11,,
,,,,,2022-07-30,,
,,,,,2022-10-08,,
,,,,,2022-12-01,,
,,,,,2022-12-02,,
,,,,,2022-12-03,,
,,,,,2023-01-01,,
,,,,,2023-02-14,,
,,,,,2023-03-05,,
,,,,,2023-04-21,,
,,,,,2023-04-22,,
,,,,,2023-04-23,,
,,,,,2023-04-24,,
,,,,,2023-06-27,,
,,,,,2023-06-28,,
,,,,,2023-06-29,,
,,,,,2023-06-30,,
,,,,,2023-07-01,,
,,,,,2023-07-19,,
,,,,,2023-09-28,,
,,,,,2023-12-01,,
,,,,,2023-12-02,,
,,,,,2023-12-03,,
,,,,,2023-12-18,,
,,,,,2024-01-01,,
,,,,,2025-01-01,,
,,,,,2026-01-01,,
