CHOICELIST,,,,/CHOICELIST
DESCRIPTION,LIST,SORT_ORDER,ENTRY,
,MASTER,,Fitch Indonesia,
Sandi_07,Fitch Indonesia,7,A-(idn),
Sandi_06,Fitch Indonesia,6,A(idn),
Sandi_05,Fitch Indonesia,5,A+(idn),
Sandi_04,Fitch Indonesia,4,AA-(idn),
Sandi_03,Fitch Indonesia,3,AA(idn),
Sandi_02,Fitch Indonesia,2,AA+(idn),
Sandi_01,Fitch Indonesia,1,AAA(idn),
Sandi_16,Fitch Indonesia,16,B-(idn),
Sandi_15,Fitch Indonesia,15,B(idn),
Sandi_14,Fitch Indonesia,14,B+(idn),
Sandi_13,Fitch Indonesia,13,BB-(idn),
Sandi_12,Fitch Indonesia,12,BB(idn),
Sandi_11,Fitch Indonesia,11,BB+(idn),
Sandi_10,Fitch Indonesia,10,BBB-(idn),
Sandi_09,Fitch Indonesia,9,BBB(idn),
Sandi_08,Fitch Indonesia,8,BBB+(idn),
Sandi_21,Fitch Indonesia,21,C(idn),
Sandi_20,Fitch Indonesia,20,CC(idn),
Sandi_18,Fitch Indonesia,18,CCC(idn),
Sandi_22,Fitch Indonesia,22,D(idn),
Sandi_23,Fitch Indonesia,23,NR,
