PRICELINKDEFINITION,,,,,,,,,,,,,,,/PRICELINKDEFINITION
INSADDR.EXTERN_ID1,PRICE_SEMANTIC_SEQNBR.NAME,XML_DATA,FORCE_UPDATE,DISNBR.DISID,SOURCE_PTYNBR.PTYID,DONOT_RESET_FIELDS,SERVICE.LIST,IDP_CODE,STOP_TIME,UPDATE_INTERVAL,SERVICE.ENTRY,INSADDR.INSID,CURR.INSID,MULTIPLICATION_FACTOR,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,EURIDR6M=R,960,-1,IDN_SELECTFEED,EUR-IDR/SW/6M,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,JPYIDR1M=R,960,-1,IDN_SELECTFEED,JPY-IDR/SW/1M,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,JPYIDRSW=R,960,-1,IDN_SELECTFEED,JPY-IDR/SW/1W,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,JPYIDR1Y=R,960,-1,IDN_SELECTFEED,JPY-IDR/SW/1Y,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,JPYIDR3M=R,960,-1,IDN_SELECTFEED,JPY-IDR/SW/3M,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,JPYIDR6M=R,960,-1,IDN_SELECTFEED,JPY-IDR/SW/6M,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,JPYIDR9M=R,960,-1,IDN_SELECTFEED,JPY-IDR/SW/9M,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,INDONIA=,960,-1,IDN_SELECTFEED,IDR/INDONIA,IDR,1,
US0001M,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,USD1MFSR=,960,-1,IDN_SELECTFEED,USD/LIBOR/1M,USD,1,
US0001W,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,USDSWFSR=,960,-1,IDN_SELECTFEED,USD/LIBOR/1W,USD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,USD1YFSR=,960,-1,IDN_SELECTFEED,USD/LIBOR/12M,USD,1,
US0002M,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,USD2MFSR=,960,-1,IDN_SELECTFEED,USD/LIBOR/2M,USD,1,
US0003M,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,USD3MFSR=,960,-1,IDN_SELECTFEED,USD/LIBOR/3M,USD,1,
US0006M,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,USD6MFSR=,960,-1,IDN_SELECTFEED,USD/LIBOR/6M,USD,1,
US00O/N,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,USDONFSR=,960,-1,IDN_SELECTFEED,USD/LIBOR/ON,USD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,IDR1MD=,960,-1,IDN_SELECTFEED,IDR/DEP/1M,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,IDRSWD=,960,-1,IDN_SELECTFEED,IDR/DEP/1W,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,IDR1YD=,960,-1,IDN_SELECTFEED,IDR/DEP/1Y,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,IDR2MD=,960,-1,IDN_SELECTFEED,IDR/DEP/2M,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,IDR2WD=,960,-1,IDN_SELECTFEED,IDR/DEP/2W,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,IDR3MD=,960,-1,IDN_SELECTFEED,IDR/DEP/3M,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,IDR6MD=,960,-1,IDN_SELECTFEED,IDR/DEP/6M,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,IDROND=,960,-1,IDN_SELECTFEED,IDR/DEP/1D,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,EURIBOR1YD=X,960,-1,IDN_SELECTFEED,EUR/EURIBOR/12M,EUR,1,
EUR006M,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,EURIBOR6MD=X,960,-1,IDN_SELECTFEED,EUR/EURIBOR/6M,EUR,1,
EUR001W,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,EURIBORSWD=X,960,-1,IDN_SELECTFEED,EUR/EURIBOR/1W,EUR,1,
EUR001M,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,EURIBOR1MD=X,960,-1,IDN_SELECTFEED,EUR/EURIBOR/1M,EUR,1,
EUR003M,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,EURIBOR3MD=X,960,-1,IDN_SELECTFEED,EUR/EURIBOR/3M,EUR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUD1MD=,960,-1,IDN_SELECTFEED,AUD/DEP/1M,AUD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUD2MD=,960,-1,IDN_SELECTFEED,AUD/DEP/2M,AUD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUD3MD=,960,-1,IDN_SELECTFEED,AUD/DEP/3M,AUD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUD4MD=,960,-1,IDN_SELECTFEED,AUD/DEP/4M,AUD,1,
