PRICE,,,,,,,/PRICE
PTYNBR.PTYID,SETTLE,HISTORICAL,BITS,DAY,INSADDR.INSID,CURR.INSID,
EOD_MtM,7.53393,Yes,256,2017-01-03,IDR/JIBOR/12M,IDR,
EOD_MtM,7.49821,Yes,256,2017-01-04,IDR/JIBOR/12M,IDR,
EOD_MtM,7.47321,Yes,256,2017-01-05,IDR/JIBOR/12M,IDR,
EOD_MtM,7.43571,Yes,256,2017-01-06,IDR/JIBOR/12M,IDR,
EOD_MtM,7.42143,Yes,256,2017-01-09,IDR/JIBOR/12M,IDR,
EOD_MtM,7.41786,Yes,256,2017-01-10,IDR/JIBOR/12M,IDR,
EOD_MtM,7.41157,Yes,256,2017-01-11,IDR/JIBOR/12M,IDR,
EOD_MtM,7.39779,Yes,256,2017-01-12,IDR/JIBOR/12M,IDR,
EOD_MtM,7.39857,Yes,256,2017-01-13,IDR/JIBOR/12M,IDR,
EOD_MtM,7.37757,Yes,256,2017-01-16,IDR/JIBOR/12M,IDR,
EOD_MtM,7.37286,Yes,256,2017-01-17,IDR/JIBOR/12M,IDR,
EOD_MtM,7.36893,Yes,256,2017-01-18,IDR/JIBOR/12M,IDR,
EOD_MtM,7.35879,Yes,256,2017-01-19,IDR/JIBOR/12M,IDR,
EOD_MtM,7.358,Yes,256,2017-01-20,IDR/JIBOR/12M,IDR,
EOD_MtM,7.35736,Yes,256,2017-01-23,IDR/JIBOR/12M,IDR,
EOD_MtM,7.3535,Yes,256,2017-01-24,IDR/JIBOR/12M,IDR,
EOD_MtM,7.32964,Yes,256,2017-01-25,IDR/JIBOR/12M,IDR,
EOD_MtM,7.324,Yes,256,2017-01-26,IDR/JIBOR/12M,IDR,
EOD_MtM,7.3225,Yes,256,2017-01-27,IDR/JIBOR/12M,IDR,
EOD_MtM,7.32271,Yes,256,2017-01-30,IDR/JIBOR/12M,IDR,
EOD_MtM,7.31857,Yes,256,2017-01-31,IDR/JIBOR/12M,IDR,
EOD_MtM,7.32214,Yes,256,2017-02-01,IDR/JIBOR/12M,IDR,
EOD_MtM,7.32214,Yes,256,2017-02-02,IDR/JIBOR/12M,IDR,
EOD_MtM,7.32407,Yes,256,2017-02-03,IDR/JIBOR/12M,IDR,
EOD_MtM,7.32214,Yes,256,2017-02-06,IDR/JIBOR/12M,IDR,
EOD_MtM,7.32929,Yes,256,2017-02-07,IDR/JIBOR/12M,IDR,
EOD_MtM,7.32929,Yes,256,2017-02-08,IDR/JIBOR/12M,IDR,
EOD_MtM,7.32571,Yes,256,2017-02-09,IDR/JIBOR/12M,IDR,
