PRICE,,,,,,,/PRICE
PTYNBR.PTYID,SETTLE,HISTORICAL,BITS,DAY,INSADDR.INSID,CURR.INSID,
EOD_MtM,1.8,Yes,256,2018-04-02,USD/SOFR,USD,
EOD_MtM,1.83,Yes,256,2018-04-03,USD/SOFR,USD,
EOD_MtM,1.74,Yes,256,2018-04-04,USD/SOFR,USD,
EOD_MtM,1.75,Yes,256,2018-04-05,USD/SOFR,USD,
EOD_MtM,1.75,Yes,256,2018-04-06,USD/SOFR,USD,
EOD_MtM,1.75,Yes,256,2018-04-09,USD/SOFR,USD,
EOD_MtM,1.75,Yes,256,2018-04-10,USD/SOFR,USD,
EOD_MtM,1.76,Yes,256,2018-04-11,USD/SOFR,USD,
EOD_MtM,1.73,Yes,256,2018-04-12,USD/SOFR,USD,
EOD_MtM,1.72,Yes,256,2018-04-13,USD/SOFR,USD,
EOD_MtM,1.77,Yes,256,2018-04-16,USD/SOFR,USD,
EOD_MtM,1.76,Yes,256,2018-04-17,USD/SOFR,USD,
EOD_MtM,1.75,Yes,256,2018-04-18,USD/SOFR,USD,
EOD_MtM,1.73,Yes,256,2018-04-19,USD/SOFR,USD,
EOD_MtM,1.72,Yes,256,2018-04-20,USD/SOFR,USD,
EOD_MtM,1.7,Yes,256,2018-04-23,USD/SOFR,USD,
EOD_MtM,1.71,Yes,256,2018-04-24,USD/SOFR,USD,
EOD_MtM,1.71,Yes,256,2018-04-25,USD/SOFR,USD,
EOD_MtM,1.72,Yes,256,2018-04-26,USD/SOFR,USD,
EOD_MtM,1.72,Yes,256,2018-04-27,USD/SOFR,USD,
EOD_MtM,1.77,Yes,256,2018-04-30,USD/SOFR,USD,
EOD_MtM,1.76,Yes,256,2018-05-01,USD/SOFR,USD,
EOD_MtM,1.75,Yes,256,2018-05-02,USD/SOFR,USD,
EOD_MtM,1.74,Yes,256,2018-05-03,USD/SOFR,USD,
EOD_MtM,1.72,Yes,256,2018-05-04,USD/SOFR,USD,
EOD_MtM,1.71,Yes,256,2018-05-07,USD/SOFR,USD,
