VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,VOLATILITYSKEW,,,,,,,,,,,,,,/VOLATILITYSKEW,/VOLATILITY
BOND_VOL_TYPE,CURR_PAIR_SEQNBR.CURR1.INSID,CURR_PAIR_SEQNBR.CURR2.INSID,CURR_PAIR_SEQNBR.NAME,DATA,DELTA_ATM_DEFINITION,DELTA_TERM,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FAVOUR_CALL,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STORED_ATM_VOL_MULTIPLIER,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,SKEW_INPUT_TYPE,,
Price,EUR,SEK,EUR/SEK,,Zero Delta Straddle,Pct of foreign,1,1,Default,Variance,Yes,1,1,Black & Scholes,Polynomial Fit,FX Vol,1,Delta,Delta,FX-EURSEK,Malz,Relative,0.0963,0.00224,0.008465,0,0.0036,0.0065,0,-0.01,0.01,Yes,Spot,1d,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.06975,0.00148,0.00865,0,0.0025,0.0067,0,-0.01,0.01,Yes,Spot,1w,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.06615,0.00195,0.006,0,0.0048,0.0086,0,-0.01,0.01,Yes,Spot,1m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.0665,0.002125,0.00682,0,0.0056,0.01,0,-0.01,0.01,Yes,Spot,2m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.0675,0.00218,0.0074,0,0.0069,0.0121,0,-0.01,0.01,Yes,Spot,3m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.06895,0.0026,0.00867,0,0.0077,0.0139,0,-0.01,0.01,Yes,Spot,6m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.0698,0.00285,0.008825,0,0.0087,0.0149,0,-0.01,0.01,Yes,Spot,9m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.0706,0.0031,0.00986,0,0.0088,0.0164,0,-0.01,0.01,Yes,Spot,1y,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.0726,0.0032,0.0102,0,0.0097,0.0178,0,-0.01,0.01,Yes,Spot,2y,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.0747,0.0034,0.011,0,0.0107,0.0217,0,-0.01,0.01,Yes,Spot,3y,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.0795,0.0036,0.0112,0,0.011,0.0233,0,-0.01,0.01,Yes,Spot,5y,7,None,,
