VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,VOLATILITYSKEW,,,,,,,,,,,,,,/VOLATILITYSKEW,/VOLATILITY
BOND_VOL_TYPE,CURR_PAIR_SEQNBR.CURR1.INSID,CURR_PAIR_SEQNBR.CURR2.INSID,CURR_PAIR_SEQNBR.NAME,DATA,DELTA_ATM_DEFINITION,DELTA_TERM,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FAVOUR_CALL,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STORED_ATM_VOL_MULTIPLIER,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,SKEW_INPUT_TYPE,,
Price,USD,NOK,USD/NOK,,Zero Delta Straddle,Pct of foreign,1,1,Default,Variance,Yes,1,1,Black & Scholes,Polynomial Fit,FX Vol,1,Delta,Delta,FX-USDNOK,Malz,Relative,0.2132,0.004,0.0152,0,0.0062,0.0115,0,-0.01,0.01,Yes,Spot,1d,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.17735,0.0025,0.0103,0,0.0084,0.0145,0,-0.01,0.01,Yes,Spot,1w,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.154,0.003,0.009525,0,0.014,0.0241,0,-0.01,0.01,Yes,Spot,1m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.152,0.003325,0.01085,0,0.0169,0.0295,0,-0.01,0.01,Yes,Spot,2m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.14915,0.0039,0.0131,0,0.0183,0.0324,0,-0.01,0.01,Yes,Spot,3m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.14455,0.0045,0.0154,0,0.0213,0.0383,0,-0.01,0.01,Yes,Spot,6m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.1434,0.005,0.0174,0,0.0235,0.0416,0,-0.01,0.01,Yes,Spot,9m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.14225,0.0054,0.0188,0,0.0253,0.0475,0,-0.01,0.01,Yes,Spot,1y,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.1442,0.0057,0.0193,0,0.0248,0.0444,0,-0.01,0.01,Yes,Spot,2y,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.1468,0.0066,0.0198,0,0.022,0.0438,0,-0.01,0.01,Yes,Spot,3y,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.1507,0.0072,0.0211,0,0.021,0.0433,0,-0.01,0.01,Yes,Spot,5y,7,None,,
