Keyword,Day,Report Date,Accrued Inclusion,Test Data(Optional Key),Expected Result,,,,,,,
Validate Carry,Start Day,Today,None,Bond AC Buy,1000,,,,,,,
Validate Carry,Start Day + 1BD,Today,None,Bond AC Buy,1000,,,,,,,
Validate Carry,Expiry - 1BD,Today,None,Bond AC Buy,1000,,,,,,,
Validate Carry,Expiry,Today,None,Bond AC Buy,1000,,,,,,,
Validate Carry,Coupon ,Today,None,Bond AC Buy,0,,,,,,,
Validate Carry,Start Day,Instrument Spot,None,Bond AC Buy,,,,,,,,
Validate Carry,Start Day + 1BD,Instrument Spot,None,Bond AC Buy,,,,,,,,
Validate Carry,Expiry - 1BD,Instrument Spot,None,Bond AC Buy,,,,,,,,
Validate Carry,Expiry,Instrument Spot,None,Bond AC Buy,,,,,,,,
Validate Carry,Coupon ,Instrument Spot,None,Bond AC Buy,,,,,,,,
Validate Carry,Start Day,Today,Following,Bond AC Buy,1000,,,,,,,
Validate Carry,Start Day + 1BD,Today,Following,Bond AC Buy,,,,,,,,
Validate Carry,Expiry - 1BD,Today,Following,Bond AC Buy,,,,,,,,
Validate Carry,Expiry,Today,Following,Bond AC Buy,,,,,,,,
Validate Carry,Coupon ,Today,Following,Bond AC Buy,,,,,,,,
,,,,,,,,,,,,
Validate Depreciation ,Start Day,,,Bond AC Buy,-100,,,,,,,
Validate Depreciation ,Start Day + 1BD,,,Bond AC Buy,-3000,,,,,,,
Validate Depreciation ,,,,,,,,,,,,
