ACCOUNT,,,,,,,,,,,,,,,,,,,,,,/ACCOUNT
PTYNBR.PTYID,NAME,CURR.INSID,ACCOUNT_TYPE,NETWORK_ALIAS_TYPE.ALIAS_TYPE_NAME,SUB_NETWORK_CHLNBR.LIST,SUB_NETWORK_CHLNBR.ENTRY,NETWORK_ALIAS_SEQNBR.PTYNBR.PTYID,NETWORK_ALIAS_SEQNBR.TYPE.ALIAS_TYPE_NAME,NETWORK_ALIAS_SEQNBR.ALIAS,CORRESPONDENT_BANK_PTYNBR.PTYID,ACCOUNT,BIC_SEQNBR.PTYNBR.PTYID,BIC_SEQNBR.TYPE.ALIAS_TYPE_NAME,BIC_SEQNBR.ALIAS,CORRESPONDENT_BANK2_PTYNBR.PTYID,ACCOUNT2,BIC2_SEQNBR.PTYNBR.PTYID,BIC2_SEQNBR.TYPE.ALIAS_TYPE_NAME,BIC2_SEQNBR.ALIAS,DEPOSITORY,DEPOSITORY2,
Acquirer 1,AQ1_ALL_COBADEFF,,Cash,SWIFT,,,Acquirer 1,SWIFT,ACQIIDJAXXX,Correspondent Bank 3 (COMMERZBANK),3014,Correspondent Bank 3 (COMMERZBANK),SWIFT,COBADEFF,,,,,,NOSTRO,11020100,
Acquirer 1,AQ1_EUR_CHASUS33,EUR,Cash,SWIFT,,,Acquirer 1,SWIFT,ACQIIDJAXXX,Correspondent Bank 1 (J.P.MORGAN US),3020,Correspondent Bank 1 (J.P.MORGAN US),SWIFT,CHASUS33,,,,,,NOSTRO,11020100,
Acquirer 1,AQ1_EUR_COBADEFF,EUR,Cash,SWIFT,,,Acquirer 1,SWIFT,ACQIIDJAXXX,Correspondent Bank 3 (COMMERZBANK),3014,Correspondent Bank 3 (COMMERZBANK),SWIFT,COBADEFF,,,,,,NOSTRO,11020100,
Acquirer 1,AQ1_GBP_COBADEFF,GBP,Cash,SWIFT,,,Acquirer 1,SWIFT,ACQIIDJAXXX,Correspondent Bank 3 (COMMERZBANK),3014,Correspondent Bank 3 (COMMERZBANK),SWIFT,COBADEFF,,,,,,NOSTRO,11020100,
Acquirer 1,AQ1_SEC_EUR_CHASUS33,EUR,Security,SWIFT,,,Acquirer 1,SWIFT,ACQIIDJAXXX,Correspondent Bank 1 (J.P.MORGAN US),3017,Correspondent Bank 1 (J.P.MORGAN US),SWIFT,CHASUS33,Correspondent Bank 2 (DEUTSCHE BANK NY),3018,Correspondent Bank 2 (DEUTSCHE BANK NY),SWIFT,BKTRUS33,NOSTRO,11020100,
Acquirer 1,AQ1_SEC_GBP_CHASUS33,GBP,Security,SWIFT,,,Acquirer 1,SWIFT,ACQIIDJAXXX,Correspondent Bank 1 (J.P.MORGAN US),3017,Correspondent Bank 1 (J.P.MORGAN US),SWIFT,CHASUS33,Correspondent Bank 2 (DEUTSCHE BANK NY),3018,Correspondent Bank 2 (DEUTSCHE BANK NY),SWIFT,BKTRUS33,NOSTRO,11020100,
Acquirer 1,AQ1_SEC_USD_CHASUS33,USD,Security,SWIFT,,,Acquirer 1,SWIFT,ACQIIDJAXXX,Correspondent Bank 1 (J.P.MORGAN US),3011,Correspondent Bank 1 (J.P.MORGAN US),SWIFT,CHASUS33,,,,,,NOSTRO,11020100,
Acquirer 1,AQ1_USD_CHASUS33,USD,Cash,SWIFT,,,Acquirer 1,SWIFT,ACQIIDJAXXX,Correspondent Bank 1 (J.P.MORGAN US),3002,Correspondent Bank 1 (J.P.MORGAN US),SWIFT,CHASUS33,Correspondent Bank 2 (DEUTSCHE BANK NY),3003,Correspondent Bank 2 (DEUTSCHE BANK NY),SWIFT,BKTRUS33,NOSTRO,11020100,
Acquirer 1,AQ1_USD_CHASUS33_OVERACT,USD,Cash,OverAccount,,,,,,Correspondent Bank 1 (J.P.MORGAN US),3002,Correspondent Bank 1 (J.P.MORGAN US),OverAccount,CHASUS33,,,,,,NOSTRO,11020100,
Acquirer 1,AQ1_USD_COBADEFF,USD,Cash,SWIFT,,,Acquirer 1,SWIFT,ACQIIDJAXXX,Correspondent Bank 3 (COMMERZBANK),3005,Correspondent Bank 3 (COMMERZBANK),SWIFT,COBADEFF,,,,,,NOSTRO,11020100,
Client 1,CL1_EUR_CHASUS33,EUR,Cash,SWIFT,,,Client 1,SWIFT,CLNIIDJAXXX,Correspondent Bank 1 (J.P.MORGAN US),4014,Correspondent Bank 1 (J.P.MORGAN US),SWIFT,CHASUS33,,,,,,NOSTRO,11020100,
Client 1,CL1_EUR_BKTRUS33,EUR,Cash,SWIFT,,,Client 1,SWIFT,CLNIIDJAXXX,Correspondent Bank 2 (DEUTSCHE BANK NY),4020,Correspondent Bank 2 (DEUTSCHE BANK NY),SWIFT,BKTRUS33,,,,,,NOSTRO,11020100,
Client 1,CL1_SEC_EUR_CHASUS33,EUR,Security,SWIFT,,,,,,Correspondent Bank 1 (J.P.MORGAN US),4017,Correspondent Bank 1 (J.P.MORGAN US),SWIFT,CHASUS33,Correspondent Bank 2 (DEUTSCHE BANK NY),4018,Correspondent Bank 2 (DEUTSCHE BANK NY),SWIFT,BKTRUS33,NOSTRO,11020100,
Client 1,CL1_SEC_USD_CHASUS33,USD,Security,SWIFT,,,,,,Correspondent Bank 1 (J.P.MORGAN US),4011,Correspondent Bank 1 (J.P.MORGAN US),SWIFT,CHASUS33,Correspondent Bank 2 (DEUTSCHE BANK NY),4012,Correspondent Bank 2 (DEUTSCHE BANK NY),SWIFT,BKTRUS33,NOSTRO,11020100,
Client 1,CL1_USD_CHASUS33,USD,Cash,SWIFT,,,Client 1,SWIFT,CLNIIDJAXXX,Correspondent Bank 1 (J.P.MORGAN US),4002,Correspondent Bank 1 (J.P.MORGAN US),SWIFT,CHASUS33,Correspondent Bank 2 (DEUTSCHE BANK NY),4003,Correspondent Bank 2 (DEUTSCHE BANK NY),SWIFT,BKTRUS33,NOSTRO,11020100,
Client 1,CL1_USD_COBADEFF,USD,Cash,SWIFT,,,Client 1,SWIFT,CLNIIDJAXXX,Correspondent Bank 3 (COMMERZBANK),4005,Correspondent Bank 3 (COMMERZBANK),SWIFT,COBADEFF,,,,,,NOSTRO,11020100,
Counterparty 1,CP1_ALL_CHASUS33,,Cash,SWIFT,,,Counterparty 1,SWIFT,CPTIIDJAXXX,Correspondent Bank 1 (J.P.MORGAN US),1020,Correspondent Bank 1 (J.P.MORGAN US),SWIFT,CHASUS33,,,,,,NOSTRO,11020100,
Counterparty 1,CP1_EUR_CHASUS33,EUR,Cash,SWIFT,,,Counterparty 1,SWIFT,CPTIIDJAXXX,Correspondent Bank 1 (J.P.MORGAN US),1010,Correspondent Bank 1 (J.P.MORGAN US),SWIFT,CHASUS33,Correspondent Bank 2 (DEUTSCHE BANK NY),1011,Correspondent Bank 2 (DEUTSCHE BANK NY),SWIFT,BKTRUS33,NOSTRO,11020100,
Counterparty 1,CP1_EUR_BKTRUS33,EUR,Cash,SWIFT,,,Counterparty 1,SWIFT,CPTIIDJAXXX,Correspondent Bank 2 (DEUTSCHE BANK NY),1016,Correspondent Bank 2 (DEUTSCHE BANK NY),SWIFT,BKTRUS33,,,,,,NOSTRO,11020100,
Counterparty 1,CP1_SEC_EUR_CHASUS33,EUR,Security,SWIFT,,,Counterparty 1,SWIFT,CPTIIDJAXXX,Correspondent Bank 1 (J.P.MORGAN US),1007,Correspondent Bank 1 (J.P.MORGAN US),SWIFT,CHASUS33,,,,,,NOSTRO,11020100,
Counterparty 1,CP1_GBP_BKTRUS33,GBP,Cash,SWIFT,,,Counterparty 1,SWIFT,CPTIIDJAXXX,Correspondent Bank 2 (DEUTSCHE BANK NY),1016,Correspondent Bank 2 (DEUTSCHE BANK NY),SWIFT,BKTRUS33,,,,,,NOSTRO,11020100,
