CHOICELIST,,,,/CHOICELIST
DESCRIPTION,LIST,SORT_ORDER,ENTRY,
,MASTER,,SwiftMessageType,
Swift message type,SwiftMessageType,,MT300,
Swift message type,SwiftMessageType,,MT305,
Swift message type,SwiftMessageType,,MT320,
Swift message type,SwiftMessageType,,MT330,
Swift message type,SwiftMessageType,,MT395,
Swift message type,SwiftMessageType,,MT399,
Swift message type,SwiftMessageType,,MT518,
Swift message type,SwiftMessageType,,MT535,
Swift message type,SwiftMessageType,,MT544,
Swift message type,SwiftMessageType,,MT545,
Swift message type,SwiftMessageType,,MT546,
Swift message type,SwiftMessageType,,MT547,
Swift message type,SwiftMessageType,,MT548,
