INSTRUMENT,,,,,,,,,,LEG,,,,,,,,,,,,,,,,,,,,,,,,/LEG,/INSTRUMENT
CONTR_SIZE,CURR.INSID,GENERIC,INSID,INSTYPE,MTM_FROM_FEED,OTC,PAY_OFFSET_METHOD,QUOTATION_SEQNBR.NAME,SPOT_BANKING_DAYS_OFFSET,CURR.INSID,DAYCOUNT_METHOD,DECIMALS,END_PERIOD,EXCLUDE_FIRST_PERIOD,FLOAT_RATE.EXTERN_ID1,FLOAT_RATE.INSID,FLOAT_RATE_FACTOR,INTEREST_PAYMENT_TIME,NOMINAL_FACTOR,PAYLEG,PAY_CALNBR.CALID,PAY_DAY_METHOD,RESET_CALNBR.CALID,RESET_DAY_METHOD,RESET_DAY_OFFSET,RESET_TYPE,ROLLING_CONVENTION,ROLLING_PERIOD,ROUNDING,START_PERIOD,STRIKE,STRIKE_TYPE,TYPE,,
1000000,EUR,Yes,EUR/CAP/EU3M/DISP-VOL/18M/-0.25,Cap,Yes,Yes,Business Days,Volatility,2,EUR,Act/360,5,18m,Yes,EUR003M,EUR/EURIBOR/3M,1,In Arrears,1,No,Target,Mod. Following,Target,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0d,-0.25,Absolute,Cap,,
1000000,EUR,Yes,EUR/CAP/EU3M/DISP-VOL/18M/-0.50,Cap,Yes,Yes,Business Days,Volatility,2,EUR,Act/360,5,18m,Yes,EUR003M,EUR/EURIBOR/3M,1,In Arrears,1,No,Target,Mod. Following,Target,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0d,-0.5,Absolute,Cap,,
1000000,EUR,Yes,EUR/CAP/EU3M/DISP-VOL/18M/-1.00,Cap,Yes,Yes,Business Days,Volatility,2,EUR,Act/360,5,18m,Yes,EUR003M,EUR/EURIBOR/3M,1,In Arrears,1,No,Target,Mod. Following,Target,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0d,-1,Absolute,Cap,,
1000000,EUR,Yes,EUR/CAP/EU3M/DISP-VOL/18M/-1.25,Cap,Yes,Yes,Business Days,Volatility,2,EUR,Act/360,5,18m,Yes,EUR003M,EUR/EURIBOR/3M,1,In Arrears,1,No,Target,Mod. Following,Target,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0d,-1.25,Absolute,Cap,,
1000000,EUR,Yes,EUR/CAP/EU3M/DISP-VOL/18M/-1.50,Cap,Yes,Yes,Business Days,Volatility,2,EUR,Act/360,5,18m,Yes,EUR003M,EUR/EURIBOR/3M,1,In Arrears,1,No,Target,Mod. Following,Target,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0d,-1.5,Absolute,Cap,,
1000000,EUR,Yes,EUR/CAP/EU3M/DISP-VOL/18M/0.00,Cap,Yes,Yes,Business Days,Volatility,2,EUR,Act/360,5,18m,Yes,EUR003M,EUR/EURIBOR/3M,1,In Arrears,1,No,Target,Mod. Following,Target,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0d,,Absolute,Cap,,
1000000,EUR,Yes,EUR/CAP/EU3M/DISP-VOL/18M/0.25,Cap,Yes,Yes,Business Days,Volatility,2,EUR,Act/360,5,18m,Yes,EUR003M,EUR/EURIBOR/3M,1,In Arrears,1,No,Target,Mod. Following,Target,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0d,0.25,Absolute,Cap,,
1000000,EUR,Yes,EUR/CAP/EU3M/DISP-VOL/18M/0.50,Cap,Yes,Yes,Business Days,Volatility,2,EUR,Act/360,5,18m,Yes,EUR003M,EUR/EURIBOR/3M,1,In Arrears,1,No,Target,Mod. Following,Target,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0d,0.5,Absolute,Cap,,
1000000,EUR,Yes,EUR/CAP/EU3M/DISP-VOL/18M/1.00,Cap,Yes,Yes,Business Days,Volatility,2,EUR,Act/360,5,18m,Yes,EUR003M,EUR/EURIBOR/3M,1,In Arrears,1,No,Target,Mod. Following,Target,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0d,1,Absolute,Cap,,
1000000,EUR,Yes,EUR/CAP/EU3M/DISP-VOL/18M/10.00,Cap,Yes,Yes,Business Days,Volatility,2,EUR,Act/360,5,18m,Yes,EUR003M,EUR/EURIBOR/3M,1,In Arrears,1,No,Target,Mod. Following,Target,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0d,10,Absolute,Cap,,
1000000,EUR,Yes,EUR/CAP/EU3M/DISP-VOL/18M/2.00,Cap,Yes,Yes,Business Days,Volatility,2,EUR,Act/360,5,18m,Yes,EUR003M,EUR/EURIBOR/3M,1,In Arrears,1,No,Target,Mod. Following,Target,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0d,2,Absolute,Cap,,
1000000,EUR,Yes,EUR/CAP/EU3M/DISP-VOL/18M/3.00,Cap,Yes,Yes,Business Days,Volatility,2,EUR,Act/360,5,18m,Yes,EUR003M,EUR/EURIBOR/3M,1,In Arrears,1,No,Target,Mod. Following,Target,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0d,3,Absolute,Cap,,
1000000,EUR,Yes,EUR/CAP/EU3M/DISP-VOL/18M/5.00,Cap,Yes,Yes,Business Days,Volatility,2,EUR,Act/360,5,18m,Yes,EUR003M,EUR/EURIBOR/3M,1,In Arrears,1,No,Target,Mod. Following,Target,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0d,5,Absolute,Cap,,
1000000,EUR,Yes,EUR/CAP/EU3M/DISP-VOL/18M/ATM,Cap,Yes,Yes,Business Days,Volatility,2,EUR,Act/360,5,18m,Yes,EUR003M,EUR/EURIBOR/3M,1,In Arrears,1,No,Target,Mod. Following,Target,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0d,,Rel ATM Par,Cap,,
1000000,EUR,Yes,EUR/CAP/EU3M/DISP-VOL/1Y/-0.25,Cap,Yes,Yes,Business Days,Volatility,2,EUR,Act/360,5,1y,Yes,EUR003M,EUR/EURIBOR/3M,1,In Arrears,1,No,Target,Mod. Following,Target,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0d,-0.25,Absolute,Cap,,
1000000,EUR,Yes,EUR/CAP/EU3M/DISP-VOL/1Y/-0.50,Cap,Yes,Yes,Business Days,Volatility,2,EUR,Act/360,5,1y,Yes,EUR003M,EUR/EURIBOR/3M,1,In Arrears,1,No,Target,Mod. Following,Target,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0d,-0.5,Absolute,Cap,,
1000000,EUR,Yes,EUR/CAP/EU3M/DISP-VOL/1Y/-1.00,Cap,Yes,Yes,Business Days,Volatility,2,EUR,Act/360,5,1y,Yes,EUR003M,EUR/EURIBOR/3M,1,In Arrears,1,No,Target,Mod. Following,Target,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0d,-1,Absolute,Cap,,
1000000,EUR,Yes,EUR/CAP/EU3M/DISP-VOL/1Y/-1.25,Cap,Yes,Yes,Business Days,Volatility,2,EUR,Act/360,5,1y,Yes,EUR003M,EUR/EURIBOR/3M,1,In Arrears,1,No,Target,Mod. Following,Target,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0d,-1.25,Absolute,Cap,,
1000000,EUR,Yes,EUR/CAP/EU3M/DISP-VOL/1Y/-1.50,Cap,Yes,Yes,Business Days,Volatility,2,EUR,Act/360,5,1y,Yes,EUR003M,EUR/EURIBOR/3M,1,In Arrears,1,No,Target,Mod. Following,Target,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0d,-1.5,Absolute,Cap,,
1000000,EUR,Yes,EUR/CAP/EU3M/DISP-VOL/1Y/0.00,Cap,Yes,Yes,Business Days,Volatility,2,EUR,Act/360,5,1y,Yes,EUR003M,EUR/EURIBOR/3M,1,In Arrears,1,No,Target,Mod. Following,Target,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0d,,Absolute,Cap,,
1000000,EUR,Yes,EUR/CAP/EU3M/DISP-VOL/1Y/0.25,Cap,Yes,Yes,Business Days,Volatility,2,EUR,Act/360,5,1y,Yes,EUR003M,EUR/EURIBOR/3M,1,In Arrears,1,No,Target,Mod. Following,Target,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0d,0.25,Absolute,Cap,,
1000000,EUR,Yes,EUR/CAP/EU3M/DISP-VOL/1Y/0.50,Cap,Yes,Yes,Business Days,Volatility,2,EUR,Act/360,5,1y,Yes,EUR003M,EUR/EURIBOR/3M,1,In Arrears,1,No,Target,Mod. Following,Target,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0d,0.5,Absolute,Cap,,
1000000,EUR,Yes,EUR/CAP/EU3M/DISP-VOL/1Y/1.00,Cap,Yes,Yes,Business Days,Volatility,2,EUR,Act/360,5,1y,Yes,EUR003M,EUR/EURIBOR/3M,1,In Arrears,1,No,Target,Mod. Following,Target,Mod. Following,-2,Single,EOM Cal Days,3m,Normal,0d,1,Absolute,Cap,,
