VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,VOLPOINT,,/VOLPOINT,/VOLATILITY
BOND_VOL_TYPE,CALIBRATION_BOUND_FUNCTION,CALIBRATION_FILTER_FUNCTION,CAP_FLOOR_FORWARD_VOL,CURR.INSID,DATA,DISPLACED_BLACK_SCHOLES_SHIFT,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_DATE_METHOD,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,INTERPOLATION_ORDER,RISK_TYPE,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,INSADDR.INSID,VOLATILITY,,
Yield Forward,FA Implied volatility,FA Invalid Market Price,Forward,EUR,,0.03,1,1,Expiry-Tenor,Flat,Flat Volatility Adj,1,1,Black & Scholes - Displaced,Linear,Maturity First,IR Vol,Absolute,Absolute,EUR-CAP-B&S-DISP,Benchmark,Relative,EUR/CAP/EU3M/DISP-VOL/18M/-0.25,0.166677891735,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU3M/DISP-VOL/18M/-0.50,0.116752104081,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU3M/DISP-VOL/18M/-1.00,0.0892026362906,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU3M/DISP-VOL/18M/-1.25,0.114839526633,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU3M/DISP-VOL/18M/-1.50,0.146534429326,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU3M/DISP-VOL/18M/0.00,0.203811555134,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU3M/DISP-VOL/18M/0.25,0.234593343746,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU3M/DISP-VOL/18M/0.50,0.261345593537,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU3M/DISP-VOL/18M/1.00,0.302499623064,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU3M/DISP-VOL/18M/10.00,0.555910770595,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU3M/DISP-VOL/18M/2.00,0.364490709412,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU3M/DISP-VOL/18M/3.00,0.409158038656,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU3M/DISP-VOL/18M/5.00,0.470963518706,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU3M/DISP-VOL/18M/ATM,0.129018601135,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU3M/DISP-VOL/1Y/-0.25,0.16,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU3M/DISP-VOL/1Y/-0.50,0.086,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU3M/DISP-VOL/1Y/-1.00,0.092,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU3M/DISP-VOL/1Y/-1.25,0.131,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU3M/DISP-VOL/1Y/-1.50,0.175,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU3M/DISP-VOL/1Y/0.00,0.213,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU3M/DISP-VOL/1Y/0.25,0.255,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU3M/DISP-VOL/1Y/0.50,0.291,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU3M/DISP-VOL/1Y/1.00,0.35,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU3M/DISP-VOL/1Y/10.00,0.713,,
