CONTEXTLINK,,,,,,,,,,,,/CONTEXTLINK
CONTEXT_SEQNBR.NAME,CURR.EXTERN_ID1,CURR.INSID,DISC_TYPE_CHLNBR.ENTRY,DISC_TYPE_CHLNBR.LIST,GROUP_CHLNBR.ENTRY,GROUP_CHLNBR.LIST,INSADDR.EXTERN_ID1,INSADDR.INSID,MAPPING_TYPE,NAME,TYPE,
Global,,CAD,,,,,,AUD,Instrument,FX-AUDCAD,Volatility,
Global,,JPY,,,,,,AUD,Instrument,FX-AUDJPY,Volatility,
Global,,AUD,,,,,,EUR,Instrument,FX-EURAUD,Volatility,
Global,,CAD,,,,,,EUR,Instrument,FX-EURCAD,Volatility,
Global,,CHF,,,,,,EUR,Instrument,FX-EURCHF,Volatility,
Global,,GBP,,,,,,EUR,Instrument,FX-EURGBP,Volatility,
Global,,JPY,,,,,,EUR,Instrument,FX-EURJPY,Volatility,
Global,,NZD,,,,,,EUR,Instrument,FX-EURNZD,Volatility,
Global,,AUD,,,,,,GBP,Instrument,FX-GBPAUD,Volatility,
Global,,CAD,,,,,,GBP,Instrument,FX-GBPCAD,Volatility,
Global,,JPY,,,,,,GBP,Instrument,FX-GBPJPY,Volatility,
Global,,NZD,,,,,,GBP,Instrument,FX-GBPNZD,Volatility,
