VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,VOLATILITYSKEW,,,,,,,,,,,,,,/VOLATILITYSKEW,/VOLATILITY
BOND_VOL_TYPE,CURR_PAIR_SEQNBR.CURR1.INSID,CURR_PAIR_SEQNBR.CURR2.INSID,CURR_PAIR_SEQNBR.NAME,DATA,DELTA_ATM_DEFINITION,DELTA_TERM,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FAVOUR_CALL,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STORED_ATM_VOL_MULTIPLIER,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,SKEW_INPUT_TYPE,,
Price,,,,,Zero Delta Straddle,Pct of foreign,1,1,Default,Variance,Yes,1,1,Black & Scholes,Polynomial Fit,FX Vol,1,Delta,Delta,FX-AUDCAD,Malz,Relative,0.04663,0.0464,0.04677,0.04864,0.04689,0.04825,0.05162,-0.01,0.01,Yes,Spot,1w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.05725,0.05656,0.05759,0.06188,0.05793,0.06116,0.06863,,,,,9m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.05738,0.05714,0.05888,0.06305,0.05806,0.06183,0.06975,,,,,1y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.059,0.05838,0.0603,0.0657,0.05971,0.06417,0.07406,,,,,2y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0595,0.05797,0.05875,0.06504,0.06002,0.06418,0.07647,,,,,3y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.064,0.06231,0.06322,0.07031,0.06422,0.06831,0.08203,,,,,5y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0528,0.0524,0.05274,0.0549,0.0529,0.0542,0.05786,,,,,2w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.05415,0.05391,0.05453,0.05674,0.0544,0.05597,0.0597,,,,,3w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.055,0.05492,0.05579,0.05802,0.05539,0.05721,0.06098,,,,,1m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.05535,0.0552,0.05603,0.05838,0.05578,0.05768,0.06157,,,,,6w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.05575,0.05552,0.05631,0.05878,0.05622,0.0582,0.06222,,,,,2m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0565,0.05623,0.05708,0.05954,0.05708,0.05943,0.06396,,,,,3m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.05696,0.05675,0.05783,0.06068,0.05753,0.06012,0.06534,,,,,4m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0572,0.05702,0.05823,0.06129,0.05777,0.06048,0.06607,,,,,5m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.05738,0.05722,0.05851,0.06171,0.05793,0.06072,0.06657,,,,,6m,7,Option Quotes,,
