VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,VOLATILITYSKEW,,,,,,,,,,,,,,/VOLATILITYSKEW,/VOLATILITY
BOND_VOL_TYPE,CURR_PAIR_SEQNBR.CURR1.INSID,CURR_PAIR_SEQNBR.CURR2.INSID,CURR_PAIR_SEQNBR.NAME,DATA,DELTA_ATM_DEFINITION,DELTA_TERM,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FAVOUR_CALL,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STORED_ATM_VOL_MULTIPLIER,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,SKEW_INPUT_TYPE,,
Price,AUD,JPY,AUD/JPY,,Zero Delta Straddle,Pct of foreign,1,1,Default,Variance,Yes,1,1,Black & Scholes,Polynomial Fit,FX Vol,1,Delta,Delta,FX-AUDJPY,Malz,Relative,0.06725,0.06587,0.06505,0.06643,0.06875,0.07298,0.0809,-0.01,0.01,Yes,Spot,1w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0865,0.08205,0.07858,0.07577,0.0898,0.10183,0.12206,,,,,9m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.08887,0.08401,0.08115,0.07857,0.09245,0.10643,0.12768,,,,,1y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.09156,0.08579,0.08308,0.08336,0.09439,0.1089,0.13524,,,,,18m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.093,0.08668,0.08402,0.08571,0.0952,0.10972,0.13847,,,,,2y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.097,0.08893,0.08564,0.08779,0.0982,0.11421,0.14742,,,,,3y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.10385,0.09271,0.08717,0.09055,0.10366,0.12011,0.16075,,,,,4y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.108,0.09493,0.08807,0.09221,0.10644,0.12282,0.16685,,,,,5y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.11439,0.1016,0.09393,0.10044,0.11226,0.12366,0.16748,,,,,6y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.1185,0.10608,0.0979,0.10596,0.11619,0.12431,0.16723,,,,,7y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.12328,0.11068,0.10262,0.11251,0.12047,0.12725,0.16894,,,,,8y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07343,0.07171,0.07024,0.07083,0.07557,0.08168,0.09312,,,,,2w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.1268,0.11414,0.10616,0.1174,0.12346,0.1295,0.16978,,,,,9y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.1295,0.11684,0.10892,0.12121,0.12558,0.13131,0.17007,,,,,10y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07536,0.07354,0.07188,0.07132,0.07767,0.08434,0.09607,,,,,3w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.077,0.07507,0.07325,0.07146,0.07942,0.08653,0.09834,,,,,1m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07834,0.07614,0.07416,0.07234,0.081,0.08874,0.10134,,,,,6w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.08,0.07743,0.07517,0.07323,0.0829,0.0913,0.10479,,,,,2m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.08075,0.07771,0.07491,0.07171,0.08411,0.09392,0.10896,,,,,3m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.08244,0.07912,0.07623,0.07256,0.08604,0.09674,0.11256,,,,,4m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.08377,0.0802,0.07719,0.07322,0.08747,0.0988,0.11526,,,,,5m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0845,0.08077,0.07768,0.07357,0.08821,0.09984,0.11667,,,,,6m,7,Option Quotes,,
