VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,,VOLATILITYSKEW,,,,,,,,,,,,,,,/VOLATILITYSKEW,/VOLATILITY
BOND_VOL_TYPE,BUTTERFLY_QUOTE,CURR_PAIR_SEQNBR.CURR1.INSID,CURR_PAIR_SEQNBR.CURR2.INSID,CURR_PAIR_SEQNBR.NAME,DATA,DELTA_ATM_DEFINITION,DELTA_TERM,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FAVOUR_CALL,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STORED_ATM_VOL_MULTIPLIER,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,SKEW_INPUT_TYPE,VOL_CUT_OFF_TYPE,,
Price,1 Vol,EUR,JPY,EUR/JPY,,Zero Delta Straddle,Pct of foreign,1,1,Default,Variance,Yes,1,1,Black & Scholes,Polynomial Fit,FX Vol,1,Delta,Delta,FX-EURJPY,Malz,Relative,0.04438,0.04461,0.04639,0.04827,0.04552,0.04934,0.0545,-0.01,0.01,Yes,Spot,1w,7,Option Quotes,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.063,0.06103,0.06058,0.06139,0.06529,0.0729,0.08555,-0.01,0.01,,Forward,9m,7,Option Quotes,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.066,0.06337,0.06268,0.06529,0.06805,0.07572,0.09097,-0.01,0.01,,Forward,1y,7,Option Quotes,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.06897,0.06613,0.06601,0.06907,0.07122,0.08003,0.09643,-0.01,0.01,,Forward,18m,7,Option Quotes,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.0705,0.0675,0.06767,0.07089,0.07273,0.08203,0.09896,-0.01,0.01,,Forward,2y,7,Option Quotes,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.0755,0.07153,0.07213,0.07811,0.0773,0.08698,0.10791,-0.01,0.01,,Forward,3y,7,Option Quotes,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.07941,0.07519,0.07688,0.08464,0.08091,0.09127,0.11472,-0.01,0.01,,Forward,4y,7,Option Quotes,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.08175,0.07732,0.07972,0.08843,0.08294,0.09355,0.11834,-0.01,0.01,,Forward,5y,7,Option Quotes,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.08633,0.0795,0.07802,0.0823,0.08704,0.09627,0.12146,-0.01,0.01,,Forward,6y,7,Option Quotes,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.08945,0.08084,0.0767,0.07764,0.08981,0.0981,0.12346,-0.01,0.01,,Forward,7y,7,Option Quotes,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.0928,0.08364,0.08012,0.08281,0.09285,0.10057,0.12751,-0.01,0.01,,Forward,8y,7,Option Quotes,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.04834,0.04787,0.0486,0.05087,0.04961,0.05345,0.05977,-0.01,0.01,,Forward,2w,7,Option Quotes,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.09533,0.08571,0.08274,0.08669,0.09515,0.10238,0.13035,-0.01,0.01,,Forward,9y,7,Option Quotes,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.0973,0.08729,0.08482,0.0897,0.09695,0.10376,0.13241,-0.01,0.01,,Forward,10y,7,Option Quotes,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.04958,0.0489,0.04931,0.0514,0.05089,0.05474,0.06113,-0.01,0.01,,Forward,3w,7,Option Quotes,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.05063,0.04976,0.04992,0.05174,0.05196,0.05581,0.06219,-0.01,0.01,,Forward,1m,7,Option Quotes,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.05158,0.05052,0.05051,0.05204,0.05317,0.05752,0.0643,-0.01,0.01,,Forward,6w,7,Option Quotes,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.05275,0.05146,0.05123,0.0524,0.05462,0.05956,0.06682,-0.01,0.01,,Forward,2m,7,Option Quotes,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.05538,0.05349,0.05259,0.05441,0.05721,0.06257,0.07251,-0.01,0.01,,Forward,3m,7,Option Quotes,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.05769,0.05586,0.05515,0.05638,0.05976,0.06589,0.07628,-0.01,0.01,,Forward,4m,7,Option Quotes,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.05944,0.05765,0.05709,0.05788,0.06167,0.06836,0.0791,-0.01,0.01,,Forward,5m,7,Option Quotes,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.06038,0.0586,0.05811,0.05867,0.06268,0.06965,0.08057,-0.01,0.01,,Forward,6m,7,Option Quotes,Delta,,
