VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,VOLATILITYSKEW,,,,,,,,,,,,,,/VOLATILITYSKEW,/VOLATILITY
BOND_VOL_TYPE,CURR_PAIR_SEQNBR.CURR1.INSID,CURR_PAIR_SEQNBR.CURR2.INSID,CURR_PAIR_SEQNBR.NAME,DATA,DELTA_ATM_DEFINITION,DELTA_TERM,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FAVOUR_CALL,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STORED_ATM_VOL_MULTIPLIER,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,SKEW_INPUT_TYPE,,
Price,EUR,NZD,EUR/NZD,,Zero Delta Straddle,Pct of foreign,1,1,Default,Variance,Yes,1,1,Black & Scholes,Polynomial Fit,FX Vol,1,Delta,Delta,FX-EURNZD,Malz,Relative,0.06613,0.0672,0.0702,0.07437,0.06593,0.06665,0.06785,-0.01,0.01,Yes,Spot,1w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.06875,0.07061,0.07536,0.08399,0.06787,0.0678,0.07119,,,,,9m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.06962,0.07167,0.07701,0.08663,0.06879,0.06878,0.07225,,,,,1y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07192,0.07428,0.08026,0.09108,0.07107,0.071,0.0752,,,,,18m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.073,0.07557,0.0819,0.09311,0.07218,0.07204,0.07639,,,,,2y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07375,0.07661,0.08361,0.09554,0.07308,0.07244,0.07471,,,,,3y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.078,0.08131,0.08899,0.10124,0.07762,0.07708,0.07911,,,,,5y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.06638,0.06732,0.07007,0.07455,0.0659,0.06603,0.06707,,,,,2w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.06632,0.0673,0.07002,0.07452,0.06582,0.06581,0.0667,,,,,3w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.06625,0.06727,0.06999,0.07448,0.06574,0.06566,0.06644,,,,,1m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.06664,0.06786,0.07086,0.07561,0.06601,0.06588,0.06695,,,,,6w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.06688,0.06824,0.07141,0.07633,0.06618,0.06602,0.06726,,,,,2m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.067,0.0684,0.07198,0.07797,0.06633,0.06627,0.06787,,,,,3m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.06736,0.06883,0.0728,0.07987,0.06663,0.06666,0.06902,,,,,4m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0676,0.06915,0.07339,0.0812,0.06684,0.06693,0.06981,,,,,5m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.06775,0.06934,0.07376,0.082,0.06697,0.06708,0.07027,,,,,6m,7,Option Quotes,,
