VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,VOLATILITYSKEW,,,,,,,,,,,,,,/VOLATILITYSKEW,/VOLATILITY
BOND_VOL_TYPE,CURR_PAIR_SEQNBR.CURR1.INSID,CURR_PAIR_SEQNBR.CURR2.INSID,CURR_PAIR_SEQNBR.NAME,DATA,DELTA_ATM_DEFINITION,DELTA_TERM,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FAVOUR_CALL,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STORED_ATM_VOL_MULTIPLIER,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,SKEW_INPUT_TYPE,,
Price,,,,,Zero Delta Straddle,Pct of foreign,1,1,Default,Variance,Yes,1,1,Black & Scholes,Polynomial Fit,FX Vol,1,Delta,Delta,FX-GBPCAD,Malz,Relative,0.0805,0.07999,0.08053,0.083,0.08131,0.08348,0.08697,-0.01,0.01,Yes,Spot,1w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07225,0.07086,0.07102,0.07282,0.07373,0.07854,0.0856,,,,,9m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07375,0.07219,0.07234,0.07466,0.07509,0.08018,0.08882,,,,,1y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07675,0.07492,0.07581,0.08092,0.07789,0.08314,0.09343,,,,,18m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07825,0.07627,0.07754,0.08381,0.07921,0.08448,0.09543,,,,,2y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.085,0.08348,0.08459,0.08875,0.0855,0.09058,0.10208,,,,,3y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.088,0.08687,0.08824,0.09235,0.08817,0.09261,0.10437,,,,,4y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0915,0.09017,0.09187,0.09691,0.09146,0.09577,0.1076,,,,,5y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07525,0.07464,0.07557,0.0813,0.07546,0.07794,0.08621,,,,,2w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07541,0.07456,0.07501,0.07909,0.07604,0.0786,0.08491,,,,,3w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07525,0.07433,0.07458,0.0775,0.07622,0.07895,0.08394,,,,,1m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0735,0.07257,0.07271,0.07475,0.07467,0.07794,0.0832,,,,,6w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07225,0.07132,0.07137,0.07275,0.07356,0.07721,0.08268,,,,,2m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0715,0.07071,0.07137,0.07428,0.07254,0.07565,0.08067,,,,,3m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07162,0.07052,0.07081,0.07344,0.07282,0.07652,0.0828,,,,,4m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07169,0.0704,0.07047,0.07293,0.07297,0.07701,0.08402,,,,,5m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07175,0.07032,0.07023,0.07256,0.07307,0.07734,0.08486,,,,,6m,7,Option Quotes,,
