VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,VOLATILITYSKEW,,,,,,,,,,,,,,/VOLATILITYSKEW,/VOLATILITY
BOND_VOL_TYPE,CURR_PAIR_SEQNBR.CURR1.INSID,CURR_PAIR_SEQNBR.CURR2.INSID,CURR_PAIR_SEQNBR.NAME,DATA,DELTA_ATM_DEFINITION,DELTA_TERM,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FAVOUR_CALL,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STORED_ATM_VOL_MULTIPLIER,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,SKEW_INPUT_TYPE,,
Price,,,,,Zero Delta Straddle,Pct of foreign,1,1,Default,Variance,Yes,1,1,Black & Scholes,Polynomial Fit,FX Vol,1,Delta,Delta,FX-GBPNZD,Malz,Relative,0.0775,0.07658,0.07886,0.09057,0.07773,0.08217,0.09744,-0.01,0.01,Yes,Spot,1w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.079,0.07799,0.07966,0.08602,0.07984,0.0843,0.09502,,,,,9m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0805,0.07963,0.08119,0.08657,0.08125,0.08572,0.09652,,,,,1y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.08425,0.0833,0.08539,0.09221,0.08488,0.08944,0.1012,,,,,18m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.086,0.085,0.08737,0.09469,0.08652,0.09105,0.10309,,,,,2y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.09175,0.09079,0.0929,0.09896,0.09202,0.09587,0.10625,,,,,3y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.09652,0.09538,0.09833,0.10602,0.09662,0.09939,0.11061,,,,,4y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0985,0.09804,0.10153,0.1101,0.09845,0.10136,0.11297,,,,,5y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.08022,0.07872,0.07902,0.08547,0.08019,0.083,0.09327,,,,,2w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07966,0.07859,0.07894,0.08333,0.08011,0.08314,0.09148,,,,,3w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.079,0.07833,0.07886,0.0818,0.07985,0.08319,0.09021,,,,,1m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07885,0.07817,0.07872,0.08182,0.07964,0.08301,0.09052,,,,,6w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07875,0.07807,0.07864,0.08184,0.07949,0.08288,0.0907,,,,,2m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0785,0.07753,0.07819,0.08261,0.07929,0.08283,0.0914,,,,,3m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07862,0.07763,0.07847,0.08325,0.07944,0.08327,0.09248,,,,,4m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0787,0.07769,0.07867,0.08367,0.07953,0.08354,0.09318,,,,,5m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07875,0.07774,0.07879,0.08394,0.07958,0.08369,0.09359,,,,,6m,7,Option Quotes,,
