INSTRUMENT,,,,,,,,,,,,,,,,,,,,/INSTRUMENT
CONTR_SIZE,CURR.INSID,EXERCISE_TYPE,EXP_PERIOD,GENERIC,INSID,INSTYPE,MTM_FROM_FEED,OPTION_TYPE,PAYTYPE,PAY_DAY_OFFSET,PAY_OFFSET_METHOD,QUOTATION_SEQNBR.NAME,SETTLEMENT,SPOT_BANKING_DAYS_OFFSET,STRIKE_CURR.INSID,STRIKE_PRICE,STRIKE_TYPE,UND_INSADDR.INSID,UND_INSTYPE,
1000000,USD,European,10y,Yes,USD/R/IRS/LI3M/BP-VOL/10Y/10Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility bps,Cash,2,USD,0,Rel Frw,USD/IRS/LI3M-F/10Y,Swap,
1000000,USD,European,10y,Yes,USD/R/IRS/LI3M/BP-VOL/10Y/15Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility bps,Cash,2,USD,0,Rel Frw,USD/IRS/LI3M-F/15Y,Swap,
1000000,USD,European,10y,Yes,USD/R/IRS/LI3M/BP-VOL/10Y/1Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility bps,Cash,2,USD,0,Rel Frw,USD/IRS/LI3M-F/1Y,Swap,
1000000,USD,European,10y,Yes,USD/R/IRS/LI3M/BP-VOL/10Y/20Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility bps,Cash,2,USD,0,Rel Frw,USD/IRS/LI3M-F/20Y,Swap,
1000000,USD,European,10y,Yes,USD/R/IRS/LI3M/BP-VOL/10Y/25Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility bps,Cash,2,USD,0,Rel Frw,USD/IRS/LI3M-F/25Y,Swap,
1000000,USD,European,10y,Yes,USD/R/IRS/LI3M/BP-VOL/10Y/2Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility bps,Cash,2,USD,0,Rel Frw,USD/IRS/LI3M-F/2Y,Swap,
1000000,USD,European,10y,Yes,USD/R/IRS/LI3M/BP-VOL/10Y/30Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility bps,Cash,2,USD,0,Rel Frw,USD/IRS/LI3M-F/30Y,Swap,
1000000,USD,European,10y,Yes,USD/R/IRS/LI3M/BP-VOL/10Y/3Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility bps,Cash,2,USD,0,Rel Frw,USD/IRS/LI3M-F/3Y,Swap,
1000000,USD,European,10y,Yes,USD/R/IRS/LI3M/BP-VOL/10Y/4Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility bps,Cash,2,USD,0,Rel Frw,USD/IRS/LI3M-F/4Y,Swap,
1000000,USD,European,10y,Yes,USD/R/IRS/LI3M/BP-VOL/10Y/5Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility bps,Cash,2,USD,0,Rel Frw,USD/IRS/LI3M-F/5Y,Swap,
