YIELDCURVE,,,,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CONFLICT_INTERVAL,CONFLICT_INTERVAL2,CURR.INSID,DATA,ESTIMATION_TYPE,EST_BM_FIXINGS_FROM_CURVE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,REF_INSADDR.EXTERN_ID1,REF_INSADDR.INSID,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.EXTERN_ID1,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.EXTERN_ID1,INSTRUMENT.INSID,PRECEDENCE,SPREAD_TYPE,,
Use Storage Format,405,5,AUD,,Boot Strap,Yes,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,BBSW3M,AUD/BBSW/3M,Interest Rate,Spot Rate,Act/365,Continuous,60,1,AUD-3M,Benchmark,BBSW3M,AUD/BBSW/3M,0.00049096895931,,Up,End Date,BBSW3M,AUD/BBSW/3M,,No,,
,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB3M-F/2Y,0.00942640464034,,Down,End Date,,AUD/IRS/BB3M-BB6M/30Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB3M-F/3Y,0.0130229608425,,Down,End Date,,AUD/IRS/BB3M-BB6M/25Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB3M-BB6M/4Y,0.0150537591293,,Down,End Date,,AUD/IRS/BB3M-BB6M/20Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB3M-BB6M/5Y,0.0162459937316,,Down,End Date,,AUD/IRS/BB3M-BB6M/15Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB3M-BB6M/6Y,0.0172583308227,,Down,End Date,,AUD/IRS/BB3M-BB6M/12Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB3M-BB6M/7Y,0.0181254972433,,Down,End Date,,AUD/IRS/BB3M-BB6M/10Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB3M-BB6M/8Y,0.0188303620325,,Down,End Date,,AUD/IRS/BB3M-BB6M/9Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB3M-BB6M/9Y,0.019370687076,,Down,End Date,,AUD/IRS/BB3M-BB6M/8Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB3M-BB6M/10Y,0.0198113964341,,Down,End Date,,AUD/IRS/BB3M-BB6M/7Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB3M-BB6M/12Y,0.0205854833984,,Down,End Date,,AUD/IRS/BB3M-BB6M/6Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB3M-BB6M/15Y,0.0212978332253,,Down,End Date,,AUD/IRS/BB3M-BB6M/5Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB3M-BB6M/20Y,0.0212419554638,,Down,End Date,,AUD/IRS/BB3M-BB6M/4Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB3M-BB6M/25Y,0.0203996612997,,Up,End Date,,AUD/IRS/BB3M-F/3Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB3M-BB6M/30Y,0.0192850687644,,Up,End Date,,AUD/IRS/BB3M-F/2Y,-1,No,,
,,,,,,,,,,,,,,,,,,,,,,,AUD/IRF/Z22,0.00464302350215,,Up,Curve Sens,,AUD/IRF/Z22,1,No,,
,,,,,,,,,,,,,,,,,,,,,,,AUD/IRF/Z21,0.000496435424528,,Up,Curve Sens,,AUD/IRF/Z21,1,No,,
,,,,,,,,,,,,,,,,,,,,,,,AUD/IRF/U22,0.00311713094883,,Up,Curve Sens,,AUD/IRF/U22,1,No,,
,,,,,,,,,,,,,,,,,,,,,,,AUD/IRF/M22,0.00176322061875,,Up,Curve Sens,,AUD/IRF/M22,1,No,,
,,,,,,,,,,,,,,,,,,,,,,,AUD/IRF/H23,0.00638548809104,,Up,Curve Sens,,AUD/IRF/H23,1,No,,
,,,,,,,,,,,,,,,,,,,,,,,AUD/IRF/H22,0.00086769862408,,Up,Curve Sens,,AUD/IRF/H22,1,No,,
