YIELDCURVE,,,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,DEPENDENCY_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,ESTIMATION_TYPE,EST_BM_FIXINGS_FROM_CURVE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,REF_INSADDR.EXTERN_ID1,REF_INSADDR.INSID,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.EXTERN_ID1,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.EXTERN_ID1,INSTRUMENT.INSID,SPREAD_TYPE,,
Use Storage Format,CHF,,CHF-SARON,Boot Strap,Yes,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,SF0006M,CHF/LIBOR/6M,Interest Rate,Spot Rate,Act/360,Continuous,60,1,CHF-6M,Benchmark,SF0006M,CHF/LIBOR/6M,-0.00734208529794,,Up,End Date,SF0006M,CHF/LIBOR/6M,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/2Y,-0.00572109733915,,Up,End Date,,CHF/IRS/LI6M-F/10Y,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/3Y,-0.00459211851004,,Up,End Date,,CHF/IRS/LI6M-F/9Y,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/4Y,-0.00367563140196,,Up,End Date,,CHF/IRS/LI6M-F/8Y,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/5Y,-0.00281246887546,,Up,End Date,,CHF/IRS/LI6M-F/7Y,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/6Y,-0.00196327911406,,Up,End Date,,CHF/IRS/LI6M-F/6Y,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/7Y,-0.00112733244334,,Up,End Date,,CHF/IRS/LI6M-F/5Y,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/8Y,-0.000403898326682,,Up,End Date,,CHF/IRS/LI6M-F/4Y,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/9Y,0.000197339210105,,Up,End Date,,CHF/IRS/LI6M-F/3Y,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/10Y,0.000685495179397,,Up,End Date,,CHF/IRS/LI6M-F/2Y,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/12Y,0.00146938135942,,Up,End Date,,CHF/IRS/LI6M-F/30Y,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/15Y,0.00212524780661,,Up,End Date,,CHF/IRS/LI6M-F/25Y,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/20Y,0.00240860694052,,Up,End Date,,CHF/IRS/LI6M-F/20Y,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/25Y,0.00202282889077,,Up,End Date,,CHF/IRS/LI6M-F/15Y,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/30Y,0.00130657479427,,Up,End Date,,CHF/IRS/LI6M-F/12Y,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF/FRA/LI6M/1X7,-0.00725840797908,,Up,End Date,,CHF/FRA/LI6M/9X15,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF/FRA/LI6M/2X8,-0.00696370964994,,Up,End Date,,CHF/FRA/LI6M/6X12,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF/FRA/LI6M/3X9,-0.00705928338004,,Up,End Date,,CHF/FRA/LI6M/3X9,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF/FRA/LI6M/6X12,-0.00693229103685,,Up,End Date,,CHF/FRA/LI6M/2X8,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF/FRA/LI6M/9X15,-0.00666610955655,,Up,End Date,,CHF/FRA/LI6M/1X7,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF/FRA/LI6M/5X11,-0.00691959599444,,Up,End Date,,CHF/FRA/LI6M/5X11,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF/FRA/LI6M/4X10,-0.00700196374521,,Up,End Date,,CHF/FRA/LI6M/4X10,No,,
