YIELDCURVE,,,,,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CONFLICT_INTERVAL,CONFLICT_INTERVAL2,CURR.INSID,DATA,DEPENDENCY_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,ESTIMATION_TYPE,EST_BM_FIXINGS_FROM_CURVE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,REF_INSADDR.EXTERN_ID1,REF_INSADDR.INSID,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.EXTERN_ID1,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.EXTERN_ID1,INSTRUMENT.INSID,PRECEDENCE,SPREAD_TYPE,,
Use Storage Format,405,5,EUR,,EUR-6M,Boot Strap,Yes,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,EUR003M,EUR/EURIBOR/3M,Interest Rate,Spot Rate,Act/360,Continuous,60,1,EUR-3M,Benchmark,EUR003M,EUR/EURIBOR/3M,-0.00571534086945,,Up,End Date,EUR003M,EUR/EURIBOR/3M,,No,,
,,,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU3M/50Y,0.00171103043584,,Down,End Date,,EUR/IRS/EU6M-EU3M/50Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU3M/40Y,0.00223200849296,,Down,End Date,,EUR/IRS/EU6M-EU3M/40Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU3M/30Y,0.00298361002444,,Down,End Date,,EUR/IRS/EU6M-EU3M/30Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU3M/25Y,0.00344299713492,,Down,End Date,,EUR/IRS/EU6M-EU3M/25Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU3M/20Y,0.00361709338498,,Down,End Date,,EUR/IRS/EU6M-EU3M/20Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU3M/15Y,0.00302989580931,,Down,End Date,,EUR/IRS/EU6M-EU3M/15Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU3M/12Y,0.00202204865346,,Down,End Date,,EUR/IRS/EU6M-EU3M/12Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU3M/10Y,0.00100130134703,,Down,End Date,,EUR/IRS/EU6M-EU3M/10Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU3M/9Y,0.00042622532951,,Down,End Date,,EUR/IRS/EU6M-EU3M/9Y,,No,,
