YIELDCURVE,,,,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,DEPENDENCY_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,DISC_TYPE_CHLNBR.ENTRY,DISC_TYPE_CHLNBR.LIST,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UNDERLYING_YIELD_CURVE,UNDERLYING_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.INSID,INTERPOLATION_TYPE,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.INSID,PRECEDENCE,SPREAD_TYPE,,
Default,EUR,,EUR-FX,COLL-USD,DiscType,Boot Strap,Default,Flat,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,Interest Rate,Spot Rate,Act/360,Continuous,EUR-ESTR,EUR-ESTR,60,1,EUR-COLL-USD,Spread,EUR-USD/FXS/ON,Linear RT,-0.005861274,,Down,End Date,EUR-USD/FXS/11M,,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/TN,Linear RT,-0.005939795,,Down,End Date,EUR-USD/FXS/10M,,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/SN,Linear RT,-0.005986456,,Down,End Date,EUR-USD/FXS/9M,,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/1W,Linear RT,-0.006086037,,Down,End Date,EUR-USD/FXS/8M,,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/2W,Linear RT,-0.006099758,,Down,End Date,EUR-USD/FXS/7M,,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/3W,Linear RT,-0.006127911,,Down,End Date,EUR-USD/FXS/6M,,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/1M,Linear RT,-0.006551819,,Down,End Date,EUR-USD/FXS/5M,,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/2M,Linear RT,-0.01098721,,Down,End Date,EUR-USD/FXS/4M,,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/3M,Linear RT,-0.009922514,,Down,End Date,EUR-USD/FXS/3M,,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/4M,Linear RT,-0.009204614,,Down,End Date,EUR-USD/FXS/2M,,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/5M,Linear RT,-0.009006613,,Down,End Date,EUR-USD/FXS/1M,,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/6M,Linear RT,-0.008616985,,Down,End Date,EUR-USD/FXS/3W,,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/7M,Linear RT,-0.008394973,,Down,End Date,EUR-USD/FXS/2W,,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/8M,Linear RT,-0.008395449,,Down,End Date,EUR-USD/FXS/1W,,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/9M,Linear RT,-0.00817357,,Down,End Date,EUR-USD/FXS/SN,,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/10M,Linear RT,-0.008135959,,Down,End Date,EUR-USD/FXS/TN,1,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/11M,Linear RT,-0.008063468,,Down,End Date,EUR-USD/FXS/ON,2,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR-USD/CCS/ES1D-SO1D/9Y,,-0.001848425,,Up,End Date,EUR-USD/CCS/ES1D-SO1D/9Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR-USD/CCS/ES1D-SO1D/8Y,,-0.001823931,,Up,End Date,EUR-USD/CCS/ES1D-SO1D/8Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR-USD/CCS/ES1D-SO1D/7Y,,-0.001811848,,Up,End Date,EUR-USD/CCS/ES1D-SO1D/7Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR-USD/CCS/ES1D-SO1D/6Y,,-0.001787379,,Up,End Date,EUR-USD/CCS/ES1D-SO1D/6Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR-USD/CCS/ES1D-SO1D/5Y,,-0.001762946,,Up,End Date,EUR-USD/CCS/ES1D-SO1D/5Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR-USD/CCS/ES1D-SO1D/4Y,,-0.001849657,,Up,End Date,EUR-USD/CCS/ES1D-SO1D/4Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR-USD/CCS/ES1D-SO1D/3Y,,-0.00210898,,Up,End Date,EUR-USD/CCS/ES1D-SO1D/3Y,,No,,
