YIELDCURVE,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,REF_INSADDR.EXTERN_ID1,REF_INSADDR.INSID,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.EXTERN_ID1,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.EXTERN_ID1,INSTRUMENT.INSID,SPREAD_TYPE,,
Use Storage Format,EUR,,Boot Strap,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,ESTRON,EUR/ESTR,Interest Rate,Spot Rate,Act/360,Continuous,60,1,EUR-ESTR,Benchmark,ESTRON,EUR/ESTR,-0.00573013680809,,Up,End Date,ESTRON,EUR/ESTR,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/1W,-0.00576389787522,,Up,End Date,,EUR/IRS/ES1D-F/18M,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/2W,-0.00577053881676,,Up,End Date,,EUR/IRS/ES1D-F/12M,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/1M,-0.00578501037339,,Up,End Date,,EUR/IRS/ES1D-F/11M,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/2M,-0.00579879276878,,Up,End Date,,EUR/IRS/ES1D-F/10M,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/4M,-0.00578400667598,,Up,End Date,,EUR/IRS/ES1D-F/9M,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/5M,-0.00577586153563,,Up,End Date,,EUR/IRS/ES1D-F/8M,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/6M,-0.00575787427788,,Up,End Date,,EUR/IRS/ES1D-F/7M,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/7M,-0.00573960522014,,Up,End Date,,EUR/IRS/ES1D-F/6M,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/8M,-0.00573104771278,,Up,End Date,,EUR/IRS/ES1D-F/5M,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/9M,-0.0057226265716,,Up,End Date,,EUR/IRS/ES1D-F/4M,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/10M,-0.00571403995197,,Up,End Date,,EUR/IRS/ES1D-F/2M,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/11M,-0.0056955370809,,Up,End Date,,EUR/IRS/ES1D-F/1M,No,,
,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/12M,-0.00568688932934,,Up,End Date,,EUR/IRS/ES1D-F/2W,No,,
