YIELDCURVE,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,DEPENDENCY_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,FORWARD_PERIOD,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.INSID,PRECEDENCE,SPREAD_TYPE,,
Use Storage Format,EUR,,USD-SOFR,Boot Strap,Default,Flat,1d,Linear RT,Spot Rate,Zero Coupon Curve,FX,Spot Rate,Act/360,Continuous,60,1,EUR-FX,Benchmark,EUR-USD/FXS/ON,-0.005861274,,Down,End Date,EUR-USD/FXS/10Y,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/TN,-0.005939795,,Down,End Date,EUR-USD/FXS/9Y,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/SN,-0.005986456,,Down,End Date,EUR-USD/FXS/8Y,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/1W,-0.006086037,,Down,End Date,EUR-USD/FXS/7Y,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/2W,-0.006099758,,Down,End Date,EUR-USD/FXS/6Y,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/3W,-0.006127911,,Down,End Date,EUR-USD/FXS/5Y,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/1M,-0.006551819,,Down,End Date,EUR-USD/FXS/4Y,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/2M,-0.01098721,,Down,End Date,EUR-USD/FXS/3Y,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/3M,-0.009922514,,Down,End Date,EUR-USD/FXS/2Y,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/4M,-0.009204614,,Down,End Date,EUR-USD/FXS/21M,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/5M,-0.009006613,,Down,End Date,EUR-USD/FXS/18M,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/6M,-0.008616985,,Down,End Date,EUR-USD/FXS/15M,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/7M,-0.008394973,,Down,End Date,EUR-USD/FXS/12M,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/8M,-0.008395449,,Down,End Date,EUR-USD/FXS/11M,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/9M,-0.00817357,,Down,End Date,EUR-USD/FXS/10M,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/10M,-0.008135959,,Down,End Date,EUR-USD/FXS/9M,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/11M,-0.008063468,,Down,End Date,EUR-USD/FXS/8M,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/12M,-0.007968353,,Down,End Date,EUR-USD/FXS/7M,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/15M,-0.007796372,,Down,End Date,EUR-USD/FXS/6M,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/18M,-0.007648592,,Down,End Date,EUR-USD/FXS/5M,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/21M,-0.007466155,,Down,End Date,EUR-USD/FXS/4M,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/2Y,-0.00709345,,Down,End Date,EUR-USD/FXS/3M,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/3Y,-0.006287886,,Down,End Date,EUR-USD/FXS/2M,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/4Y,-0.005605678,,Down,End Date,EUR-USD/FXS/1M,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/5Y,-0.005104318,,Down,End Date,EUR-USD/FXS/3W,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/6Y,-0.004634454,,Down,End Date,EUR-USD/FXS/2W,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/7Y,-0.00411132,,Down,End Date,EUR-USD/FXS/1W,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/8Y,-0.003542134,,Down,End Date,EUR-USD/FXS/SN,,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/9Y,-0.002964436,,Down,End Date,EUR-USD/FXS/TN,1,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/10Y,-0.002402618,,Down,End Date,EUR-USD/FXS/ON,2,No,,
,,,,,,,,,,,,,,,,,,,EUR-USD/FXS/30M,-0.006592672,,Down,End Date,EUR-USD/FXS/30M,,No,,
