YIELDCURVE,,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,DEPENDENCY_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,ESTIMATION_TYPE,EST_BM_FIXINGS_FROM_CURVE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,REF_INSADDR.INSID,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,EXCLUDE,INSTRUMENT.INSID,SPREAD_TYPE,,
Use Storage Format,GBP,,GBP-SONIA,Boot Strap,Yes,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,GBP/LIBOR/6M,Interest Rate,Spot Rate,Act/365,Continuous,60,1,GBP-6M,Benchmark,GBP/LIBOR/6M,0.00273065,,Up,End Date,,GBP/LIBOR/6M,No,,
,,,,,,,,,,,,,,,,,,,,GBP/FRA/LI6M/1X7,0.003414733,,Up,End Date,,GBP/IRS/LI6M-F/50Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/FRA/LI6M/2X8,0.00599888,,Up,End Date,,GBP/IRS/LI6M-F/40Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/FRA/LI6M/3X9,0.006663096,,Up,End Date,,GBP/IRS/LI6M-F/30Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/FRA/LI6M/4X10,0.006541869,,Up,End Date,,GBP/IRS/LI6M-F/25Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/FRA/LI6M/5X11,0.006595042,,Up,End Date,,GBP/IRS/LI6M-F/20Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/FRA/LI6M/6X12,0.006666666,,Up,End Date,,GBP/IRS/LI6M-F/15Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/FRA/LI6M/9X15,0.008964847,,Up,End Date,,GBP/IRS/LI6M-F/12Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/FRA/LI6M/12X18,0.008829281,,Up,End Date,,GBP/IRS/LI6M-F/10Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/2Y,0.010266194,,Up,End Date,,GBP/IRS/LI6M-F/9Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/3Y,0.011574825,,Up,End Date,,GBP/IRS/LI6M-F/8Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/4Y,0.011783062,,Up,End Date,,GBP/IRS/LI6M-F/7Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/5Y,0.011646596,,Up,End Date,,GBP/IRS/LI6M-F/6Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/6Y,0.011533689,,Up,End Date,,GBP/IRS/LI6M-F/5Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/7Y,0.011316132,,Up,End Date,,GBP/IRS/LI6M-F/4Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/8Y,0.011158384,,Up,End Date,,GBP/IRS/LI6M-F/3Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/9Y,0.011015995,,Up,End Date,,GBP/IRS/LI6M-F/2Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/10Y,0.010898259,,Up,End Date,,GBP/FRA/LI6M/12X18,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/12Y,0.010739887,,Up,End Date,Yes,GBP/FRA/LI6M/9X15,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/15Y,0.010479577,,Up,End Date,,GBP/FRA/LI6M/6X12,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/20Y,0.010046668,,Up,End Date,,GBP/FRA/LI6M/5X11,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/25Y,0.009662592,,Up,End Date,,GBP/FRA/LI6M/4X10,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/30Y,0.009302382,,Up,End Date,,GBP/FRA/LI6M/3X9,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/40Y,0.008236879,,Up,End Date,,GBP/FRA/LI6M/2X8,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/50Y,0.007328433,,Up,End Date,,GBP/FRA/LI6M/1X7,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/35Y,0.008846378,,Up,End Date,,GBP/IRS/LI6M-F/35Y,No,,
