YIELDCURVE,,,,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,DEPENDENCY_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,DISC_TYPE_CHLNBR.ENTRY,DISC_TYPE_CHLNBR.LIST,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UNDERLYING_YIELD_CURVE,UNDERLYING_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.INSID,INTERPOLATION_TYPE,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.INSID,PRECEDENCE,SPREAD_TYPE,,
Default,GBP,,GBP-FX,COLL-USD,DiscType,Boot Strap,Default,Flat,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,Interest Rate,Spot Rate,Act/365,Continuous,GBP-SONIA,GBP-SONIA,60,1,GBP-COLL-USD,Spread,GBP-USD/FXS/ON,Linear RT,0.000506943,,Down,End Date,GBP-USD/FXS/11M,,No,,
,,,,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/TN,Linear RT,0.000501052,,Down,End Date,GBP-USD/FXS/10M,,No,,
,,,,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/SN,Linear RT,0.000503421,,Down,End Date,GBP-USD/FXS/9M,,No,,
,,,,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/1W,Linear RT,0.000485737,,Down,End Date,GBP-USD/FXS/8M,,No,,
,,,,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/2W,Linear RT,0.000460322,,Down,End Date,GBP-USD/FXS/7M,,No,,
,,,,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/3W,Linear RT,0.00048509,,Down,End Date,GBP-USD/FXS/6M,,No,,
,,,,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/1M,Linear RT,0.000436445,,Down,End Date,GBP-USD/FXS/5M,,No,,
,,,,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/2M,Linear RT,-0.003683517,,Down,End Date,GBP-USD/FXS/4M,,No,,
,,,,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/3M,Linear RT,-0.001941087,,Down,End Date,GBP-USD/FXS/3M,,No,,
,,,,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/4M,Linear RT,-0.000817469,,Down,End Date,GBP-USD/FXS/2M,,No,,
