YIELDCURVE,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,REF_INSADDR.EXTERN_ID1,REF_INSADDR.INSID,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.EXTERN_ID1,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.EXTERN_ID1,INSTRUMENT.INSID,SPREAD_TYPE,,
Use Storage Format,GBP,,Boot Strap,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,SONIO/N,GBP/SONIA,Interest Rate,Spot Rate,Act/365,Continuous,60,1,GBP-SONIA,Benchmark,SONIO/N,GBP/SONIA,0.000464999111403,,Up,End Date,,GBP/IRS/SO1D-F/18M,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/1W,0.000479997790699,,Up,End Date,,GBP/IRS/SO1D-F/15M,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/2W,0.000479995581423,,Up,End Date,,GBP/IRS/SO1D-F/12M,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/1M,0.000819969605339,,Up,End Date,,GBP/IRS/SO1D-F/11M,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/2M,0.00104990788406,,Up,End Date,,GBP/IRS/SO1D-F/10M,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/3M,0.00161966215752,,Up,End Date,,GBP/IRS/SO1D-F/9M,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/4M,0.00200932510747,,Up,End Date,,GBP/IRS/SO1D-F/8M,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/5M,0.00232887775686,,Up,End Date,,GBP/IRS/SO1D-F/7M,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/6M,0.00278807174806,,Up,End Date,,GBP/IRS/SO1D-F/6M,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/7M,0.00326688398031,,Up,End Date,,GBP/IRS/SO1D-F/5M,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/8M,0.00366554219726,,Up,End Date,,GBP/IRS/SO1D-F/4M,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/9M,0.00414357255383,,Up,End Date,,GBP/IRS/SO1D-F/3M,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/10M,0.00459121060671,,Up,End Date,,GBP/IRS/SO1D-F/2M,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/11M,0.00498859641415,,Up,End Date,,GBP/IRS/SO1D-F/1M,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/12M,0.00543512170256,,Up,End Date,,GBP/IRS/SO1D-F/2W,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/15M,0.00644408309287,,Up,End Date,,GBP/IRS/SO1D-F/1W,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/18M,0.00718371689084,,Up,End Date,SONIO/N,GBP/SONIA,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/21M,0.00780180605934,,Up,End Date,,GBP/IRS/SO1D-F/21M,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/2Y,0.00828754690555,,Up,End Date,,GBP/IRS/SO1D-F/60Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/3Y,0.00928510560936,,Up,End Date,,GBP/IRS/SO1D-F/50Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/4Y,0.00937113245018,,Up,End Date,,GBP/IRS/SO1D-F/40Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/5Y,0.00924684933802,,Up,End Date,,GBP/IRS/SO1D-F/30Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/6Y,0.00900176318691,,Up,End Date,,GBP/IRS/SO1D-F/25Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/7Y,0.0087570891036,,Up,End Date,,GBP/IRS/SO1D-F/20Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/8Y,0.00857380665386,,Up,End Date,,GBP/IRS/SO1D-F/15Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/9Y,0.0084108751848,,Up,End Date,,GBP/IRS/SO1D-F/12Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/10Y,0.00827857006538,,Up,End Date,,GBP/IRS/SO1D-F/10Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/12Y,0.00809565461219,,Up,End Date,,GBP/IRS/SO1D-F/9Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/15Y,0.00780904811063,,Up,End Date,,GBP/IRS/SO1D-F/8Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/20Y,0.00735552743663,,Up,End Date,,GBP/IRS/SO1D-F/7Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/25Y,0.0069617433142,,Up,End Date,,GBP/IRS/SO1D-F/6Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/30Y,0.00659658231989,,Up,End Date,,GBP/IRS/SO1D-F/5Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/40Y,0.0055941133607,,Up,End Date,,GBP/IRS/SO1D-F/4Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/50Y,0.0046766652569,,Up,End Date,,GBP/IRS/SO1D-F/3Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/60Y,0.00402273602869,,Up,End Date,,GBP/IRS/SO1D-F/2Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/SO1D-F/11Y,0.00818725362198,,Up,End Date,,GBP/IRS/SO1D-F/11Y,No,,
