YIELDCURVE,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,ESTIMATION_TYPE,EST_BM_FIXINGS_FROM_CURVE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,EXCLUDE,INSTRUMENT.INSID,SPREAD_TYPE,,
Use Storage Format,GBP,,Boot Strap,Yes,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,Interest Rate,Spot Rate,Act/365,Continuous,60,1,GBP-SWAP,Benchmark,GBP/IRS/LI6M-F/2Y,0.010297514,,Up,End Date,,GBP/IRS/LI6M-F/2Y,No,,
,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/3Y,0.011599849,,Up,End Date,,GBP/IRS/LI6M-F/3Y,No,,
,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/4Y,0.011802446,,Up,End Date,,GBP/IRS/LI6M-F/4Y,No,,
,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/5Y,0.011661432,,Up,End Date,,GBP/IRS/LI6M-F/5Y,No,,
,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/7Y,0.01132421,,Up,End Date,,GBP/IRS/LI6M-F/7Y,No,,
,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/10Y,0.010899732,,Up,End Date,,GBP/IRS/LI6M-F/10Y,No,,
,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/6Y,0.011545264,,Up,End Date,,GBP/IRS/LI6M-F/30Y,No,,
,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/8Y,0.011163912,,Up,End Date,,GBP/IRS/LI6M-F/25Y,No,,
,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/9Y,0.011019299,,Up,End Date,,GBP/IRS/LI6M-F/20Y,No,,
,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/15Y,0.010474128,,Up,End Date,,GBP/IRS/LI6M-F/15Y,No,,
,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/20Y,0.010032912,,Up,End Date,,GBP/IRS/LI6M-F/9Y,No,,
,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/25Y,0.009640144,,Up,End Date,,GBP/IRS/LI6M-F/8Y,No,,
,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/30Y,0.009270208,,Up,End Date,,GBP/IRS/LI6M-F/6Y,No,,
,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/12Y,0.010738844,,Up,End Date,,GBP/IRS/LI6M-F/50Y,No,,
,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/40Y,0.008163935,,Up,End Date,,GBP/IRS/LI6M-F/40Y,No,,
,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/50Y,0.007219984,,Up,End Date,,GBP/IRS/LI6M-F/12Y,No,,
,,,,,,,,,,,,,,,,,,GBP/FRA/LI6M/1X7,0.003179117,,Up,End Date,,GBP/IRS/LI6M-F/35Y,No,,
,,,,,,,,,,,,,,,,,,GBP/FRA/LI6M/2X8,0.005482481,,Up,End Date,,GBP/FRA/LI6M/5X11,No,,
,,,,,,,,,,,,,,,,,,GBP/FRA/LI6M/3X9,0.005911747,,Up,End Date,,GBP/FRA/LI6M/4X10,No,,
,,,,,,,,,,,,,,,,,,GBP/FRA/LI6M/4X10,0.006000566,,Up,End Date,,GBP/FRA/LI6M/3X9,No,,
,,,,,,,,,,,,,,,,,,GBP/FRA/LI6M/5X11,0.006186126,,Up,End Date,,GBP/FRA/LI6M/2X8,No,,
,,,,,,,,,,,,,,,,,,GBP/IRS/LI6M-F/35Y,0.008798013,,Up,End Date,Yes,GBP/FRA/LI6M/1X7,No,,
,,,,,,,,,,,,,,,,,,GBP/LIBOR/ON,0.000377499,,Up,End Date,,GBP/LIBOR/6M,No,,
,,,,,,,,,,,,,,,,,,GBP/LIBOR/1W,0.000379999,,Up,End Date,,GBP/LIBOR/3M,No,,
,,,,,,,,,,,,,,,,,,GBP/LIBOR/1M,0.000622482,,Up,End Date,,GBP/LIBOR/1M,No,,
,,,,,,,,,,,,,,,,,,GBP/LIBOR/3M,0.001023665,,Up,End Date,,GBP/LIBOR/1W,No,,
,,,,,,,,,,,,,,,,,,GBP/LIBOR/6M,0.00273065,,Up,End Date,,GBP/LIBOR/ON,No,,
,,,,,,,,,,,,,,,,,,GBP/LIBOR/2M,0.000719957,,Up,End Date,,GBP/LIBOR/2M,No,,
,,,,,,,,,,,,,,,,,,GBP/IRS/LI3M-F/1Y,0.0073264,,Up,End Date,,GBP/IRS/LI3M-F/1Y,No,,
